repo,tier,issue_idx,role,n_gt_files,ground_truth,n_gt_pruned_freq,gt_pruned_freq,any_gt_pruned_freq,n_gt_pruned_cochange,gt_pruned_cochange,any_gt_pruned_cochange
core,large,16,flexible,1,homeassistant/components/climate/mysensors.py,0,,False,0,,False
core,large,20,single,1,homeassistant/components/notify/html5.py,0,,False,0,,False
fastapi,small,9,multi,4,docs_src/custom_response/tutorial006.py;fastapi/openapi/utils.py;fastapi/routing.py;fastapi/applications.py,0,,False,0,,False
fastapi,small,17,single,1,fastapi/routing.py,0,,False,0,,False
fastapi,small,20,flexible,1,fastapi/background.py,0,,False,0,,False
flask,small,3,single,1,src/flask/app.py,0,,False,0,,False
flask,small,6,flexible,1,src/flask/scaffold.py,0,,False,0,,False
flask,small,18,multi,2,src/flask/logging.py;src/flask/app.py,0,,False,0,,False
gpt-engineer,small,9,single,1,gpt_engineer/core/ai.py,0,,False,0,,False
gpt-engineer,small,11,flexible,1,gpt_engineer/core/diff.py,0,,False,0,,False
gpt-engineer,small,12,multi,6,tests/caching_ai.py;gpt_engineer/applications/cli/file_selector.py;projects/example-improve/controller.py;gpt_engineer/core/files_dict.py;gpt_engineer/core/default/steps.py;gpt_engineer/core/chat_to_files.py,0,,False,0,,False
keras,medium,5,flexible,1,keras/engine/saving.py,0,,False,0,,False
keras,medium,9,single,1,keras/utils/data_utils.py,0,,False,0,,False
keras,medium,12,multi,5,keras/utils/data_utils.py;keras/utils/__init__.py;keras/legacy/interfaces.py;keras/engine/training.py;keras/models.py,0,,False,0,,False
localstack,medium,2,single,1,localstack/services/s3/s3_listener.py,0,,False,0,,False
localstack,medium,9,flexible,1,localstack/services/s3/s3_listener.py,0,,False,0,,False
localstack,medium,19,multi,7,localstack/constants.py;localstack/utils/persistence.py;localstack/services/ssm/ssm_listener.py;localstack/plugins.py;localstack/services/infra.py;localstack/services/secretsmanager/secretsmanager_starter.py;localstack/services/s3/s3_listener.py,0,,False,0,,False
pandas,large,26,extra,2,pandas/core/generic.py;pandas/tseries/index.py,0,,False,0,,False
pandas,large,35,single,1,pandas/src/generate_code.py,0,,False,0,,False
pandas,large,38,flexible,2,pandas/core/reshape/pivot.py;pandas/util/_exceptions.py,0,,False,0,,False
pandas,large,44,multi,2,pandas/tseries/index.py;pandas/core/indexing.py,0,,False,0,,False
requests,small,7,single,1,requests/cookies.py,0,,False,0,,False
requests,small,12,multi,3,requests/sessions.py;requests/adapters.py;requests/api.py,0,,False,0,,False
requests,small,13,flexible,1,requests/sessions.py,0,,False,0,,False
rich,medium,1,flexible,1,rich/console.py,0,,False,0,,False
rich,medium,8,single,1,rich/file_proxy.py,0,,False,0,,False
rich,medium,12,multi,4,rich/text.py;rich/syntax.py;rich/console.py;rich/markdown.py,0,,False,0,,False
scikit-learn,large,5,flexible,1,sklearn/decomposition/_pca.py,0,,False,0,,False
scikit-learn,large,45,multi,2,sklearn/decomposition/_truncated_svd.py;sklearn/_min_dependencies.py,0,,False,0,,False
scikit-learn,large,49,single,1,sklearn/linear_model/_coordinate_descent.py,0,,False,0,,False
scrapy,medium,20,flexible,1,scrapy/settings/__init__.py,0,,False,0,,False
scrapy,medium,26,single,1,scrapy/extensions/feedexport.py,0,,False,0,,False
scrapy,medium,48,multi,2,scrapy/commands/shell.py;scrapy/utils/url.py,0,,False,0,,False
stable-diffusion-webui,medium,0,single,1,modules/styles.py,0,,False,0,,False
stable-diffusion-webui,medium,5,multi,3,modules/shared_options.py;modules/ui_extra_networks.py;javascript/extraNetworks.js,0,,False,0,,False
stable-diffusion-webui,medium,13,flexible,2,modules/models/diffusion/ddpm_edit.py;extensions-builtin/LDSR/sd_hijack_ddpm_v1.py,0,,False,0,,False
thefuck,small,5,single,1,thefuck/shells.py,0,,False,0,,False
thefuck,small,10,multi,3,thefuck/conf.py;thefuck/utils.py;thefuck/const.py,0,,False,0,,False
thefuck,small,20,flexible,1,thefuck/shells/fish.py,0,,False,0,,False
transformers,large,5,multi,6,src/transformers/utils/dummy_pt_objects.py;src/transformers/utils/dummy_tf_objects.py;src/transformers/__init__.py;src/transformers/modeling_tf_auto.py;utils/check_repo.py;src/transformers/convert_pytorch_checkpoint_to_tf2.py,0,,False,0,,False
transformers,large,25,single,1,src/transformers/tokenization_utils_base.py,0,,False,0,,False
transformers,large,27,flexible,12,src/transformers/models/barthez/tokenization_barthez_fast.py;src/transformers/models/mbart50/tokenization_mbart50_fast.py;src/transformers/models/pegasus/tokenization_pegasus_fast.py;src/transformers/models/big_bird/tokenization_big_bird_fast.py;src/transformers/models/camembert/tokenization_camembert_fast.py;src/transformers/models/xlm_roberta/tokenization_xlm_roberta_fast.py;src/transformers/models/reformer/tokenization_reformer_fast.py;src/transformers/tokenization_utils_fast.py;src/transformers/models/herbert/tokenization_herbert_fast.py;src/transformers/models/xlnet/tokenization_xlnet_fast.py;src/transformers/models/albert/tokenization_albert_fast.py;src/transformers/models/t5/tokenization_t5_fast.py,0,,False,0,,False
yt-dlp,large,23,flexible,1,yt_dlp/extractor/sportdeutschland.py,0,,False,0,,False
yt-dlp,large,41,single,1,yt_dlp/options.py,0,,False,0,,False
yt-dlp,large,45,multi,2,yt_dlp/__init__.py;yt_dlp/YoutubeDL.py,0,,False,0,,False
