repo,issue_idx,file_a,file_b,dir_distance,cochange_count,rank_of_b_in_a_list,a_total_partners,rank_of_a_in_b_list,b_total_partners
fastapi,9,fastapi/openapi/utils.py,fastapi/routing.py,1,22,2,37,3,39
fastapi,9,fastapi/openapi/utils.py,fastapi/applications.py,1,23,1,37,2,38
fastapi,9,fastapi/routing.py,fastapi/applications.py,0,33,1,39,1,38
flask,18,src/flask/logging.py,src/flask/app.py,0,2,3,19,13,19
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,gpt_engineer/core/files_dict.py,3,2,18,26,11,21
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,gpt_engineer/core/default/steps.py,4,10,2,26,5,27
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,gpt_engineer/core/chat_to_files.py,3,6,5,26,4,26
gpt-engineer,12,gpt_engineer/core/files_dict.py,gpt_engineer/core/default/steps.py,1,2,14,21,21,27
gpt-engineer,12,gpt_engineer/core/files_dict.py,gpt_engineer/core/chat_to_files.py,0,3,8,21,16,26
gpt-engineer,12,gpt_engineer/core/default/steps.py,gpt_engineer/core/chat_to_files.py,1,10,6,27,1,26
keras,12,keras/utils/data_utils.py,keras/utils/__init__.py,0,0,never_cochanged,41,never_cochanged,29
keras,12,keras/utils/data_utils.py,keras/legacy/interfaces.py,2,0,never_cochanged,41,never_cochanged,16
keras,12,keras/utils/data_utils.py,keras/engine/training.py,2,2,11,41,41,48
keras,12,keras/utils/data_utils.py,keras/models.py,1,2,15,41,48,58
keras,12,keras/utils/__init__.py,keras/legacy/interfaces.py,2,0,never_cochanged,29,never_cochanged,16
keras,12,keras/utils/__init__.py,keras/engine/training.py,2,0,never_cochanged,29,never_cochanged,48
keras,12,keras/utils/__init__.py,keras/models.py,1,1,22,29,57,58
keras,12,keras/legacy/interfaces.py,keras/engine/training.py,2,4,4,16,20,48
keras,12,keras/legacy/interfaces.py,keras/models.py,1,2,14,16,46,58
keras,12,keras/engine/training.py,keras/models.py,1,33,1,48,2,58
localstack,19,localstack/constants.py,localstack/utils/persistence.py,1,2,43,73,9,46
localstack,19,localstack/constants.py,localstack/services/ssm/ssm_listener.py,2,1,61,73,1,4
localstack,19,localstack/constants.py,localstack/plugins.py,0,17,4,73,2,78
localstack,19,localstack/constants.py,localstack/services/infra.py,1,30,2,73,1,76
localstack,19,localstack/constants.py,localstack/services/secretsmanager/secretsmanager_starter.py,2,3,34,73,1,6
localstack,19,localstack/constants.py,localstack/services/s3/s3_listener.py,2,10,8,73,6,53
localstack,19,localstack/utils/persistence.py,localstack/services/ssm/ssm_listener.py,3,0,never_cochanged,46,never_cochanged,4
localstack,19,localstack/utils/persistence.py,localstack/plugins.py,1,2,11,46,34,78
localstack,19,localstack/utils/persistence.py,localstack/services/infra.py,2,3,8,46,36,76
localstack,19,localstack/utils/persistence.py,localstack/services/secretsmanager/secretsmanager_starter.py,3,0,never_cochanged,46,never_cochanged,6
localstack,19,localstack/utils/persistence.py,localstack/services/s3/s3_listener.py,3,4,3,46,27,53
localstack,19,localstack/services/ssm/ssm_listener.py,localstack/plugins.py,2,1,2,4,67,78
localstack,19,localstack/services/ssm/ssm_listener.py,localstack/services/infra.py,1,1,3,4,68,76
localstack,19,localstack/services/ssm/ssm_listener.py,localstack/services/secretsmanager/secretsmanager_starter.py,2,0,never_cochanged,4,never_cochanged,6
localstack,19,localstack/services/ssm/ssm_listener.py,localstack/services/s3/s3_listener.py,2,0,never_cochanged,4,never_cochanged,53
localstack,19,localstack/plugins.py,localstack/services/infra.py,1,24,1,78,3,76
localstack,19,localstack/plugins.py,localstack/services/secretsmanager/secretsmanager_starter.py,2,2,30,78,2,6
localstack,19,localstack/plugins.py,localstack/services/s3/s3_listener.py,2,6,6,78,14,53
localstack,19,localstack/services/infra.py,localstack/services/secretsmanager/secretsmanager_starter.py,1,0,never_cochanged,76,never_cochanged,6
localstack,19,localstack/services/infra.py,localstack/services/s3/s3_listener.py,1,11,10,76,5,53
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,localstack/services/s3/s3_listener.py,2,0,never_cochanged,6,never_cochanged,53
pandas,26,pandas/core/generic.py,pandas/tseries/index.py,2,17,13,100,12,98
pandas,38,pandas/core/reshape/pivot.py,pandas/util/_exceptions.py,3,0,never_cochanged,232,never_cochanged,114
pandas,44,pandas/tseries/index.py,pandas/core/indexing.py,2,3,30,77,26,76
requests,12,requests/sessions.py,requests/adapters.py,0,9,4,13,2,6
requests,12,requests/sessions.py,requests/api.py,0,24,2,13,2,12
requests,12,requests/adapters.py,requests/api.py,0,3,4,6,9,12
rich,12,rich/text.py,rich/syntax.py,0,44,3,68,2,65
rich,12,rich/text.py,rich/console.py,0,76,1,68,2,71
rich,12,rich/text.py,rich/markdown.py,0,41,4,68,2,65
