repo,issue_idx,map_condition_raw,pooled_mean_delta_f1,unhelped,issue_weak,ease_of_connection,map_weak_for_gt,conversion_gap,touched_not_kept_rate,n_touched,baseline_f1,ceiling_effect,any_pipeline_flag,fully_explained
keras,5,freq,0.4167,False,True,misleading,True,True,0.4166666666666667,12.0,0.13889166666666666,False,True,True
localstack,9,ast_compact,0.25,False,True,investigation-required,False,False,0.0,12.0,0.75,False,True,True
localstack,9,freq,0.25,False,True,investigation-required,False,False,0.0,12.0,0.75,False,True,True
localstack,9,cochange,0.25,False,True,investigation-required,True,False,0.0,12.0,0.75,False,True,True
transformers,5,cochange,0.2399,False,False,quoted,False,False,0.07692307692307693,26.0,0.44245833333333334,False,False,False
pandas,26,cochange,0.2278,False,False,convention,False,False,0.23809523809523808,21.0,0.46667499999999995,False,False,False
keras,5,cochange,0.2222,False,True,misleading,True,True,0.5454545454545454,11.0,0.13889166666666666,False,True,True
flask,3,freq,0.1667,False,False,convention,False,False,0.0,12.0,0.8333333333333334,False,False,False
thefuck,5,freq,0.1667,False,False,quoted,False,False,0.0,12.0,0.9166666666666666,False,False,False
keras,5,ast_compact,0.1667,False,True,misleading,False,True,0.6363636363636364,11.0,0.13889166666666666,False,True,True
localstack,19,ast_compact,0.145,False,True,missing-detail,True,True,0.3,10.0,0.020833333333333332,False,True,True
localstack,2,cochange,0.1389,False,True,investigation-required,True,False,0.0,12.0,0.8611166666666666,False,True,True
scrapy,48,ast_compact,0.125,False,True,misleading,False,True,0.6363636363636364,11.0,0.13889166666666666,False,True,True
scrapy,48,cochange,0.125,False,True,misleading,False,True,0.6666666666666666,15.0,0.13889166666666666,False,True,True
localstack,19,freq,0.1227,False,True,missing-detail,True,True,0.5625,16.0,0.020833333333333332,False,True,True
transformers,5,ast_compact,0.1214,False,False,quoted,True,False,0.0,18.0,0.44245833333333334,False,True,True
localstack,19,cochange,0.1187,False,True,missing-detail,False,True,0.5384615384615384,13.0,0.020833333333333332,False,True,True
requests,12,cochange,0.1167,False,True,investigation-required,False,False,0.2571428571428571,35.0,0.7000000000000001,False,True,True
pandas,26,freq,0.1167,False,False,convention,False,True,0.3888888888888889,18.0,0.46667499999999995,False,True,True
stable-diffusion-webui,5,freq,0.1111,False,True,missing-detail,False,False,0.16666666666666666,12.0,0.4166833333333333,False,True,True
yt-dlp,41,freq,0.1111,False,False,quoted,False,True,0.6666666666666666,6.0,0.05555833333333333,False,True,True
core,16,ast_compact,0.1111,False,False,convention,False,False,0.0,12.0,0.8888916666666667,False,False,False
pandas,44,ast_compact,0.1111,False,True,misleading,False,True,0.5555555555555556,9.0,0.08333333333333333,False,True,True
core,16,cochange,0.1111,False,False,convention,True,False,0.0,12.0,0.8888916666666667,False,True,True
localstack,2,ast_compact,0.1111,False,True,investigation-required,False,False,0.0,12.0,0.8611166666666666,False,True,True
thefuck,10,cochange,0.1083,False,True,misleading,False,True,0.631578947368421,19.0,0.15,False,True,True
pandas,26,ast_compact,0.1028,False,False,convention,False,True,0.4444444444444444,18.0,0.46667499999999995,False,True,True
requests,12,ast_compact,0.0917,False,True,investigation-required,False,False,0.25806451612903225,31.0,0.7000000000000001,False,True,True
rich,12,freq,0.0889,False,False,convention,False,True,0.5555555555555556,27.0,0.2888916666666667,False,True,True
