repo,issue_idx,role,ground_truth_original,n_original,ground_truth_scored_against,n_scored,excluded_by_source_filter,scored_but_unreachable_via_maps,n_unreachable
core,16,flexible,homeassistant/components/climate/mysensors.py,1,homeassistant/components/climate/mysensors.py,1,,,0
core,20,single,homeassistant/components/notify/html5.py,1,homeassistant/components/notify/html5.py,1,,,0
fastapi,9,multi,docs_src/custom_response/tutorial006.py;fastapi/openapi/utils.py;fastapi/routing.py;fastapi/applications.py,4,docs_src/custom_response/tutorial006.py;fastapi/openapi/utils.py;fastapi/routing.py;fastapi/applications.py,4,,docs_src/custom_response/tutorial006.py,1
fastapi,17,single,fastapi/routing.py,1,fastapi/routing.py,1,,,0
fastapi,20,flexible,fastapi/background.py,1,fastapi/background.py,1,,,0
flask,3,single,src/flask/app.py,1,src/flask/app.py,1,,,0
flask,6,flexible,src/flask/scaffold.py,1,src/flask/scaffold.py,1,,,0
flask,18,multi,src/flask/logging.py;src/flask/app.py,2,src/flask/logging.py;src/flask/app.py,2,,,0
gpt-engineer,9,single,gpt_engineer/core/ai.py,1,gpt_engineer/core/ai.py,1,,,0
gpt-engineer,11,flexible,gpt_engineer/core/diff.py,1,gpt_engineer/core/diff.py,1,,,0
gpt-engineer,12,multi,tests/caching_ai.py;gpt_engineer/applications/cli/file_selector.py;projects/example-improve/controller.py;gpt_engineer/core/files_dict.py;gpt_engineer/core/default/steps.py;gpt_engineer/core/chat_to_files.py,6,gpt_engineer/applications/cli/file_selector.py;projects/example-improve/controller.py;gpt_engineer/core/files_dict.py;gpt_engineer/core/default/steps.py;gpt_engineer/core/chat_to_files.py,5,tests/caching_ai.py,projects/example-improve/controller.py,1
keras,5,flexible,keras/engine/saving.py,1,keras/engine/saving.py,1,,,0
keras,9,single,keras/utils/data_utils.py,1,keras/utils/data_utils.py,1,,,0
keras,12,multi,keras/utils/data_utils.py;keras/utils/__init__.py;keras/legacy/interfaces.py;keras/engine/training.py;keras/models.py,5,keras/utils/data_utils.py;keras/utils/__init__.py;keras/legacy/interfaces.py;keras/engine/training.py;keras/models.py,5,,,0
localstack,2,single,localstack/services/s3/s3_listener.py,1,localstack/services/s3/s3_listener.py,1,,,0
localstack,9,flexible,localstack/services/s3/s3_listener.py,1,localstack/services/s3/s3_listener.py,1,,,0
