model,repo,issue_idx,map_type,rep,gt_file,first_touch_turn,turns_touched
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,ast_compact,1,homeassistant/components/climate/mysensors.py,1,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,ast_compact,2,homeassistant/components/climate/mysensors.py,0,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,ast_compact,3,homeassistant/components/climate/mysensors.py,0,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,cochange,1,homeassistant/components/climate/mysensors.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,cochange,2,homeassistant/components/climate/mysensors.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,cochange,3,homeassistant/components/climate/mysensors.py,0,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,freq,1,homeassistant/components/climate/mysensors.py,5,3
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,freq,2,homeassistant/components/climate/mysensors.py,4,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,freq,3,homeassistant/components/climate/mysensors.py,6,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,none,1,homeassistant/components/climate/mysensors.py,4,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,none,2,homeassistant/components/climate/mysensors.py,6,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,16,none,3,homeassistant/components/climate/mysensors.py,7,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,ast_compact,1,homeassistant/components/notify/html5.py,1,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,ast_compact,2,homeassistant/components/notify/html5.py,0,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,ast_compact,3,homeassistant/components/notify/html5.py,0,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,cochange,1,homeassistant/components/notify/html5.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,cochange,2,homeassistant/components/notify/html5.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,cochange,3,homeassistant/components/notify/html5.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,freq,1,homeassistant/components/notify/html5.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,freq,2,homeassistant/components/notify/html5.py,1,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,freq,3,homeassistant/components/notify/html5.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,none,1,homeassistant/components/notify/html5.py,2,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,none,2,homeassistant/components/notify/html5.py,3,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,core,20,none,3,homeassistant/components/notify/html5.py,4,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,ast_compact,1,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,ast_compact,2,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,ast_compact,3,fastapi/routing.py,6,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,cochange,1,fastapi/routing.py,3,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,cochange,2,fastapi/routing.py,2,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,cochange,3,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,freq,1,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,freq,2,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,freq,3,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,none,1,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,none,2,fastapi/routing.py,5,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,17,none,3,fastapi/routing.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,ast_compact,1,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,ast_compact,2,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,ast_compact,3,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,cochange,1,fastapi/background.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,cochange,2,fastapi/background.py,5,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,cochange,3,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,freq,1,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,freq,2,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,freq,3,fastapi/background.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,none,1,fastapi/background.py,4,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,none,2,fastapi/background.py,7,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,20,none,3,fastapi/background.py,5,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,1,fastapi/openapi/utils.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,1,fastapi/routing.py,2,4
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,1,fastapi/applications.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,2,fastapi/openapi/utils.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,2,fastapi/routing.py,1,1
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,2,fastapi/applications.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,3,fastapi/openapi/utils.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,3,fastapi/routing.py,0,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,ast_compact,3,fastapi/applications.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,cochange,1,fastapi/openapi/utils.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,cochange,1,fastapi/routing.py,0,2
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,cochange,1,fastapi/applications.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,cochange,2,fastapi/openapi/utils.py,na,0
deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,fastapi,9,cochange,2,fastapi/routing.py,1,4
