repo,issue_idx,n_trials,n_gt_total,mean_frac_touched,mean_frac_submitted,mean_gap
scrapy,48,144,2,0.6354,0.1181,0.5174
rich,12,144,4,0.5521,0.1892,0.3628
flask,18,144,2,0.9861,0.6458,0.3403
pandas,44,144,2,0.4097,0.0903,0.3194
thefuck,10,144,3,0.4051,0.1018,0.3032
requests,12,144,3,0.8495,0.5972,0.2523
pandas,26,144,2,0.7361,0.5,0.2361
yt-dlp,45,144,2,0.5556,0.3507,0.2049
localstack,19,144,7,0.1707,0.0516,0.1191
gpt-engineer,12,144,4,0.4115,0.2934,0.1181
stable-diffusion-webui,5,144,2,0.4479,0.3576,0.0903
keras,12,144,5,0.1264,0.0403,0.0861
pandas,38,144,2,0.4965,0.4444,0.0521
transformers,27,144,12,0.1221,0.0833,0.0388
fastapi,9,144,3,0.3565,0.3264,0.0301
transformers,5,144,5,0.4542,0.4458,0.0083
scikit-learn,45,144,2,0.4826,0.4792,0.0035
