repo,issue_idx,model,map_condition_raw,rep,n_gt_total,n_gt_touched,frac_gt_touched,n_gt_submitted,frac_gt_submitted,touched_minus_submitted_frac
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,all_tools_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,ast_compact,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,ast_compact,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,ast_compact,3,3,1,0.3333,0,0.0,0.3333
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,cochange,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,cochange,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,cochange,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,freq,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,freq,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,freq,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,none,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,none,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,none,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,structural_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,temporal_cochange,1,3,1,0.3333,1,0.3333,0.0
