repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
keras,5,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2778,0.25,0.3333,0.4445,mistral/ministral-3b-latest,0.6667,0.2222,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.444; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
keras,5,structural,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1944,0.1667,0.3889,0.5,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.667; mistral/ministral-3b-latest=+0.000
keras,5,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1944,0.1667,0.3191,0.6111,mistral/ministral-3b-latest,0.6667,0.0556,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.111; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
transformers,5,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1805,0.15,0.1814,0.1131,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.3426,0.2295,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.079; deepseek/deepseek-v4-flash=+0.237; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.343; mistral/ministral-3b-latest=+0.222
localstack,9,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.4303,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
localstack,9,structural,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.4303,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
flask,3,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.3333,0.6667,deepseek/deepseek-v4-flash,0.6667,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.000
keras,5,all_tools,all_tools,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.4108,0.7778,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.7778,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.778; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.111
pandas,26,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1583,0.0833,0.3053,0.2945,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.4445,0.15,2,2,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.444; deepseek/deepseek-v4-flash=+0.400; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.100; mistral/ministral-3b-latest=-0.111
yt-dlp,41,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.15,0.25,0.2523,0.0889,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.2444,3,1,0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.267; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.222
