repo,tier,issue_idx,base_commit,commit_date,python_loc,n_source_files,file_type,body_len,title,source_files
youtube-dl,large,0,9fa57892790ce205634f6a7c83de2b9e52ab5284,2016-08-14,86747,2,multi,146,Request support site: Viceland,"['youtube_dl/extractor/uplynk.py', 'youtube_dl/extractor/viceland.py']"
youtube-dl,large,1,5dbe81a1d35ae704b5ea208698a6bb785923d71a,2016-01-08,69249,1,single,1086,Vimeo ondemand download preiview only ,['youtube_dl/extractor/vimeo.py']
youtube-dl,large,2,365343131d752bece96d2279a3e0bcd7e9f0000f,2018-10-01,116464,1,single,505,[PluralSight] Unable to download captions JSON: HTTP Error 404: Not Found,['youtube_dl/extractor/pluralsight.py']
youtube-dl,large,3,50f84a9ae171233c08ada41e03f6555c5ed95236,2015-11-10,65419,1,single,4836,"""ERROR: Signature extraction failed"" for youtube video",['youtube_dl/extractor/youtube.py']
youtube-dl,large,4,ea1f5e5dbd6c58d4f0872a65b97611732f4b29bd,2018-05-02,112688,2,multi,7557,ITV BTCC videos support?,"['youtube_dl/extractor/itv.py', 'youtube_dl/extractor/extractors.py']"
youtube-dl,large,5,e6a836d54ca1d3cd02f3ee45ef707a46f23e8291,2022-08-10,131095,3,multi,2965,"[YouTube] When running without --verbose, … (No terminating paren } in {var b=a.split(""""),…","['youtube_dl/jsinterp.py', 'youtube_dl/utils.py', 'youtube_dl/compat.py']"
youtube-dl,large,6,0f6422590e44e99e9b81cf2367666efe89fae3aa,2022-08-26,131446,2,multi,2904,problem parsing site ceskatelevize.cz while trying to downloading video,"['youtube_dl/extractor/extractors.py', 'youtube_dl/extractor/ceskatelevize.py']"
youtube-dl,large,7,c6c0e23a32ffb9f2e5657aceaede7da1fb44e490,2012-10-22,4341,1,single,138,Is there any way to determine the length of a video without downloading it?,['youtube_dl/InfoExtractors.py']
youtube-dl,large,8,427cc215310804127b55744fcc3664ede38a4a0d,2019-06-10,122338,1,single,2446,How does youtube-dl detect advertisements?,['youtube_dl/downloader/hls.py']
youtube-dl,large,9,8b7340a45eb0e3aeaa996896ff8690b6c3a32af6,2018-03-22,111556,1,single,4116,use youtube-dl with cookies file in code not from command line ,['youtube_dl/YoutubeDL.py']
youtube-dl,large,10,267d81962a0709f15f82f96b7aadbb5473a06992,2018-06-30,114140,1,single,1278,[bilibili]how can i download video on page2?,['youtube_dl/extractor/bilibili.py']
youtube-dl,large,11,eca1f0d115e6a2712ff0d5f6b25e3ded5e52db71,2018-07-01,114154,1,single,442,"[Feature request] Network retry, with configurability",['youtube_dl/options.py']
youtube-dl,large,12,5014bd67c22b421207b2650d4dc874b95b36dda1,2021-12-17,129475,1,single,1391,velocidad de descarga limitada,['youtube_dl/extractor/youtube.py']
youtube-dl,large,13,e90d175436e61e207e0b0cae7f699494dcf15922,2016-04-07,75745,1,single,3720,Chinese title was missing !,['youtube_dl/options.py']
ComfyUI,medium,0,f81dbe26e2e363c28ad043db67b59c11bb33f446,2024-02-21,12645,2,multi,1441,Differential Diffusion: Giving Each Pixel Its Strength,"['nodes.py', 'comfy/samplers.py']"
ComfyUI,medium,3,f7695b5f9e007136da72bd3e79d601e2814a3890,2024-12-03,25764,1,single,477,"Support wildcard type ""*"" in ComfyUI core",['execution.py']
ComfyUI,medium,4,f81dbe26e2e363c28ad043db67b59c11bb33f446,2024-02-21,12645,2,multi,187,Feature Request: Support Differential Diffusion for inpainting.,"['nodes.py', 'comfy/samplers.py']"
