repo,pool_size,pool_n_files_mean,pool_body_len_mean,sel_n_files_mean,sel_body_len_mean
Deep-Live-Cam,7,1.14,1277.86,1.33,1892.33
fastapi,13,3.77,2192.31,1.67,702.67
flask,22,1.23,981.59,1.33,1151.33
gpt-engineer,26,2.73,980.23,1.33,1335.0
keras,26,1.27,1610.0,3.67,707.0
localstack,38,1.92,3391.71,1.67,257.33
open-interpreter,6,1.33,2512.0,1.33,3941.33
pandas,48,1.75,1480.15,1.67,899.33
requests,20,1.3,1178.25,1.67,1145.67
rich,14,4.14,4457.43,1.67,2550.33
scikit-learn,48,2.19,1516.25,5.33,1535.33
scrapy,38,1.74,1869.68,1.67,1272.67
stable-diffusion-webui,14,1.86,7627.79,1.67,13203.67
thefuck,21,1.19,1315.05,1.33,1429.67
yt-dlp,45,1.71,7857.31,1.33,2955.67
