repo,issue_idx,gt_file,map_type,status,token_offset,total_tokens,pct_through_tokens,file_rank,total_files_listed,pct_through_files,date_rank,total_files_with_dates,pct_through_dates
core,16,homeassistant/components/climate/mysensors.py,structural,found,10501.0,63824,16.5,368.0,2123,17.3,,,
core,16,homeassistant/components/climate/mysensors.py,frequency,found,6728.0,30134,22.3,293.0,1281,22.9,488,1281,38.1
core,16,homeassistant/components/climate/mysensors.py,cochange,found,9870.0,55458,17.8,203.0,1170,17.4,,,
core,20,homeassistant/components/notify/html5.py,structural,found,38236.0,64210,59.5,1171.0,2216,52.8,,,
core,20,homeassistant/components/notify/html5.py,frequency,found,4229.0,17694,23.9,187.0,758,24.7,586,758,77.3
core,20,homeassistant/components/notify/html5.py,cochange,found,17897.0,33905,52.8,389.0,758,51.3,,,
fastapi,9,fastapi/applications.py,structural,found,0.0,6254,0.0,1.0,178,0.6,,,
fastapi,9,fastapi/applications.py,frequency,found,62.0,855,7.3,4.0,41,9.8,10,41,24.4
fastapi,9,fastapi/applications.py,cochange,found,39.0,1638,2.4,2.0,41,4.9,,,
fastapi,9,fastapi/openapi/utils.py,structural,found,2654.0,6254,42.4,100.0,178,56.2,,,
fastapi,9,fastapi/openapi/utils.py,frequency,found,82.0,855,9.6,5.0,41,12.2,5,41,12.2
fastapi,9,fastapi/openapi/utils.py,cochange,found,884.0,1638,54.0,23.0,41,56.1,,,
fastapi,9,fastapi/routing.py,structural,found,3906.0,6254,62.5,135.0,178,75.8,,,
fastapi,9,fastapi/routing.py,frequency,found,21.0,855,2.5,2.0,41,4.9,2,41,4.9
fastapi,9,fastapi/routing.py,cochange,found,1077.0,1638,65.8,28.0,41,68.3,,,
fastapi,17,fastapi/routing.py,structural,found,4202.0,6810,61.7,131.0,176,74.4,,,
fastapi,17,fastapi/routing.py,frequency,found,21.0,879,2.4,2.0,42,4.8,2,42,4.8
fastapi,17,fastapi/routing.py,cochange,found,1076.0,1630,66.0,29.0,42,69.0,,,
fastapi,20,fastapi/background.py,structural,never_included,,6365,,,175,,,,
fastapi,20,fastapi/background.py,frequency,found,495.0,855,57.9,25.0,41,61.0,22,41,53.7
fastapi,20,fastapi/background.py,cochange,found,74.0,1571,4.7,3.0,41,7.3,,,
flask,3,src/flask/app.py,structural,found,16.0,5064,0.3,3.0,143,2.1,,,
flask,3,src/flask/app.py,frequency,found,0.0,511,0.0,1.0,24,4.2,1,24,4.2
flask,3,src/flask/app.py,cochange,found,79.0,926,8.5,3.0,24,12.5,,,
flask,6,src/flask/scaffold.py,structural,found,3419.0,4841,70.6,103.0,137,75.2,,,
flask,6,src/flask/scaffold.py,frequency,found,103.0,440,23.4,6.0,21,28.6,3,21,14.3
flask,6,src/flask/scaffold.py,cochange,found,492.0,799,61.6,14.0,21,66.7,,,
flask,18,src/flask/app.py,structural,found,100.0,4913,2.0,8.0,149,5.4,,,
flask,18,src/flask/app.py,frequency,found,0.0,419,0.0,1.0,20,5.0,1,20,5.0
flask,18,src/flask/app.py,cochange,found,123.0,798,15.4,4.0,20,20.0,,,
flask,18,src/flask/logging.py,structural,found,3929.0,4913,80.0,117.0,149,78.5,,,
flask,18,src/flask/logging.py,frequency,found,227.0,419,54.2,12.0,20,60.0,12,20,60.0
flask,18,src/flask/logging.py,cochange,found,517.0,798,64.8,14.0,20,70.0,,,
gpt-engineer,9,gpt_engineer/core/ai.py,structural,found,1097.0,3027,36.2,28.0,107,26.2,,,
gpt-engineer,9,gpt_engineer/core/ai.py,frequency,found,97.0,814,11.9,5.0,34,14.7,8,34,23.5
gpt-engineer,9,gpt_engineer/core/ai.py,cochange,found,483.0,1738,27.8,10.0,34,29.4,,,
gpt-engineer,11,gpt_engineer/core/diff.py,structural,found,2067.0,2961,69.8,66.0,105,62.9,,,
gpt-engineer,11,gpt_engineer/core/diff.py,frequency,found,168.0,790,21.3,8.0,33,24.2,7,33,21.2
gpt-engineer,11,gpt_engineer/core/diff.py,cochange,found,1159.0,1684,68.8,23.0,33,69.7,,,
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,structural,found,188.0,1920,9.8,7.0,73,9.6,,,
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,frequency,found,48.0,699,6.9,3.0,29,10.3,1,29,3.4
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,cochange,found,272.0,1520,17.9,6.0,29,20.7,,,
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,structural,found,1021.0,1920,53.2,31.0,73,42.5,,,
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,frequency,found,121.0,699,17.3,6.0,29,20.7,13,29,44.8
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,cochange,found,693.0,1520,45.6,14.0,29,48.3,,,
gpt-engineer,12,gpt_engineer/core/default/steps.py,structural,found,1480.0,1920,77.1,50.0,73,68.5,,,
gpt-engineer,12,gpt_engineer/core/default/steps.py,frequency,found,24.0,699,3.4,2.0,29,6.9,12,29,41.4
gpt-engineer,12,gpt_engineer/core/default/steps.py,cochange,found,1107.0,1520,72.8,22.0,29,75.9,,,
gpt-engineer,12,gpt_engineer/core/files_dict.py,structural,found,1603.0,1920,83.5,59.0,73,80.8,,,
gpt-engineer,12,gpt_engineer/core/files_dict.py,frequency,found,530.0,699,75.8,23.0,29,79.3,10,29,34.5
gpt-engineer,12,gpt_engineer/core/files_dict.py,cochange,found,1159.0,1520,76.2,23.0,29,79.3,,,
keras,5,keras/engine/saving.py,structural,found,10309.0,24258,42.5,586.0,930,63.0,,,
keras,5,keras/engine/saving.py,frequency,found,1324.0,1798,73.6,61.0,81,75.3,28,81,34.6
keras,5,keras/engine/saving.py,cochange,found,1449.0,3281,44.2,35.0,81,43.2,,,
keras,9,keras/utils/data_utils.py,structural,found,24840.0,26143,95.0,919.0,976,94.2,,,
keras,9,keras/utils/data_utils.py,frequency,found,391.0,1622,24.1,19.0,73,26.0,13,73,17.8
keras,9,keras/utils/data_utils.py,cochange,found,2604.0,2970,87.7,64.0,73,87.7,,,
keras,12,keras/engine/training.py,structural,found,9714.0,21583,45.0,575.0,877,65.6,,,
keras,12,keras/engine/training.py,frequency,found,152.0,1455,10.4,8.0,66,12.1,1,66,1.5
keras,12,keras/engine/training.py,cochange,found,1097.0,2646,41.5,27.0,66,40.9,,,
keras,12,keras/legacy/interfaces.py,structural,found,16882.0,21583,78.2,709.0,877,80.8,,,
keras,12,keras/legacy/interfaces.py,frequency,found,391.0,1455,26.9,19.0,66,28.8,11,66,16.7
keras,12,keras/legacy/interfaces.py,cochange,found,1757.0,2646,66.4,43.0,66,65.2,,,
keras,12,keras/models.py,structural,found,17846.0,21583,82.7,764.0,877,87.1,,,
keras,12,keras/models.py,frequency,found,21.0,1455,1.4,2.0,66,3.0,29,66,43.9
keras,12,keras/models.py,cochange,found,1942.0,2646,73.4,48.0,66,72.7,,,
keras,12,keras/utils/__init__.py,structural,never_included,,21583,,,877,,,,
keras,12,keras/utils/__init__.py,frequency,found,1271.0,1455,87.4,59.0,66,89.4,17,66,25.8
keras,12,keras/utils/__init__.py,cochange,found,2238.0,2646,84.6,56.0,66,84.8,,,
keras,12,keras/utils/data_utils.py,structural,found,20683.0,21583,95.8,834.0,877,95.1,,,
keras,12,keras/utils/data_utils.py,frequency,found,916.0,1455,63.0,43.0,66,65.2,41,66,62.1
keras,12,keras/utils/data_utils.py,cochange,found,2321.0,2646,87.7,58.0,66,87.9,,,
localstack,2,localstack/services/s3/s3_listener.py,structural,found,23563.0,40348,58.4,1090.0,1967,55.4,,,
localstack,2,localstack/services/s3/s3_listener.py,frequency,found,70.0,4902,1.4,4.0,209,1.9,1,209,0.5
localstack,2,localstack/services/s3/s3_listener.py,cochange,found,5985.0,9460,63.3,131.0,209,62.7,,,
localstack,9,localstack/services/s3/s3_listener.py,structural,found,9191.0,20042,45.9,597.0,1264,47.2,,,
localstack,9,localstack/services/s3/s3_listener.py,frequency,found,65.0,2635,2.5,4.0,112,3.6,1,112,0.9
localstack,9,localstack/services/s3/s3_listener.py,cochange,found,2751.0,5131,53.6,61.0,112,54.5,,,
localstack,19,localstack/constants.py,structural,never_included,,15602,,,991,,,,
localstack,19,localstack/constants.py,frequency,found,46.0,2320,2.0,3.0,99,3.0,28,99,28.3
localstack,19,localstack/constants.py,cochange,found,75.0,4525,1.7,3.0,99,3.0,,,
localstack,19,localstack/plugins.py,structural,found,570.0,15602,3.7,54.0,991,5.4,,,
localstack,19,localstack/plugins.py,frequency,found,412.0,2320,17.8,19.0,99,19.2,29,99,29.3
localstack,19,localstack/plugins.py,cochange,found,230.0,4525,5.1,7.0,99,7.1,,,
localstack,19,localstack/services/infra.py,structural,found,5967.0,15602,38.2,393.0,991,39.7,,,
localstack,19,localstack/services/infra.py,frequency,found,113.0,2320,4.9,6.0,99,6.1,22,99,22.2
localstack,19,localstack/services/infra.py,cochange,found,1814.0,4525,40.1,41.0,99,41.4,,,
localstack,19,localstack/services/s3/s3_listener.py,structural,found,7092.0,15602,45.5,469.0,991,47.3,,,
localstack,19,localstack/services/s3/s3_listener.py,frequency,found,65.0,2320,2.8,4.0,99,4.0,14,99,14.1
localstack,19,localstack/services/s3/s3_listener.py,cochange,found,2395.0,4525,52.9,54.0,99,54.5,,,
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,structural,found,8159.0,15602,52.3,538.0,991,54.3,,,
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,frequency,found,1109.0,2320,47.8,49.0,99,49.5,49,99,49.5
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,cochange,found,2535.0,4525,56.0,57.0,99,57.6,,,
localstack,19,localstack/services/ssm/ssm_listener.py,structural,found,8933.0,15602,57.3,593.0,991,59.8,,,
localstack,19,localstack/services/ssm/ssm_listener.py,frequency,found,1987.0,2320,85.6,86.0,99,86.9,44,99,44.4
localstack,19,localstack/services/ssm/ssm_listener.py,cochange,found,2962.0,4525,65.5,66.0,99,66.7,,,
localstack,19,localstack/utils/persistence.py,structural,found,14990.0,15602,96.1,947.0,991,95.6,,,
localstack,19,localstack/utils/persistence.py,frequency,found,684.0,2320,29.5,31.0,99,31.3,51,99,51.5
localstack,19,localstack/utils/persistence.py,cochange,found,4301.0,4525,95.0,95.0,99,96.0,,,
pandas,26,pandas/core/generic.py,structural,found,12931.0,63996,20.2,427.0,1703,25.1,,,
pandas,26,pandas/core/generic.py,frequency,found,145.0,2564,5.7,8.0,120,6.7,2,120,1.7
pandas,26,pandas/core/generic.py,cochange,found,1080.0,4268,25.3,30.0,120,25.0,,,
pandas,26,pandas/tseries/index.py,structural,found,56588.0,63996,88.4,1427.0,1703,83.8,,,
pandas,26,pandas/tseries/index.py,frequency,found,230.0,2564,9.0,12.0,120,10.0,40,120,33.3
pandas,26,pandas/tseries/index.py,cochange,found,3673.0,4268,86.1,105.0,120,87.5,,,
pandas,35,pandas/src/generate_code.py,structural,found,49849.0,68768,72.5,1132.0,1766,64.1,,,
pandas,35,pandas/src/generate_code.py,frequency,found,780.0,2589,30.1,38.0,121,31.4,32,121,26.4
pandas,35,pandas/src/generate_code.py,cochange,found,2797.0,4310,64.9,79.0,121,65.3,,,
pandas,38,pandas/core/reshape/pivot.py,structural,found,48435.0,68547,70.7,830.0,1137,73.0,,,
pandas,38,pandas/core/reshape/pivot.py,frequency,found,1430.0,6759,21.2,65.0,294,22.1,102,294,34.7
pandas,38,pandas/core/reshape/pivot.py,cochange,found,7602.0,12445,61.1,179.0,294,60.9,,,
pandas,38,pandas/util/_exceptions.py,structural,pruned_out,,68547,,,1137,,,,
pandas,38,pandas/util/_exceptions.py,frequency,found,4529.0,6759,67.0,200.0,294,68.0,174,294,59.2
pandas,38,pandas/util/_exceptions.py,cochange,found,12207.0,12445,98.1,289.0,294,98.3,,,
pandas,44,pandas/core/indexing.py,structural,found,13485.0,48628,27.7,332.0,1327,25.0,,,
pandas,44,pandas/core/indexing.py,frequency,found,271.0,2186,12.4,14.0,103,13.6,39,103,37.9
pandas,44,pandas/core/indexing.py,cochange,found,661.0,3595,18.4,20.0,103,19.4,,,
pandas,44,pandas/tseries/index.py,structural,found,42432.0,48628,87.3,1115.0,1327,84.0,,,
pandas,44,pandas/tseries/index.py,frequency,found,229.0,2186,10.5,12.0,103,11.7,20,103,19.4
pandas,44,pandas/tseries/index.py,cochange,found,2962.0,3595,82.4,87.0,103,84.5,,,
requests,7,requests/cookies.py,structural,found,523.0,2570,20.4,23.0,98,23.5,,,
requests,7,requests/cookies.py,frequency,found,130.0,262,49.6,8.0,14,57.1,7,14,50.0
requests,7,requests/cookies.py,cochange,found,180.0,419,43.0,7.0,14,50.0,,,
requests,12,requests/adapters.py,structural,found,24.0,2246,1.1,3.0,91,3.3,,,
requests,12,requests/adapters.py,frequency,found,111.0,262,42.4,7.0,14,50.0,2,14,14.3
requests,12,requests/adapters.py,cochange,found,31.0,415,7.5,2.0,14,14.3,,,
requests,12,requests/api.py,structural,found,204.0,2246,9.1,6.0,91,6.6,,,
requests,12,requests/api.py,frequency,found,55.0,262,21.0,4.0,14,28.6,3,14,21.4
requests,12,requests/api.py,cochange,found,61.0,415,14.7,3.0,14,21.4,,,
requests,12,requests/sessions.py,structural,found,1484.0,2246,66.1,54.0,91,59.3,,,
requests,12,requests/sessions.py,frequency,found,18.0,262,6.9,2.0,14,14.3,4,14,28.6
requests,12,requests/sessions.py,cochange,found,295.0,415,71.1,11.0,14,78.6,,,
requests,13,requests/sessions.py,structural,found,1527.0,2289,66.7,54.0,91,59.3,,,
requests,13,requests/sessions.py,frequency,found,18.0,262,6.9,2.0,14,14.3,1,14,7.1
requests,13,requests/sessions.py,cochange,found,294.0,413,71.2,11.0,14,78.6,,,
rich,1,rich/console.py,structural,found,2027.0,13992,14.5,98.0,359,27.3,,,
rich,1,rich/console.py,frequency,found,0.0,1447,0.0,1.0,76,1.3,3,76,3.9
rich,1,rich/console.py,cochange,found,866.0,2253,38.4,30.0,76,39.5,,,
rich,8,rich/file_proxy.py,structural,found,4796.0,14306,33.5,150.0,364,41.2,,,
rich,8,rich/file_proxy.py,frequency,found,1118.0,1487,75.2,60.0,78,76.9,40,78,51.3
rich,8,rich/file_proxy.py,cochange,found,1109.0,2283,48.6,40.0,78,51.3,,,
rich,12,rich/console.py,structural,found,2244.0,14660,15.3,102.0,370,27.6,,,
rich,12,rich/console.py,frequency,found,0.0,1487,0.0,1.0,78,1.3,4,78,5.1
rich,12,rich/console.py,cochange,found,897.0,2285,39.3,32.0,78,41.0,,,
rich,12,rich/markdown.py,structural,found,6123.0,14660,41.8,190.0,370,51.4,,,
rich,12,rich/markdown.py,frequency,found,92.0,1487,6.2,6.0,78,7.7,1,78,1.3
rich,12,rich/markdown.py,cochange,found,1386.0,2285,60.7,49.0,78,62.8,,,
rich,12,rich/syntax.py,structural,found,12041.0,14660,82.1,332.0,370,89.7,,,
rich,12,rich/syntax.py,frequency,found,148.0,1487,10.0,9.0,78,11.5,10,78,12.8
rich,12,rich/syntax.py,cochange,found,2045.0,2285,89.5,71.0,78,91.0,,,
rich,12,rich/text.py,structural,found,13093.0,14660,89.3,347.0,370,93.8,,,
rich,12,rich/text.py,frequency,found,18.0,1487,1.2,2.0,78,2.6,2,78,2.6
rich,12,rich/text.py,cochange,found,2138.0,2285,93.6,74.0,78,94.9,,,
scikit-learn,5,sklearn/decomposition/_pca.py,structural,found,10543.0,56854,18.5,322.0,1456,22.1,,,
scikit-learn,5,sklearn/decomposition/_pca.py,frequency,found,2474.0,5271,46.9,111.0,227,48.9,25,227,11.0
scikit-learn,5,sklearn/decomposition/_pca.py,cochange,found,2506.0,10161,24.7,56.0,227,24.7,,,
scikit-learn,45,sklearn/_min_dependencies.py,structural,never_included,,61608,,,1517,,,,
scikit-learn,45,sklearn/_min_dependencies.py,frequency,found,5057.0,5504,91.9,219.0,237,92.4,170,237,71.7
scikit-learn,45,sklearn/_min_dependencies.py,cochange,found,197.0,10624,1.9,6.0,237,2.5,,,
scikit-learn,45,sklearn/decomposition/_truncated_svd.py,structural,found,11741.0,61608,19.1,342.0,1517,22.5,,,
scikit-learn,45,sklearn/decomposition/_truncated_svd.py,frequency,found,2373.0,5504,43.1,106.0,237,44.7,73,237,30.8
scikit-learn,45,sklearn/decomposition/_truncated_svd.py,cochange,found,2576.0,10624,24.2,58.0,237,24.5,,,
scikit-learn,49,sklearn/linear_model/_coordinate_descent.py,structural,found,26572.0,58060,45.8,588.0,1453,40.5,,,
scikit-learn,49,sklearn/linear_model/_coordinate_descent.py,frequency,found,1391.0,5316,26.2,64.0,229,27.9,3,229,1.3
scikit-learn,49,sklearn/linear_model/_coordinate_descent.py,cochange,found,5308.0,10256,51.8,117.0,229,51.1,,,
scrapy,20,scrapy/settings/__init__.py,structural,found,15831.0,22293,71.0,356.0,676,52.7,,,
scrapy,20,scrapy/settings/__init__.py,frequency,found,337.0,3718,9.1,17.0,170,10.0,18,170,10.6
scrapy,20,scrapy/settings/__init__.py,cochange,found,4530.0,6855,66.1,111.0,170,65.3,,,
scrapy,26,scrapy/extensions/feedexport.py,structural,found,8750.0,21635,40.4,203.0,656,30.9,,,
scrapy,26,scrapy/extensions/feedexport.py,frequency,found,130.0,3718,3.5,7.0,170,4.1,54,170,31.8
scrapy,26,scrapy/extensions/feedexport.py,cochange,found,2865.0,6841,41.9,68.0,170,40.0,,,
scrapy,48,scrapy/commands/shell.py,structural,found,1142.0,17934,6.4,41.0,552,7.4,,,
scrapy,48,scrapy/commands/shell.py,frequency,found,798.0,5192,15.4,37.0,232,15.9,88,232,37.9
scrapy,48,scrapy/commands/shell.py,cochange,found,597.0,9637,6.2,16.0,232,6.9,,,
scrapy,48,scrapy/utils/url.py,structural,found,17846.0,17934,99.5,545.0,552,98.7,,,
scrapy,48,scrapy/utils/url.py,frequency,found,238.0,5192,4.6,12.0,232,5.2,58,232,25.0
scrapy,48,scrapy/utils/url.py,cochange,found,9598.0,9637,99.6,232.0,232,100.0,,,
stable-diffusion-webui,0,modules/styles.py,structural,found,17913.0,23672,75.7,787.0,1045,75.3,,,
stable-diffusion-webui,0,modules/styles.py,frequency,found,884.0,2840,31.1,44.0,135,32.6,1,135,0.7
stable-diffusion-webui,0,modules/styles.py,cochange,found,3517.0,4818,73.0,101.0,135,74.8,,,
stable-diffusion-webui,5,modules/shared_options.py,structural,never_included,,23669,,,1038,,,,
stable-diffusion-webui,5,modules/shared_options.py,frequency,found,602.0,2823,21.3,30.0,134,22.4,5,134,3.7
stable-diffusion-webui,5,modules/shared_options.py,cochange,found,3379.0,4775,70.8,98.0,134,73.1,,,
stable-diffusion-webui,5,modules/ui_extra_networks.py,structural,found,21224.0,23669,89.7,954.0,1038,91.9,,,
stable-diffusion-webui,5,modules/ui_extra_networks.py,frequency,found,311.0,2823,11.0,16.0,134,11.9,17,134,12.7
stable-diffusion-webui,5,modules/ui_extra_networks.py,cochange,found,4167.0,4775,87.3,119.0,134,88.8,,,
stable-diffusion-webui,13,modules/models/diffusion/ddpm_edit.py,structural,found,5310.0,20051,26.5,286.0,868,32.9,,,
stable-diffusion-webui,13,modules/models/diffusion/ddpm_edit.py,frequency,found,1535.0,2216,69.3,74.0,105,70.5,50,105,47.6
stable-diffusion-webui,13,modules/models/diffusion/ddpm_edit.py,cochange,found,1122.0,3743,30.0,35.0,105,33.3,,,
thefuck,5,thefuck/shells.py,structural,found,2429.0,3692,65.8,292.0,355,82.3,,,
thefuck,5,thefuck/shells.py,frequency,found,20.0,2210,0.9,2.0,97,2.1,3,97,3.1
thefuck,5,thefuck/shells.py,cochange,found,3593.0,4063,88.4,86.0,97,88.7,,,
thefuck,10,thefuck/conf.py,structural,found,80.0,6889,1.2,3.0,696,0.4,,,
thefuck,10,thefuck/conf.py,frequency,found,62.0,4755,1.3,4.0,203,2.0,55,203,27.1
thefuck,10,thefuck/conf.py,cochange,found,60.0,7701,0.8,3.0,203,1.5,,,
thefuck,10,thefuck/const.py,structural,found,228.0,6889,3.3,5.0,696,0.7,,,
thefuck,10,thefuck/const.py,frequency,found,302.0,4755,6.4,15.0,203,7.4,57,203,28.1
thefuck,10,thefuck/const.py,cochange,found,95.0,7701,1.2,4.0,203,2.0,,,
thefuck,10,thefuck/utils.py,structural,found,6535.0,6889,94.9,670.0,696,96.3,,,
thefuck,10,thefuck/utils.py,frequency,found,0.0,4755,0.0,1.0,203,0.5,18,203,8.9
thefuck,10,thefuck/utils.py,cochange,found,7666.0,7701,99.5,203.0,203,100.0,,,
thefuck,20,thefuck/shells/fish.py,structural,found,4218.0,5596,75.4,490.0,554,88.4,,,
thefuck,20,thefuck/shells/fish.py,frequency,found,211.0,3727,5.7,11.0,160,6.9,121,160,75.6
thefuck,20,thefuck/shells/fish.py,cochange,found,6406.0,7166,89.4,143.0,160,89.4,,,
transformers,5,src/transformers/__init__.py,structural,never_included,,60787,,,1102,,,,
transformers,5,src/transformers/__init__.py,frequency,found,0.0,6785,0.0,1.0,269,0.4,1,269,0.4
transformers,5,src/transformers/__init__.py,cochange,found,0.0,14464,0.0,1.0,269,0.4,,,
transformers,5,src/transformers/convert_pytorch_checkpoint_to_tf2.py,structural,found,3411.0,60787,5.6,70.0,1102,6.4,,,
transformers,5,src/transformers/convert_pytorch_checkpoint_to_tf2.py,frequency,found,1427.0,6785,21.0,60.0,269,22.3,232,269,86.2
transformers,5,src/transformers/convert_pytorch_checkpoint_to_tf2.py,cochange,found,3859.0,14464,26.7,74.0,269,27.5,,,
transformers,5,src/transformers/modeling_tf_auto.py,structural,found,27346.0,60787,45.0,551.0,1102,50.0,,,
transformers,5,src/transformers/modeling_tf_auto.py,frequency,found,963.0,6785,14.2,41.0,269,15.2,13,269,4.8
transformers,5,src/transformers/modeling_tf_auto.py,cochange,found,7781.0,14464,53.8,146.0,269,54.3,,,
transformers,5,src/transformers/utils/dummy_pt_objects.py,structural,pruned_out,,60787,,,1102,,,,
