repo,issue_idx,map_type,chars_div_4_estimate,cl100k_base,ministral-3b,deepseek-v4-flash,nemotron-3-super,gpt-oss-120b
core,16,structural,54867,63824,76792,68941,76792,63884
core,16,frequency,23482,30134,37913,32493,37913,30160
core,16,cochange,54985,55458,63267,63967,63267,55592
core,20,structural,54953,64210,76575,69187,76575,64333
core,20,frequency,13850,17694,22341,19145,22341,17731
core,20,cochange,34046,33905,38897,39393,38897,34071
fastapi,17,structural,7367,6810,7581,7425,7581,6913
fastapi,17,frequency,578,879,1076,913,1076,883
fastapi,17,cochange,1267,1630,1689,1704,1689,1634
fastapi,20,structural,6827,6365,7123,6952,7123,6491
fastapi,20,frequency,561,855,1045,887,1045,858
fastapi,20,cochange,1210,1571,1622,1662,1622,1574
fastapi,9,structural,6668,6254,7036,6822,7036,6381
fastapi,9,frequency,561,855,1045,887,1045,858
fastapi,9,cochange,1282,1638,1701,1776,1701,1641
flask,18,structural,4093,4913,5834,5226,5834,4928
flask,18,frequency,251,419,523,432,523,422
flask,18,cochange,527,798,882,846,882,807
flask,3,structural,4270,5064,6000,5379,6000,5087
flask,3,frequency,313,511,657,526,657,515
flask,3,cochange,636,926,1088,978,1088,945
flask,6,structural,4047,4841,5737,5150,5737,4859
flask,6,frequency,267,440,564,454,564,443
flask,6,cochange,537,799,915,854,915,817
gpt-engineer,11,structural,2586,2961,3360,3203,3360,2971
gpt-engineer,11,frequency,542,790,951,866,951,797
gpt-engineer,11,cochange,1383,1684,1730,2023,1730,1754
gpt-engineer,12,structural,1674,1920,2181,2088,2181,1927
gpt-engineer,12,frequency,483,699,840,769,840,706
gpt-engineer,12,cochange,1261,1520,1567,1827,1567,1579
gpt-engineer,9,structural,2635,3027,3433,3270,3433,3038
gpt-engineer,9,frequency,556,814,979,890,979,821
gpt-engineer,9,cochange,1427,1738,1784,2083,1784,1809
keras,12,structural,17631,21583,25207,23084,25207,21689
keras,12,frequency,925,1455,1740,1453,1740,1393
keras,12,cochange,2053,2646,2776,2801,2776,2595
keras,5,structural,20217,24258,28512,26061,28512,24447
keras,5,frequency,1153,1798,2151,1800,2151,1727
keras,5,cochange,2580,3281,3462,3476,3462,3234
keras,9,structural,21800,26143,30594,28079,30594,26315
keras,9,frequency,1035,1622,1939,1619,1939,1552
keras,9,cochange,2308,2970,3107,3127,3107,2904
localstack,19,structural,14406,15602,18531,17039,18531,15652
localstack,19,frequency,1711,2320,2815,2455,2815,2330
localstack,19,cochange,4093,4525,4732,4909,4732,4550
localstack,2,structural,37303,40348,47799,43755,47799,40548
localstack,2,frequency,3681,4902,5932,5195,5932,4924
localstack,2,cochange,8884,9460,9877,10378,9877,9529
localstack,9,structural,18582,20042,23735,21846,23735,20105
localstack,9,frequency,1950,2635,3208,2784,3208,2645
localstack,9,cochange,4666,5131,5393,5555,5393,5160
pandas,26,structural,49452,63996,75572,67837,75572,64370
pandas,26,frequency,1601,2564,3201,2665,3201,2587
pandas,26,cochange,3288,4268,4664,4596,4664,4329
pandas,35,structural,53361,68768,81178,72946,81178,69201
pandas,35,frequency,1616,2589,3237,2692,3237,2612
pandas,35,cochange,3310,4310,4715,4650,4715,4373
pandas,38,structural,54891,68547,79950,72305,79950,68805
pandas,38,frequency,4380,6759,8332,7022,8332,6788
pandas,38,cochange,9805,12445,13445,13422,13445,12553
pandas,44,structural,37229,48628,57395,51407,57395,48912
pandas,44,frequency,1350,2186,2715,2274,2715,2205
