repo,tier,issue_idx,role,n_gt_files,ground_truth,n_gt_files_pruned,gt_files_pruned,any_gt_pruned,n_files_pruned_total
flask,small,3,single,1,src/flask/app.py,0,,False,0
flask,small,18,multi,2,src/flask/logging.py;src/flask/app.py,0,,False,0
flask,small,6,flexible,1,src/flask/scaffold.py,0,,False,0
thefuck,small,5,single,1,thefuck/shells.py,0,,False,0
thefuck,small,10,multi,3,thefuck/conf.py;thefuck/utils.py;thefuck/const.py,0,,False,0
thefuck,small,20,flexible,1,thefuck/shells/fish.py,0,,False,0
fastapi,small,17,single,1,fastapi/routing.py,0,,False,0
fastapi,small,9,multi,4,docs_src/custom_response/tutorial006.py;fastapi/openapi/utils.py;fastapi/routing.py;fastapi/applications.py,0,,False,0
fastapi,small,20,flexible,1,fastapi/background.py,0,,False,0
requests,small,7,single,1,requests/cookies.py,0,,False,0
requests,small,12,multi,3,requests/sessions.py;requests/adapters.py;requests/api.py,0,,False,0
requests,small,13,flexible,1,requests/sessions.py,0,,False,0
gpt-engineer,small,9,single,1,gpt_engineer/core/ai.py,0,,False,0
gpt-engineer,small,12,multi,6,tests/caching_ai.py;gpt_engineer/applications/cli/file_selector.py;projects/example-improve/controller.py;gpt_engineer/core/files_dict.py;gpt_engineer/core/default/steps.py;gpt_engineer/core/chat_to_files.py,0,,False,0
gpt-engineer,small,11,flexible,1,gpt_engineer/core/diff.py,0,,False,0
scrapy,medium,26,single,1,scrapy/extensions/feedexport.py,0,,False,0
scrapy,medium,48,multi,2,scrapy/commands/shell.py;scrapy/utils/url.py,0,,False,0
scrapy,medium,20,flexible,1,scrapy/settings/__init__.py,0,,False,0
rich,medium,8,single,1,rich/file_proxy.py,0,,False,0
rich,medium,12,multi,4,rich/text.py;rich/syntax.py;rich/console.py;rich/markdown.py,0,,False,0
rich,medium,1,flexible,1,rich/console.py,0,,False,0
stable-diffusion-webui,medium,0,single,1,modules/styles.py,0,,False,0
stable-diffusion-webui,medium,5,multi,3,modules/shared_options.py;modules/ui_extra_networks.py;javascript/extraNetworks.js,0,,False,0
