metric,group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,mean_diff,mannwhitney_u,p_mwu_exact,p_mwu_asymptotic_auto,p_permutation,p_holm
precision,no_map,structural,15,15,0.7,0.5905,0.5,0.5,0.1095,147.0,0.16068547253720922,0.14343261961361004,0.32366,0.8034273626860461
precision,no_map,frequency,15,15,0.7,0.7587,0.5,0.9091,-0.0587,114.0,0.9674172975431788,0.9646895664247988,0.48538,1.0
precision,no_map,cochange,15,15,0.7,0.7513,0.5,0.9091,-0.0513,112.5,1.0,1.0,0.57658,1.0
precision,no_map,placebo,15,14,0.7,0.75,0.5,0.75,-0.05,94.5,0.682953879097603,0.6125971528470968,0.8658,1.0
precision,cochange,placebo,15,14,0.7513,0.75,0.9091,0.75,0.0013,94.5,0.682953879097603,0.6430656156467722,0.96032,1.0
recall,no_map,structural,15,15,0.0833,0.5111,0.0833,0.75,-0.4278,60.0,0.029496474672880277,0.011788445387441459,0.00076,0.09169006827855421
recall,no_map,frequency,15,15,0.0833,0.4277,0.0833,0.0833,-0.3444,60.0,0.029496474672880277,0.0033910592918003093,0.00636,0.09169006827855421
recall,no_map,cochange,15,15,0.0833,0.4889,0.0833,0.8333,-0.4056,52.5,0.012799031340882706,0.001358282553211531,0.00248,0.06399515670441352
recall,no_map,placebo,15,14,0.0833,0.119,0.0833,0.0833,-0.0357,97.5,0.7799949612397105,0.33399825582199794,0.9688,0.7799949612397105
recall,cochange,placebo,15,14,0.4889,0.119,0.8333,0.0833,0.3698,157.5,0.022922517069638552,0.005166848732219279,0.00266,0.09169006827855421
f1,no_map,structural,15,15,0.1473,0.4564,0.1429,0.5263,-0.3091,57.0,0.02090230684451376,0.017941503442798507,0.00098,0.043557516907181085
f1,no_map,frequency,15,15,0.1473,0.4416,0.1429,0.1538,-0.2943,54.0,0.014519172302393695,0.010239572839415345,0.00294,0.043557516907181085
f1,no_map,cochange,15,15,0.1473,0.4302,0.1429,0.5263,-0.2829,28.5,0.00026430283310357203,0.00025576508776308405,0.00024,0.00132151416551786
f1,no_map,placebo,15,14,0.1473,0.19,0.1429,0.1483,-0.0427,91.5,0.5907449268141988,0.5157374593022788,0.50296,0.5907449268141988
f1,cochange,placebo,15,14,0.4302,0.19,0.5263,0.1483,0.2402,170.5,0.0037044171412745643,0.0028814790564774023,0.0112,0.014817668565098257
