model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,135,0.0,133.5,0.04143214100058087,0.4258064516129032,0.08286428200116173
deepseek-flash,temporal_frequency_vs_baseline,135,0.0,100.0,0.24651554213882,0.2753623188405797,0.24651554213882
deepseek-flash,temporal_cochange_vs_baseline,135,0.0,267.0,0.020754373287368028,0.40863787375415284,0.06226311986210409
gpt-oss-120b,structural_vs_baseline,135,0.0,120.0,0.8325727575328368,-0.05138339920948617,1.0
gpt-oss-120b,temporal_frequency_vs_baseline,135,0.0,108.5,0.8072702493704293,0.06060606060606061,1.0
gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0,87.5,0.762348328977905,-0.07894736842105263,1.0
ministral-3b,structural_vs_baseline,135,0.0,181.0,0.28608836903950796,0.221505376344086,0.8582651071185239
ministral-3b,temporal_frequency_vs_baseline,135,0.0,222.0,0.29330318201124395,0.20855614973262032,0.8582651071185239
ministral-3b,temporal_cochange_vs_baseline,135,0.0,258.5,0.6924218703101617,0.0784313725490196,0.8582651071185239
nemotron-super,structural_vs_baseline,135,0.0,237.0,0.6117600292546322,-0.10227272727272728,1.0
nemotron-super,temporal_frequency_vs_baseline,135,0.0,161.5,0.5059133512940006,0.1455026455026455,1.0
nemotron-super,temporal_cochange_vs_baseline,135,0.0,79.5,0.20820441635282205,0.3116883116883117,0.6246132490584662
