model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,51,0.0,18.0,0.17445220075642565,0.45454545454545453,0.24511801827590188
deepseek-flash,temporal_frequency_vs_baseline,51,0.0,28.0,0.12255900913795094,0.4666666666666667,0.24511801827590188
deepseek-flash,temporal_cochange_vs_baseline,51,0.0,41.0,0.027712470435770176,0.5684210526315789,0.08313741130731053
gpt-oss-120b,structural_vs_baseline,51,0.0,79.5,0.20740434431340127,-0.3116883116883117,0.41480868862680254
gpt-oss-120b,temporal_frequency_vs_baseline,51,0.0,74.5,0.25335677658400146,0.2904761904761905,0.41480868862680254
gpt-oss-120b,temporal_cochange_vs_baseline,51,0.0,12.0,0.11224606937759189,0.5636363636363636,0.33673820813277566
ministral-3b,structural_vs_baseline,51,0.0,108.0,0.1356726521092853,0.3353846153846154,0.2713453042185706
ministral-3b,temporal_frequency_vs_baseline,51,0.0,83.0,0.40634856152724563,0.20952380952380953,0.40634856152724563
ministral-3b,temporal_cochange_vs_baseline,51,0.0,91.0,0.03083942964419043,0.48148148148148145,0.0925182889325713
nemotron-super,structural_vs_baseline,51,0.0,23.0,0.20323514075830806,-0.41025641025641024,0.4064702815166161
nemotron-super,temporal_frequency_vs_baseline,51,0.0,29.0,0.4304531062185173,-0.2564102564102564,0.4304531062185173
nemotron-super,temporal_cochange_vs_baseline,51,0.0,11.0,0.026797182026806827,0.717948717948718,0.08039154608042048
