"model","test","statistic","p_value"
"turns_reduced","uniformity_ks",0.0320487900918558,0.0236584663486195
"turns_reduced","dispersion",0.968536075299675,0.522
"turns_reduced","outliers",6,0.336646552467788
"turns_reduced","quantile_trend",NA,0.439589398514481
"turns_reduced","zero_inflation",0,0
"turns_full","uniformity_ks",0.0285993015554613,0.058408588105843
"turns_full","dispersion",0.965854763927147,0.528
"turncap_reduced","uniformity_ks",0.0168681697506043,0.570443662109292
"turncap_reduced","dispersion",1.01929822263163,0.692
"turncap_reduced","outliers",6,0.336646552467788
"turncap_reduced","quantile_trend",NA,0.652424703319836
"turncap_reduced","zero_inflation",0.998752546226847,0.758
"turncap_full","uniformity_ks",0.0145777379304722,0.748271004052617
"turncap_full","dispersion",1.01674576660864,0.742
"total_input_tokens_reduced","uniformity_ks",0.0346296296296296,0.0112493425731659
"total_input_tokens_reduced","dispersion",0.659176111931003,0.004
"total_input_tokens_reduced","outliers",7,0.21669502823896
"total_input_tokens_reduced","quantile_trend",NA,0.0101635073496883
"total_input_tokens_reduced","zero_inflation",NA,1
"total_input_tokens_full","uniformity_ks",0.0339629629629629,0.0137063086432533
"total_input_tokens_full","dispersion",0.6438847781914,0.004
"total_cost_reduced","uniformity_ks",0.0323333333333333,0.021858309660833
"total_cost_reduced","dispersion",1.35436772923223,0.034
"total_cost_reduced","outliers",9,0.0454725485324227
"total_cost_reduced","quantile_trend",NA,0.0706560319594309
"total_cost_reduced","zero_inflation",NA,1
"total_cost_full","uniformity_ks",0.0358888888888889,0.00766518823622964
"total_cost_full","dispersion",1.30131357749981,0.054
"wall_time_seconds_reduced","uniformity_ks",0.0313333333333333,0.0287782381087039
"wall_time_seconds_reduced","dispersion",1.06934860445264,0.396
"wall_time_seconds_reduced","outliers",8,0.0852866104569012
"wall_time_seconds_reduced","quantile_trend",NA,0.0128117447033838
"wall_time_seconds_reduced","zero_inflation",NA,1
"wall_time_seconds_full","uniformity_ks",0.0268518518518519,0.0887656890724762
"wall_time_seconds_full","dispersion",1.06850297136766,0.402
