"model","test","statistic","p_value","note"
"f1_reduced","uniformity_ks",0.0397277628674724,0.00218729898582326,""
"f1_reduced","dispersion",1.02207677954458,0.086,""
"f1_reduced","outliers",8,0.0852866104569012,""
"f1_reduced","quantile_trend",NA,0.00165182811872855,""
"f1_reduced","zero_inflation",1.03974301277177,0.146,""
"f1_full","uniformity_ks",0.0564814814814815,2.06922937850962e-06,""
"f1_full","dispersion",1.02185893216027,0.104,""
"succ_reduced","uniformity_ks",0.0174262910595647,0.528121143697446,""
"succ_reduced","dispersion",1.00066145244676,0.926,""
"succ_reduced","outliers",3,0.806757797052807,""
"succ_reduced","quantile_trend",NA,0.843857257157736,""
"succ_reduced","zero_inflation",0.999398403098402,1,""
"succ_full","uniformity_ks",0.018428727203799,0.455514356375898,""
"succ_full","dispersion",1.00086695789558,0.9,""
