"term","estimate","std_error","z_value","p_value"
"(Intercept)",1.9091735848161,0.529567545564069,3.60515594433292,0.000311965542623267
"map_conditionstructural",0.0978635706534878,0.0863774450161907,1.13297598273651,0.257224339337195
"map_conditiontemporal_frequency",0.0363266553575076,0.085401357930222,0.425363907997677,0.670571412246666
"map_conditiontemporal_cochange",0.13974634241631,0.0877684598773485,1.59221595789191,0.111336188816649
"log_size_c",0.210166165492251,0.38088060881977,0.551790142699808,0.581092141607543
"model_shortgpt_oss_120b",-0.0812782940178605,0.0953719856349963,-0.852223988802387,0.394089784685242
"model_shortministral_3b",-0.239803599689697,0.0984255344945281,-2.43639621487683,0.0148344257196236
"model_shortnemotron_super",-0.0483559218372833,0.092551010269531,-0.52247859527907,0.601337145878383
"map_conditionstructural:log_size_c",0.100373420823107,0.0580154455142022,1.73011548792702,0.0836096436093389
"map_conditiontemporal_frequency:log_size_c",0.0688910760700909,0.057263772972755,1.20304814883343,0.228957688708677
"map_conditiontemporal_cochange:log_size_c",0.0925373814475943,0.058598733158211,1.57917034140912,0.114296990822197
"map_conditionstructural:model_shortgpt_oss_120b",-0.139281067799365,0.133483948205565,-1.04342933867128,0.296749491371779
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.156518318714458,0.133262623060535,-1.17451026491771,0.240190702818906
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.228669306601053,0.134834657270835,-1.69592381683989,0.0899003085666547
"map_conditionstructural:model_shortministral_3b",-0.0380002450648627,0.134596228237763,-0.282327711276839,0.777692238961516
"map_conditiontemporal_frequency:model_shortministral_3b",0.0001560789047394,0.135673013924681,0.00115040493480928,0.999082109866305
"map_conditiontemporal_cochange:model_shortministral_3b",-0.1229696259468,0.135826784471711,-0.905341508488781,0.365284492665282
"map_conditionstructural:model_shortnemotron_super",-0.244739491697036,0.134384698146304,-1.82118570843973,0.0685786321807607
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.0442854661351456,0.131145864127285,-0.337680996879658,0.735603596726144
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.0815581783781685,0.130436553886742,-0.625270876513539,0.531793290949714
"log_size_c:model_shortgpt_oss_120b",0.211367589251315,0.0618974511576154,3.41480279556407,0.000638282052719529
"log_size_c:model_shortministral_3b",0.184552070790615,0.0647861231173615,2.84863581752369,0.00439071081904916
"log_size_c:model_shortnemotron_super",0.185019899347247,0.060599756794622,3.05314590575498,0.00226455802704797
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",-0.101061905797666,0.0863322297086955,-1.17061618978997,0.241753086761495
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",-0.0993789533354926,0.0861845038662587,-1.15309538115702,0.248871237250964
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",-0.0715112418461796,0.0870996805576002,-0.821027601804902,0.411630546263071
"map_conditionstructural:log_size_c:model_shortministral_3b",-0.106710368653522,0.0900808360206287,-1.18460677506462,0.236172957044523
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",-0.206151549350165,0.0913235058774281,-2.25737664547019,0.023984549773458
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",-0.206483571313391,0.0906692049191772,-2.27732857586488,0.0227666117330278
"map_conditionstructural:log_size_c:model_shortnemotron_super",-0.163279138701732,0.089559158191391,-1.82314284768955,0.0682817584768078
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.109441062488165,0.0870913757965143,-1.25662341979612,0.208890030142832
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",-0.0797806174337568,0.0853983430117138,-0.934217393688933,0.350191765220085
