"term","estimate","std_error","z_value","p_value"
"(Intercept)",-0.857174952718183,1.08821064050137,-0.787692125784819,0.430876812546201
"map_conditionstructural",0.263035709934477,0.562760014176964,0.467402984057364,0.640211588040392
"map_conditiontemporal_frequency",0.248943145252842,0.563791805781196,0.441551549171425,0.658813751109427
"map_conditiontemporal_cochange",1.85373163200323,0.58644758199119,3.16095025186935,0.00157255353954347
"log_size_c",-0.526859226042273,0.769631614498621,-0.684560270286581,0.493621444850817
"model_shortgpt_oss_120b",0.114187850339071,0.564530782405469,0.20227037018693,0.839705362369489
"model_shortministral_3b",-1.42815277567114,0.555857722377439,-2.56927756542238,0.010191079345848
"model_shortnemotron_super",-1.11232011835473,0.563048319075831,-1.97553226014503,0.0482077773688766
"map_conditionstructural:log_size_c",-0.103578679914568,0.243484125459916,-0.425402188824091,0.67054351069135
"map_conditiontemporal_frequency:log_size_c",0.22398307057425,0.243391103816569,0.920259890612331,0.357436963751574
"map_conditiontemporal_cochange:log_size_c",0.283135531480406,0.241984002185107,1.17005888374315,0.241977273245164
"map_conditionstructural:model_shortgpt_oss_120b",-0.748212354512986,0.782608933855958,-0.956048828661464,0.339047565799312
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.0467546536543,0.783836379314218,-0.0596484864547954,0.952435600482065
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-2.09222340932276,0.798688127671314,-2.61957494651,0.00880394248714294
"map_conditionstructural:model_shortministral_3b",0.142234218754812,0.769416857088026,0.184859764176625,0.853339030536281
"map_conditiontemporal_frequency:model_shortministral_3b",0.730497274771173,0.777543736230655,0.939493485359999,0.347477435458241
"map_conditiontemporal_cochange:model_shortministral_3b",-1.47056419115158,0.788722195117948,-1.86448942384798,0.0622530054243178
"map_conditionstructural:model_shortnemotron_super",0.00521819193053834,0.779966804063081,0.00669027438521128,0.994661973182011
"map_conditiontemporal_frequency:model_shortnemotron_super",0.596937288568599,0.781899426686773,0.763445103289134,0.445197989873851
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.989988633549394,0.795035959326684,-1.24521239817607,0.213053686420713
"log_size_c:model_shortgpt_oss_120b",1.21466440550765,0.254952564185208,4.76427608951314,1.89532848762418e-06
"log_size_c:model_shortministral_3b",0.200421497101388,0.260674976155105,0.768855914202266,0.441978851249983
"log_size_c:model_shortnemotron_super",0.721092354594903,0.259371422813801,2.78015344470915,0.00543332182414399
