"term","estimate","std_error","z_value","p_value"
"(Intercept)",-5.28616572188978,0.089190340373262,-59.2683658316265,0
"map_conditionstructural",0.156898060314248,0.0714578933265799,2.19567150681571,0.0281154640032369
"map_conditiontemporal_frequency",0.0917050256462085,0.0714546376265762,1.28340201129367,0.199351269603021
"map_conditiontemporal_cochange",0.175915187505908,0.0715606015064824,2.4582687093536,0.013960867152167
"log_size_c",0.00477159708171468,0.0647779944537329,0.0736607720253327,0.941280313342058
"model_shortgpt_oss_120b",0.0682400715888789,0.0718312899414077,0.950004818854596,0.342109804075265
"model_shortministral_3b",-0.260278341576956,0.0718461733563196,-3.62271683261557,0.000291524905161427
"model_shortnemotron_super",0.829076850345692,0.0720162763388454,11.512353769095,1.14315063303395e-30
"map_conditionstructural:log_size_c",0.146417832514862,0.0533481200176752,2.7445734257618,0.00605895984872125
"map_conditiontemporal_frequency:log_size_c",0.0177880429943781,0.053060836735998,0.335238644706675,0.737445072685171
"map_conditiontemporal_cochange:log_size_c",0.0942405998688327,0.0523273175205128,1.80098281995613,0.0717055878569639
"map_conditionstructural:model_shortgpt_oss_120b",1.03878121715994,0.101007517117822,10.2841971251331,8.30311732877471e-25
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.376909273646189,0.101086247564823,3.72859100744137,0.000192553370517824
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.523595126545579,0.101181785325392,5.1747962823718,2.28159785775443e-07
"map_conditionstructural:model_shortministral_3b",1.05308708824481,0.101094660008889,10.4168418801964,2.07736913147204e-25
"map_conditiontemporal_frequency:model_shortministral_3b",0.296911993947307,0.101111264608034,2.93648778994419,0.00331951887946961
"map_conditiontemporal_cochange:model_shortministral_3b",0.512095325994619,0.101190911743852,5.06068496833889,4.1775296559976e-07
"map_conditionstructural:model_shortnemotron_super",0.527599250327978,0.101026933372485,5.22236232176552,1.76654891433123e-07
"map_conditiontemporal_frequency:model_shortnemotron_super",0.153085112718307,0.101102485364195,1.51415775949383,0.129985832151589
"map_conditiontemporal_cochange:model_shortnemotron_super",0.241834486836382,0.101183261872477,2.39006415054271,0.0168454301369124
"log_size_c:model_shortgpt_oss_120b",0.0204079795409824,0.0542127636122262,0.376442339057956,0.706588074817112
"log_size_c:model_shortministral_3b",0.248587577078584,0.0539776658122576,4.60537841601394,4.11716482018403e-06
"log_size_c:model_shortnemotron_super",0.073386509098514,0.0531657899727356,1.38033327702171,0.167484053572721
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",0.294129728994037,0.0755245707391997,3.89449057591762,9.84053173625295e-05
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",0.233230345483282,0.0745956994430904,3.12659238031833,0.00176844934249688
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",0.221615106531688,0.0743465247340536,2.98084015795536,0.00287458790914104
"map_conditionstructural:log_size_c:model_shortministral_3b",0.235765065088051,0.0770110952199744,3.0614428273564,0.00220273054242502
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",0.0946573875360199,0.0755626743179518,1.25270033638197,0.210314783521643
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",0.0857949666238953,0.0740513025718379,1.15858821714398,0.246624074023992
"map_conditionstructural:log_size_c:model_shortnemotron_super",0.18540188477192,0.0741116828822874,2.50165530671319,0.012361421156183
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",0.0691076655941356,0.0733458251546059,0.94221675805628,0.346081675854246
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",0.0383591721863878,0.0721196379482803,0.531882484128617,0.594807389483268
