"term","estimate","std_error","z_value","p_value"
"(Intercept)",12.211993307761,0.118726866658757,102.857875824016,0
"map_conditionstructural",0.860720224884111,0.0845112066387229,10.1846874410823,2.3210456000123e-24
"map_conditiontemporal_frequency",0.302339869000031,0.0844562488087507,3.57984013337691,0.000343804476974539
"map_conditiontemporal_cochange",0.547012167711247,0.0847286908143245,6.45604413869649,1.07475274435895e-10
"log_size_c",0.0508165378620537,0.0853412853569869,0.595450814333128,0.551542167631273
"model_shortgpt_oss_120b",-1.28608887224731,0.0853174890788618,-15.0741528628267,2.3956896679941e-51
"model_shortministral_3b",-0.988739336689185,0.0849800230136923,-11.6349619784155,2.73712074142436e-31
"model_shortnemotron_super",-1.09220352461863,0.0856297554653808,-12.7549532131993,2.9255037138647e-37
"map_conditionstructural:log_size_c",0.476856593788331,0.0630917743285823,7.55814206943775,4.08867335663174e-14
"map_conditiontemporal_frequency:log_size_c",0.182907407511909,0.0617336695416368,2.96284683657993,0.00304808196560162
"map_conditiontemporal_cochange:log_size_c",0.311372282731598,0.0603785152794009,5.15700462806556,2.50931603245195e-07
"map_conditionstructural:model_shortgpt_oss_120b",0.750696211949882,0.119437537532551,6.28526196586469,3.27301302576035e-10
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.383914077569378,0.11948505430746,3.21307195945602,0.00131323382697707
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.441814572070095,0.119649722024511,3.69256664031018,0.000222002141641539
"map_conditionstructural:model_shortministral_3b",0.261016772861969,0.119448129258055,2.18518929080982,0.028874970408538
"map_conditiontemporal_frequency:model_shortministral_3b",0.000222148150860598,0.119444727085399,0.00185984058301519,0.998516062768749
"map_conditiontemporal_cochange:model_shortministral_3b",0.0990249987597549,0.119496118043965,0.828687997406929,0.407280979268392
"map_conditionstructural:model_shortnemotron_super",0.158507930139602,0.119377676790016,1.32778534816367,0.184249028619722
"map_conditiontemporal_frequency:model_shortnemotron_super",0.119113053062425,0.119451031890759,0.997170565854602,0.318681725465055
"map_conditiontemporal_cochange:model_shortnemotron_super",0.0934455328091884,0.119587072154128,0.78140162749994,0.434566314211062
"log_size_c:model_shortgpt_oss_120b",0.00741811354909159,0.0659267807503656,0.112520488103015,0.910410725741265
"log_size_c:model_shortministral_3b",0.191256913068665,0.0645418490570503,2.96330080192788,0.00304358983839925
"log_size_c:model_shortnemotron_super",0.146761741475661,0.0637367261511962,2.3026244104147,0.0212999845036462
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",0.0443679749471341,0.0910992422262621,0.48702902310579,0.626237763505251
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",0.129040027309751,0.0892296163083043,1.44615692242691,0.148133193052331
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",0.104776788509388,0.0882735976494525,1.1869550046603,0.235245369163011
"map_conditionstructural:log_size_c:model_shortministral_3b",-0.113019803709357,0.0912130784487931,-1.23907454535488,0.21531789271363
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",-0.0573302528298332,0.0891065436998124,-0.643389929060326,0.5199711165557
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",-0.122284283274784,0.0868381864601122,-1.40818559506598,0.159076120567678
"map_conditionstructural:log_size_c:model_shortnemotron_super",-0.09617949265311,0.0883654062380512,-1.08842924791188,0.276405655144571
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.0841320704271319,0.0858303013638572,-0.980214086287242,0.326980452686198
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",-0.168407872403328,0.0840976414359462,-2.00252788934155,0.0452279866757868
