"term","estimate","std_error","z_value","p_value"
"(Intercept)",-3.11281705568995,0.793944423750916,-3.92069893379154,8.82925143791926e-05
"map_conditionstructural",-1.76692025754637,0.492442548904737,-3.58807390116116,0.000333129876256176
"map_conditiontemporal_frequency",-0.952610413986252,0.473331611640848,-2.01256453310595,0.0441604612938568
"map_conditiontemporal_cochange",-1.26724926813236,0.474759054422012,-2.6692471819735,0.00760214806811667
"log_size_c",0.413985276899431,0.56651687366618,0.730755421670585,0.464928556804211
"model_shortgpt_oss_120b",-30.3288966132109,110284.281812096,-0.000275006520556445,0.999780576545894
"model_shortministral_3b",-296.407140048302,87941.0622295834,-0.00337052035230694,0.997310718940912
"model_shortnemotron_super",-3.70688830900052,0.638998576837879,-5.80109008590327,6.58851899124559e-09
"map_conditionstructural:log_size_c",-0.70414188132565,0.31851788821361,-2.21068237415107,0.0270578399401249
"map_conditiontemporal_frequency:log_size_c",-0.83723314144778,0.316036110705418,-2.6491692344239,0.00806899145002917
"map_conditiontemporal_cochange:log_size_c",-0.391598444868276,0.303723727117092,-1.28932450745709,0.197285294342688
"map_conditionstructural:model_shortgpt_oss_120b",2.45110203238184,154502.477027082,1.58644837257347e-05,0.999987341973371
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",25.6820876941635,110284.281813523,0.000232871695511322,0.999814195271183
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",1.39598862839719,167352.347062556,8.34161368454172e-06,0.999993344355229
"map_conditionstructural:model_shortministral_3b",-0.478531158841527,96204.206277191,-4.97411888065212e-06,0.999996031227342
"map_conditiontemporal_frequency:model_shortministral_3b",-1.12272148634377,83486.1902788795,-1.34479904112693e-05,0.999989270056077
"map_conditiontemporal_cochange:model_shortministral_3b",22.708634609898,56605.4046116108,0.000401174318348395,0.999679909213785
"map_conditionstructural:model_shortnemotron_super",0.760001360753967,0.909666678630727,0.835472353343707,0.403451806806573
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.437506588754927,0.950651712807466,-0.460217535886915,0.64536008527848
"map_conditiontemporal_cochange:model_shortnemotron_super",0.845212040259644,0.854846906837334,0.98872913208128,0.322795685500435
"log_size_c:model_shortgpt_oss_120b",-0.0942024016617459,0.738941379886017,-0.127482915730442,0.898558194124201
"log_size_c:model_shortministral_3b",-121.776495441053,29444.9678542533,-0.00413573198801989,0.996700172706004
"log_size_c:model_shortnemotron_super",-0.511096465426633,0.292755778175665,-1.74581170903467,0.0808436756669372
