"term","estimate","std_error","z_value","p_value"
"(Intercept)",4.48875590812438,0.0795421098793822,56.4324471016816,0
"map_conditionstructural",0.0527131180245608,0.0687502465987426,0.766733511986049,0.443239974481735
"map_conditiontemporal_frequency",0.0479364240900452,0.0686766644747094,0.698001635005121,0.485176171563794
"map_conditiontemporal_cochange",0.136414784209145,0.0687596019345283,1.98393795733484,0.0472627568094442
"log_size_c",-0.0410929998870592,0.0513196185654423,-0.800726915665941,0.42328975698404
"model_shortgpt_oss_120b",-0.727915744347134,0.0692768425704465,-10.5073458509159,7.9910878392655e-26
"model_shortministral_3b",-1.14694073671526,0.0689386348494358,-16.6371257455304,3.75200534558051e-62
"model_shortnemotron_super",0.834803007723629,0.0691985835396403,12.0638742156538,1.63888133787143e-33
"map_conditionstructural:log_size_c",0.131811340502718,0.0253725319726236,5.19504086722364,2.04674873320308e-07
"map_conditiontemporal_frequency:log_size_c",0.0546603787871164,0.025253515888504,2.16446608972968,0.0304285963918923
"map_conditiontemporal_cochange:log_size_c",0.0539771117581624,0.0250844381264951,2.15181665564794,0.031411797510888
"map_conditionstructural:model_shortgpt_oss_120b",0.805552211025333,0.0976709596759245,8.2476123271255,1.61590585664268e-16
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.228867075904491,0.0973754121359336,2.35035796906306,0.0187553639768705
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.406400839466542,0.0977789952933032,4.1563204678825,3.23414094737715e-05
"map_conditionstructural:model_shortministral_3b",0.143094034060759,0.0971218127956048,1.47334599655696,0.140657763948635
"map_conditiontemporal_frequency:model_shortministral_3b",-0.0726686296687826,0.0971364757545415,-0.748108566882869,0.454394675073674
"map_conditiontemporal_cochange:model_shortministral_3b",0.0419919709484102,0.0971861394266229,0.432077775659715,0.665684886733652
"map_conditionstructural:model_shortnemotron_super",-0.109451109950434,0.0973814397511153,-1.12394220325933,0.261037545856899
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.0598718191946089,0.0973803360187112,-0.614824528671833,0.538670608605332
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.129277648469218,0.0974377441431791,-1.32677177213023,0.184584190780116
"log_size_c:model_shortgpt_oss_120b",0.13846400243722,0.0254886236287454,5.43238444154607,5.56059631350851e-08
"log_size_c:model_shortministral_3b",0.105965864195316,0.0256597223635481,4.1296574722823,3.63304093561918e-05
"log_size_c:model_shortnemotron_super",-0.106468553545384,0.0255048057482333,-4.17445067397775,2.98705927251559e-05
