comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,20,2,18,11.25,0.0007962301575908105,deepseek-flash,0.0023886904727724316
temporal_frequency_vs_baseline,135,16,4,12,3.062,0.08011831372763421,deepseek-flash,0.08011831372763421
temporal_cochange_vs_baseline,135,20,4,16,6.05,0.013906296895346027,deepseek-flash,0.027812593790692054
structural_vs_baseline,135,0,0,0,0.0,1.0,gpt-oss-120b,1.0
temporal_frequency_vs_baseline,135,2,2,0,0.5,0.47950012218695337,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,0,0,0,0.0,1.0,gpt-oss-120b,1.0
structural_vs_baseline,135,0,0,0,0.0,1.0,ministral-3b,1.0
temporal_frequency_vs_baseline,135,0,0,0,0.0,1.0,ministral-3b,1.0
temporal_cochange_vs_baseline,135,1,1,0,0.0,1.0,ministral-3b,1.0
structural_vs_baseline,135,10,3,7,0.9,0.34278171114790873,nemotron-super,0.6855634222958175
temporal_frequency_vs_baseline,135,7,1,6,2.286,0.13057001811573693,nemotron-super,0.3917100543472108
temporal_cochange_vs_baseline,135,4,1,3,0.25,0.6170750774519739,nemotron-super,0.6855634222958175
