comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,2,1,1,0.5,0.47950012218695337,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,4,1,3,0.25,0.6170750774519739,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,1,0,1,0.0,1.0,deepseek-flash,1.0
all_tools_vs_baseline,135,0,0,0,inf,0.0,deepseek-flash,0.0
structural_vs_baseline,135,15,8,7,0.0,1.0,gpt-oss-120b,1.0
temporal_frequency_vs_baseline,135,7,5,2,0.571,0.4496917979688908,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,12,4,8,0.75,0.3864762307712325,gpt-oss-120b,1.0
all_tools_vs_baseline,135,14,4,10,1.786,0.18144920772141646,gpt-oss-120b,0.7257968308856658
structural_vs_baseline,135,19,12,7,0.842,0.3587953578869416,ministral-3b,0.8592660683335671
temporal_frequency_vs_baseline,135,26,17,9,1.885,0.1698105050855175,ministral-3b,0.67924202034207
temporal_cochange_vs_baseline,135,22,14,8,1.136,0.2864220227778557,ministral-3b,0.8592660683335671
all_tools_vs_baseline,135,23,12,11,0.0,1.0,ministral-3b,1.0
structural_vs_baseline,135,14,7,7,0.071,0.7892680261342813,nemotron-super,1.0
temporal_frequency_vs_baseline,135,13,7,6,0.0,1.0,nemotron-super,1.0
temporal_cochange_vs_baseline,135,14,6,8,0.071,0.7892680261342813,nemotron-super,1.0
all_tools_vs_baseline,135,17,9,8,0.0,1.0,nemotron-super,1.0
