"term","estimate","std_error","z_value","p_value"
"(Intercept)",1.76979674533145,0.462002045061428,3.83071192919966,0.000127773027185483
"map_conditionstructural",0.0766112345918386,0.0842087786214231,0.909777292178281,0.362939972463902
"map_conditiontemporal_frequency",0.0405283365587701,0.0836473578936743,0.484514246227435,0.62802095634692
"map_conditiontemporal_cochange",0.0126737262551311,0.0841877173623888,0.150541274335502,0.880337589540543
"map_conditionall_tools",-0.0432787198884102,0.0831793024818939,-0.520306357435865,0.602850065559131
"log_size_c",0.257448266063202,0.330833298119124,0.778181239696442,0.436462174902613
"model_shortgpt_oss_120b",-0.0609335411866648,0.0906614046084953,-0.672100122977304,0.501519958238545
"model_shortministral_3b",-0.223768624747087,0.093596234880056,-2.39078660625449,0.0168123213694752
"model_shortnemotron_super",-0.0193674378682202,0.0881990470871505,-0.219587835785607,0.826192165836969
"map_conditionstructural:log_size_c",-0.0141451648388482,0.0306704017934453,-0.461199202218186,0.644655694010025
"map_conditiontemporal_frequency:log_size_c",0.00664086716806235,0.0304841096649068,0.21784684680187,0.827548442534093
"map_conditiontemporal_cochange:log_size_c",-0.0253527237321415,0.0306230718840215,-0.827896163655941,0.407729307764172
"map_conditionall_tools:log_size_c",0.0170161791099024,0.0308593518155364,0.551410775301361,0.581352115765751
"map_conditionstructural:model_shortgpt_oss_120b",-0.0258939887534579,0.127310346750256,-0.203392649650495,0.838828144473451
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.00457747927355724,0.127127324880564,-0.0360070447313963,0.97127674171495
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.108846608617312,0.128957069311712,-0.844053057333451,0.398639757702637
"map_conditionall_tools:model_shortgpt_oss_120b",-0.0460087234503012,0.127452797822414,-0.360986374849201,0.718109632598821
"map_conditionstructural:model_shortministral_3b",-0.121455009045424,0.131328216848512,-0.924820361990622,0.355059357115539
"map_conditiontemporal_frequency:model_shortministral_3b",0.0340737416808853,0.129858979340624,0.262390339535235,0.793020519780786
"map_conditiontemporal_cochange:model_shortministral_3b",0.0141578707740396,0.130841631117539,0.108206162313287,0.913832156840988
"map_conditionall_tools:model_shortministral_3b",-0.166694629608439,0.13288656337668,-1.25441297729949,0.209691938064538
"map_conditionstructural:model_shortnemotron_super",-0.173245279755473,0.129333512150084,-1.33952350690385,0.18040030711263
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.108239202448294,0.12738022592284,-0.849733164344198,0.395473455627628
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.208115989825842,0.126756580876313,-1.64185550278386,0.100619953370273
"map_conditionall_tools:model_shortnemotron_super",0.070729645084067,0.126357950870574,0.559756189434522,0.575645750182955
"log_size_c:model_shortgpt_oss_120b",0.108948988380174,0.0274798401651312,3.96468784845472,7.34920537988942e-05
"log_size_c:model_shortministral_3b",0.0704537886727939,0.0290329489894956,2.42668385833919,0.0152375273455761
"log_size_c:model_shortnemotron_super",0.0600035261753513,0.0279555766122102,2.14638842931766,0.0318420016929191
