"term","estimate","std_error","z_value","p_value"
"(Intercept)",12.2060046834518,0.115507630487045,105.672712979952,0
"map_conditionstructural",0.000679889158180152,0.0836420227656006,0.00812855949318061,0.993514419299716
"map_conditiontemporal_frequency",0.171844372345691,0.0835112597955459,2.05773895360224,0.0396151989261276
"map_conditiontemporal_cochange",0.230896274451422,0.0836094181053746,2.76160604491254,0.00575178344421592
"map_conditionall_tools",0.248256971554819,0.0837155035654991,2.96548382296456,0.00302207238706705
"log_size_c",0.0792544476293279,0.0765948909351517,1.0347223771939,0.300798582549106
"model_shortgpt_oss_120b",-1.30333912483533,0.0844332164270643,-15.4363315764618,9.32556808584479e-54
"model_shortministral_3b",-1.02193203120592,0.0839991606086659,-12.1659790859921,4.7175473079565e-34
"model_shortnemotron_super",-1.12646718388831,0.0845940000095736,-13.3161593465355,1.86455435793072e-40
"map_conditionstructural:log_size_c",-0.0355558757952365,0.0304872104886408,-1.16625546336829,0.243511174050167
"map_conditiontemporal_frequency:log_size_c",0.0096871336641449,0.0301395341008818,0.321409535785143,0.747900057667721
"map_conditiontemporal_cochange:log_size_c",-0.0105760795042743,0.0301853472790437,-0.350371304544069,0.726060058869173
"map_conditionall_tools:log_size_c",-0.0172417948849384,0.0305045066551414,-0.565221233697033,0.57192329575868
"map_conditionstructural:model_shortgpt_oss_120b",0.459842911372708,0.118296323347302,3.88721220035444,0.000101402103935683
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.157374131546205,0.118096099037034,-1.33259381833479,0.182665134881501
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.156818190360327,0.118288335143887,-1.32572827379447,0.184929718631484
"map_conditionall_tools:model_shortgpt_oss_120b",0.186281473101731,0.118359499502793,1.57386161553797,0.115519445580252
"map_conditionstructural:model_shortministral_3b",0.200146660363128,0.118188179128369,1.69345751698011,0.0903684147546053
"map_conditiontemporal_frequency:model_shortministral_3b",0.0549169262757701,0.118093476728726,0.465029295410792,0.641910477630451
"map_conditiontemporal_cochange:model_shortministral_3b",0.126839440502284,0.118267970308348,1.0724749919322,0.283506740624935
"map_conditionall_tools:model_shortministral_3b",0.207449655447085,0.118243221219301,1.75443169856085,0.0793565637700813
"map_conditionstructural:model_shortnemotron_super",0.0261713127117091,0.118202182574867,0.221411416791163,0.824772103703906
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.119286102438299,0.118265415825568,-1.00863047413824,0.313151886688914
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.144486670748388,0.118278063255305,-1.22158468588136,0.221864722742949
"map_conditionall_tools:model_shortnemotron_super",-0.0827703305289142,0.118308689286749,-0.699613283081015,0.484168844889478
"log_size_c:model_shortgpt_oss_120b",0.0125745727508901,0.0287248349760944,0.437759616769079,0.661560547836104
"log_size_c:model_shortministral_3b",0.168680785537688,0.0279245607504666,6.04058867908494,1.53552962630079e-09
"log_size_c:model_shortnemotron_super",0.0371788199573727,0.0281840344534299,1.31914471005936,0.187120738353493
