"term","estimate","std_error","z_value","p_value"
"(Intercept)",2.81660255665804,0.0646596393477957,43.5604433471691,0
"map_conditionstructural",-0.0177863404548096,0.0483674422062309,-0.367733740787275,0.71307177922381
"map_conditiontemporal_frequency",0.0870787499638614,0.0479841842939943,1.8147385694907,0.0695640948122822
"map_conditiontemporal_cochange",0.0995212844027173,0.0479243562824604,2.0766326795534,0.0378354743168426
"map_conditionall_tools",0.0855817137885581,0.0480131503405188,1.78246403707309,0.0746735907967384
"log_size_c",0.0428508947589431,0.0468328320079271,0.914975518706407,0.360204482348078
"model_shortgpt_oss_120b",-0.545931978047655,0.0516697811378198,-10.5657884749208,4.29345300683737e-26
"model_shortministral_3b",-0.385998165306912,0.0505216322756057,-7.64025523168401,2.16791557110017e-14
"model_shortnemotron_super",-0.471625523501582,0.0509931016580759,-9.24881029328189,2.2700519987956e-20
"map_conditionstructural:log_size_c",-0.0259743767865804,0.035173507743989,-0.738464215046032,0.460232405090662
"map_conditiontemporal_frequency:log_size_c",-0.00890794155959193,0.0347918005113481,-0.256035658651423,0.797923303142167
"map_conditiontemporal_cochange:log_size_c",-0.046898780720296,0.0348672925447436,-1.34506516845588,0.178604190308071
"map_conditionall_tools:log_size_c",-0.00589200559588407,0.0349361596873897,-0.168650637294024,0.866071448198473
"map_conditionstructural:model_shortgpt_oss_120b",0.231197287983758,0.0721379467824622,3.2049330247914,0.00135093911634964
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.0462658104398767,0.072586811336923,-0.637385905066511,0.523873507114797
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.0775914613060509,0.0726320687098126,-1.06828103184081,0.285393762062102
"map_conditionall_tools:model_shortgpt_oss_120b",0.0501410413591769,0.0721999217670741,0.694475009556632,0.487384367645867
"map_conditionstructural:model_shortministral_3b",0.12562552094541,0.0710516470358614,1.76808738693987,0.0770462957191688
"map_conditiontemporal_frequency:model_shortministral_3b",-0.0403926209483804,0.0710825863942742,-0.568249173212893,0.569865786089477
"map_conditiontemporal_cochange:model_shortministral_3b",0.0239734650737289,0.0706910919898624,0.339129929937521,0.734511852194597
"map_conditionall_tools:model_shortministral_3b",0.0914605888095678,0.0705073636313681,1.29717782794644,0.194570007717547
"map_conditionstructural:model_shortnemotron_super",0.00823393455659419,0.0720995706214536,0.114202268968078,0.90907745330228
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.114902423211013,0.0719597779357367,-1.59675900214181,0.110319437929069
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.102856500504706,0.071832122810972,-1.43190116732837,0.152172108127991
"map_conditionall_tools:model_shortnemotron_super",-0.0785402760433551,0.071768598841713,-1.09435431805736,0.273799610940948
"log_size_c:model_shortgpt_oss_120b",-0.112036548126883,0.0381514832035127,-2.93662365704742,0.00331806504268448
"log_size_c:model_shortministral_3b",-0.0400238149506395,0.0368780603449482,-1.08530152009804,0.277788132870213
"log_size_c:model_shortnemotron_super",-0.00237697911316307,0.0366482140454296,-0.0648593437654708,0.948285991375519
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",0.0328083227368157,0.0531162198781353,0.61767051217289,0.536792553660922
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",0.0326294045693715,0.0535283747967715,0.609572113729473,0.542145288980085
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",0.076761287791717,0.0537977338908363,1.4268498362306,0.153623182728985
"map_conditionall_tools:log_size_c:model_shortgpt_oss_120b",0.0540556399261025,0.0535143560640475,1.01011474119967,0.312440320467193
"map_conditionstructural:log_size_c:model_shortministral_3b",0.0301256922879652,0.0520913175420545,0.578324636608473,0.563044964232907
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",0.0529494048511607,0.0519192440930892,1.01984159777489,0.30780359127211
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",0.0406579065927737,0.0516208422862983,0.787625788189929,0.430915625812752
"map_conditionall_tools:log_size_c:model_shortministral_3b",-0.00432301437030954,0.0515847962595073,-0.0838040407984123,0.933212235231774
"map_conditionstructural:log_size_c:model_shortnemotron_super",0.0173665429712253,0.0522553902320643,0.332339743213115,0.739632732933885
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.00995299171725286,0.0517939091363594,-0.19216529285421,0.847612731494857
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",0.0478073841794043,0.051825492652645,0.922468494411204,0.356284256647385
"map_conditionall_tools:log_size_c:model_shortnemotron_super",-0.0617872262124255,0.0520434557010276,-1.18722374177788,0.235139378426139
