"term","estimate","std_error","z_value","p_value"
"(Intercept)",4.48308855710075,0.0834596292102319,53.7156538978625,0
"map_conditionstructural",-0.184226419917917,0.0698754999953772,-2.63649519402516,0.00837673867944752
"map_conditiontemporal_frequency",-0.106614731211624,0.0698624850412611,-1.52606554359836,0.126993542131043
"map_conditiontemporal_cochange",-0.0960385849043524,0.0699097652944563,-1.37375064127083,0.169519109338872
"map_conditionall_tools",-0.0721559831198048,0.069871155662625,-1.03270058202861,0.301744041090615
"log_size_c",-0.0146514870404799,0.0600621468239935,-0.243938783663772,0.807278231294249
"model_shortgpt_oss_120b",-0.742141413243202,0.070134741851002,-10.5816517414414,3.62510416036014e-26
"model_shortministral_3b",-1.14096257650583,0.0700863482668554,-16.2793839987438,1.38253607580132e-59
"model_shortnemotron_super",0.825769407594826,0.0702124091524578,11.7610179961461,6.19824177243918e-32
"map_conditionstructural:log_size_c",-0.0277073203518495,0.051262525767525,-0.540498540347034,0.588853267348318
"map_conditiontemporal_frequency:log_size_c",-0.00895681937774792,0.0500425616682375,-0.178984030376544,0.857950241121988
"map_conditiontemporal_cochange:log_size_c",-0.0106753480868485,0.0506301696382116,-0.210849542143182,0.833004678414963
"map_conditionall_tools:log_size_c",0.0366064263374869,0.0501668170457493,0.729694018739596,0.465577238009084
"map_conditionstructural:model_shortgpt_oss_120b",0.171800663567085,0.0988833776217523,1.73740691002946,0.0823153724231905
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.184606703671336,0.0988513549968777,-1.86751819109781,0.0618292588990291
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.272135336127009,0.0989184611991395,-2.75110765804529,0.00593941200937081
"map_conditionall_tools:model_shortgpt_oss_120b",-0.154808456006444,0.0988670273566857,-1.56582492814249,0.117389608634878
"map_conditionstructural:model_shortministral_3b",-0.529202240225319,0.0997646906910793,-5.30450439488646,1.12979521699211e-07
"map_conditiontemporal_frequency:model_shortministral_3b",-0.911888410108411,0.0987484635840604,-9.23445668936569,2.59600110292575e-20
"map_conditiontemporal_cochange:model_shortministral_3b",-0.802503003350315,0.0988549561564992,-8.11798451541324,4.73989254589602e-16
"map_conditionall_tools:model_shortministral_3b",-0.696061932927567,0.0988151604766981,-7.04408037764314,1.86690359567506e-12
"map_conditionstructural:model_shortnemotron_super",0.0481155892277206,0.0989031936318834,0.48649176493538,0.626618542652418
"map_conditiontemporal_frequency:model_shortnemotron_super",0.0656484714383574,0.0989562312324748,0.663409172123093,0.507068533146639
"map_conditiontemporal_cochange:model_shortnemotron_super",0.134303020053477,0.098874381123418,1.35831970352194,0.17436226077713
"map_conditionall_tools:model_shortnemotron_super",0.0543524944173301,0.0989621869300475,0.549224871674973,0.582851137858262
"log_size_c:model_shortgpt_oss_120b",-0.0349070540973717,0.0510459769055131,-0.683835557932121,0.494079010361191
"log_size_c:model_shortministral_3b",0.0831203409812081,0.0502132563102126,1.65534655764404,0.0978542199270801
"log_size_c:model_shortnemotron_super",-0.0353529769328391,0.050151380468676,-0.704925300210235,0.480856724420729
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",-0.00681399056104685,0.0725473144849493,-0.0939247801165747,0.925168909162945
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",-0.0170625400393645,0.0719706867093074,-0.237076243391713,0.812597642075435
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",0.0392330241739511,0.0720389265513827,0.544608672728731,0.586022688642791
"map_conditionall_tools:log_size_c:model_shortgpt_oss_120b",-0.0263049202969704,0.0725451957718956,-0.362600445378646,0.716903377519322
"map_conditionstructural:log_size_c:model_shortministral_3b",-0.0836740263404515,0.0737390675844704,-1.13473127721069,0.25648792820205
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",0.0241746817847432,0.0711398494899106,0.339819130319805,0.733992740427484
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",-0.0102876352681795,0.0711092664374754,-0.144673623897177,0.884968565110739
"map_conditionall_tools:log_size_c:model_shortministral_3b",-0.0716641083118185,0.0709962354062467,-1.00940715943247,0.312779406294838
"map_conditionstructural:log_size_c:model_shortnemotron_super",-0.060186296697913,0.0720665460783189,-0.835148900191569,0.403633876767197
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.104076732601893,0.0698143653808685,-1.49076385689547,0.136023504072417
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",-0.0477205403958709,0.0707802548396916,-0.674206959327173,0.500179745765588
"map_conditionall_tools:log_size_c:model_shortnemotron_super",-0.150492828758512,0.0715537363676126,-2.10321412127725,0.0354470564327131
