metric,model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,deepseek-flash,structural_vs_baseline,135,8396.0,4169.0,0.3551597843458968,0.09172113289760349,0.3551597843458968
tokens,deepseek-flash,temporal_frequency_vs_baseline,135,32283.0,2637.0,1.792334851094412e-05,0.42549019607843136,3.584669702188824e-05
tokens,deepseek-flash,temporal_cochange_vs_baseline,135,38547.0,2532.0,6.1865256423376405e-06,0.44836601307189544,2.349388493954706e-05
tokens,deepseek-flash,all_tools_vs_baseline,135,39568.0,2527.0,5.873471234886765e-06,0.4494553376906318,2.349388493954706e-05
tokens,gpt-oss-120b,structural_vs_baseline,135,19051.0,2256.0,2.958349216307887e-07,0.5084967320261438,1.1833396865231548e-06
tokens,gpt-oss-120b,temporal_frequency_vs_baseline,135,-234.0,4393.0,0.6652588130125965,0.042919389978213505,0.6652588130125965
tokens,gpt-oss-120b,temporal_cochange_vs_baseline,135,4523.0,4029.0,0.2179100988717162,0.12222222222222222,0.4358201977434324
tokens,gpt-oss-120b,all_tools_vs_baseline,135,17590.0,2343.0,8.014818208784613e-07,0.4895424836601307,2.404445462635384e-06
tokens,ministral-3b,structural_vs_baseline,135,10205.0,3674.0,0.044243316642595114,0.19956427015250544,0.044243316642595114
tokens,ministral-3b,temporal_frequency_vs_baseline,135,7436.0,3488.0,0.01550841310020183,0.2400871459694989,0.03101682620040366
tokens,ministral-3b,temporal_cochange_vs_baseline,135,18375.0,2561.0,8.341718712913175e-06,0.4420479302832244,2.5025156138739526e-05
tokens,ministral-3b,all_tools_vs_baseline,135,22402.0,2329.0,6.84346654714494e-07,0.4925925925925926,2.737386618857976e-06
tokens,nemotron-super,structural_vs_baseline,135,2870.0,4061.0,0.24530700068337852,0.11525054466230937,0.49061400136675704
tokens,nemotron-super,temporal_frequency_vs_baseline,135,-256.0,4534.0,0.9021143747630831,-0.012200435729847494,0.9021143747630831
tokens,nemotron-super,temporal_cochange_vs_baseline,135,6789.0,3908.0,0.13417161024012983,0.1485838779956427,0.4025148307203895
tokens,nemotron-super,all_tools_vs_baseline,135,10746.0,3435.0,0.011190744726062614,0.25163398692810457,0.044762978904250454
cost,deepseek-flash,structural_vs_baseline,135,0.0002149999999999999,4036.0,0.22370662352010928,0.12069716775599129,0.22370662352010928
cost,deepseek-flash,temporal_frequency_vs_baseline,135,0.000537,2883.0,0.00017752448022814466,0.3718954248366013,0.0003550489604562893
cost,deepseek-flash,temporal_cochange_vs_baseline,135,0.0006000000000000016,2760.5,5.8677195781728e-05,0.3985838779956427,0.000176031587345184
cost,deepseek-flash,all_tools_vs_baseline,135,0.000725,2486.0,3.820018442422475e-06,0.45838779956427017,1.52800737696899e-05
cost,gpt-oss-120b,structural_vs_baseline,135,0.0014789999999999998,2424.0,1.963852834578249e-06,0.4718954248366013,7.855411338312995e-06
cost,gpt-oss-120b,temporal_frequency_vs_baseline,135,-0.0003780000000000001,4069.5,0.2529738252142967,-0.11339869281045752,0.5059476504285934
cost,gpt-oss-120b,temporal_cochange_vs_baseline,135,-7.200000000000002e-05,4274.0,0.48766993344271736,-0.06884531590413943,0.5059476504285934
cost,gpt-oss-120b,all_tools_vs_baseline,135,0.0003880000000000012,3570.5,0.025149910653183387,0.22211328976034858,0.07544973195955015
cost,ministral-3b,structural_vs_baseline,135,-0.000732,2588.0,1.0979704153279535e-05,-0.4361655773420479,4.391881661311814e-05
cost,ministral-3b,temporal_frequency_vs_baseline,135,-0.0004950000000000001,3121.0,0.0012539550356177368,-0.32004357298474945,0.0037618651068532104
cost,ministral-3b,temporal_cochange_vs_baseline,135,-0.0005870000000000003,3286.0,0.004184208106727966,-0.2840958605664488,0.008368416213455932
cost,ministral-3b,all_tools_vs_baseline,135,-0.00027500000000000007,4032.0,0.22038102451244757,-0.12156862745098039,0.22038102451244757
cost,nemotron-super,structural_vs_baseline,135,0.0006550000000000002,4044.0,0.2304654399381345,0.11895424836601307,0.460930879876269
cost,nemotron-super,temporal_frequency_vs_baseline,135,0.00019699999999999926,4357.0,0.6088402510084845,0.050762527233115466,0.6088402510084845
cost,nemotron-super,temporal_cochange_vs_baseline,135,0.0008319999999999994,3788.0,0.07817002997442817,0.1747276688453159,0.31268011989771266
cost,nemotron-super,all_tools_vs_baseline,135,0.0007430000000000002,3898.5,0.12883365929525947,0.15065359477124182,0.3865009778857784
wall_time,deepseek-flash,structural_vs_baseline,135,-11.860000000000007,2779.0,6.966266690732491e-05,-0.3945533769063181,0.00027865066762929963
wall_time,deepseek-flash,temporal_frequency_vs_baseline,135,-6.390000000000001,3309.0,0.004901824581958519,-0.27908496732026145,0.009803649163917037
wall_time,deepseek-flash,temporal_cochange_vs_baseline,135,-9.13000000000001,3153.0,0.0015993128493335723,-0.3130718954248366,0.004797938548000717
wall_time,deepseek-flash,all_tools_vs_baseline,135,-12.090000000000003,3466.0,0.013564198295054893,-0.244880174291939,0.013564198295054893
wall_time,gpt-oss-120b,structural_vs_baseline,135,-0.3000000000000007,4399.5,0.67566308685724,-0.04150326797385621,0.67566308685724
wall_time,gpt-oss-120b,temporal_frequency_vs_baseline,135,-9.209999999999994,2818.0,9.951119217671663e-05,-0.38605664488017427,0.00029853357653014987
