metric,comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,structural_vs_baseline,540,540,9361.0,56612.0,5.9711228988045315e-06,0.22486479085370029,1.1942245797609063e-05
tokens,temporal_frequency_vs_baseline,540,540,6010.5,57964.0,3.25719197729691e-05,0.2063531183679058,3.25719197729691e-05
tokens,temporal_cochange_vs_baseline,540,540,10612.5,50797.0,8.762587168294671e-10,0.30448415143424384,2.628776150488401e-09
tokens,all_tools_vs_baseline,540,540,19186.5,41755.0,6.5158908875441015e-18,0.42828780721571846,2.6063563550176406e-17
cost,structural_vs_baseline,540,540,0.00017949999999999986,66467.0,0.07019768514554044,0.08992948586294243,0.21059305543662132
cost,temporal_frequency_vs_baseline,540,540,5.249999999999981e-05,72070.5,0.7903250999404873,-0.013205997124666255,0.7903250999404873
cost,temporal_cochange_vs_baseline,540,540,0.00013849999999999995,68570.5,0.21841610477338091,0.0611282261929212,0.43683220954676183
cost,all_tools_vs_baseline,540,540,0.00036950000000000015,60951.0,0.000864550691566388,0.16545491887451222,0.003458202766265552
wall_time,structural_vs_baseline,540,540,-10.040000000000001,51109.5,1.5005006712472285e-09,-0.3002053809817211,1.5479990167997207e-09
wall_time,temporal_frequency_vs_baseline,540,540,-10.175000000000002,49036.5,3.695854888707538e-11,-0.3285890326555761,1.1087564666122615e-10
wall_time,temporal_cochange_vs_baseline,540,540,-10.650000000000002,48675.0,1.8749780500038628e-11,-0.33353871431505444,7.499912200015451e-11
wall_time,all_tools_vs_baseline,540,540,-11.225,50725.5,7.739995083998604e-10,-0.30546313411378107,1.5479990167997207e-09
turns,structural_vs_baseline,540,462,0.0,44865.5,0.0026703705446773033,0.16102400119678736,0.00801111163403191
turns,temporal_frequency_vs_baseline,540,454,0.0,46771.5,0.08110932501100616,0.09432153749334365,0.08110932501100616
turns,temporal_cochange_vs_baseline,540,449,0.0,43579.0,0.011583600677868336,0.1372630536995793,0.02316720135573667
turns,all_tools_vs_baseline,540,467,1.0,42577.0,3.4683057221145824e-05,0.2207580665824777,0.0001387322288845833
