comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,11,7,4,0.364,0.5464935954065822,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,22,11,11,0.045,0.8311704095417624,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,13,4,9,1.231,0.2672574931543847,deepseek-flash,1.0
all_tools_vs_baseline,135,13,4,9,1.231,0.2672574931543847,deepseek-flash,1.0
structural_vs_baseline,135,6,4,2,0.167,0.6830913983096086,gpt-oss-120b,1.0
temporal_frequency_vs_baseline,135,4,1,3,0.25,0.6170750774519739,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,7,1,6,2.286,0.13057001811573693,gpt-oss-120b,0.5222800724629477
all_tools_vs_baseline,135,5,1,4,0.8,0.37109336952269756,gpt-oss-120b,1.0
structural_vs_baseline,135,13,6,7,0.0,1.0,ministral-3b,1.0
temporal_frequency_vs_baseline,135,18,11,7,0.5,0.47950012218695337,ministral-3b,1.0
temporal_cochange_vs_baseline,135,17,9,8,0.0,1.0,ministral-3b,1.0
all_tools_vs_baseline,135,17,7,10,0.235,0.6276258050283593,ministral-3b,1.0
structural_vs_baseline,135,14,9,5,0.643,0.4226780741706353,nemotron-super,1.0
temporal_frequency_vs_baseline,135,15,8,7,0.0,1.0,nemotron-super,1.0
temporal_cochange_vs_baseline,135,14,8,6,0.071,0.7892680261342813,nemotron-super,1.0
all_tools_vs_baseline,135,11,7,4,0.364,0.5464935954065822,nemotron-super,1.0
