map_condition,model,n_trials_used_tool,mean_calls_given_used,median_calls_given_used,std_calls_given_used,min_calls,max_calls
ALL,ALL,850,1.809,1.0,1.218,1.0,9.0
structural,ALL,342,1.687,1.0,1.047,1.0,6.0
structural,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,51,1.49,1.0,0.925,1.0,6.0
structural,deepseek/deepseek-v4-flash,99,1.798,1.0,1.097,1.0,6.0
structural,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,77,1.455,1.0,0.787,1.0,4.0
structural,mistral/ministral-3b-latest,115,1.835,1.0,1.169,1.0,6.0
temporal_frequency,ALL,81,1.802,1.0,1.066,1.0,6.0
temporal_frequency,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,1,1.0,1.0,,1.0,1.0
temporal_frequency,deepseek/deepseek-v4-flash,48,2.062,2.0,1.06,1.0,6.0
temporal_frequency,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0,,,,,
temporal_frequency,mistral/ministral-3b-latest,32,1.438,1.0,0.982,1.0,5.0
temporal_cochange,ALL,100,1.34,1.0,0.768,1.0,6.0
temporal_cochange,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,4,1.0,1.0,0.0,1.0,1.0
temporal_cochange,deepseek/deepseek-v4-flash,54,1.519,1.0,0.947,1.0,6.0
temporal_cochange,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,1,1.0,1.0,,1.0,1.0
temporal_cochange,mistral/ministral-3b-latest,41,1.146,1.0,0.422,1.0,3.0
all_tools,ALL,327,2.083,2.0,1.449,1.0,9.0
all_tools,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,55,1.236,1.0,0.508,1.0,3.0
all_tools,deepseek/deepseek-v4-flash,104,2.663,2.0,1.815,1.0,9.0
all_tools,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,57,1.544,1.0,0.781,1.0,4.0
all_tools,mistral/ministral-3b-latest,111,2.234,2.0,1.362,1.0,7.0
