f1,success,precision,recall,map_condition,submission_mode,model_short,log_codebase_size,codebase_size,issue_id,repo,issue_idx,rep,turns_used,hit_turn_cap,total_input_tokens,total_output_tokens,total_cost,wall_time_seconds
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.068688124847148,174327,core/16,core,16,1,9,0,41468,1202,0.002159,7.87
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,12.068688124847148,174327,core/16,core,16,2,30,1,96126,4283,0.002092,24.03
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,12.068688124847148,174327,core/16,core,16,3,9,0,43078,922,0.002269,8.33
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.506545154005941,99364,core/20,core,20,1,8,0,39733,2069,0.001634,9.31
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.506545154005941,99364,core/20,core,20,2,8,0,36504,1809,0.000882,8.38
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,11.506545154005941,99364,core/20,core,20,3,7,0,31204,1686,0.001377,12.29
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,1,11,0,116983,2160,0.004507,12.21
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,2,7,0,35617,1617,0.001569,7.84
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,3,21,0,164209,3432,0.003712,19.58
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,1,17,0,74892,1879,0.001883,12.11
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,2,18,0,55392,1801,0.001538,13.09
0.0,0,0.0,0.0,structural,voluntary,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,3,22,0,98615,4175,0.002434,25.23
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,1,8,0,44170,1054,0.001677,5.7
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,2,7,0,35437,1142,0.001458,6.68
0.5,0,1.0,0.3333,structural,voluntary,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,3,8,0,42579,1028,0.001607,9.26
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,8.808369153122275,6690,flask/18,flask,18,1,10,0,70831,908,0.002888,7.92
1.0,1,1.0,1.0,structural,voluntary,ministral_3b,8.808369153122275,6690,flask/18,flask,18,2,14,0,131942,2132,0.004284,13.07
0.6667,0,1.0,0.5,structural,voluntary,ministral_3b,8.808369153122275,6690,flask/18,flask,18,3,17,0,183842,2165,0.004869,14.56
