"model","test","statistic","p_value"
"f1_reduced","uniformity_ks",0.0479444444444445,4.7393801105855e-09
"f1_reduced","dispersion",1.02317877319678,0.012
"f1_reduced","outliers",19,0.00169703534833069
"f1_reduced","quantile_trend",NA,-1.25635242682609e-05
"f1_reduced","zero_inflation",1.03812191794853,0.04
"f1_full","uniformity_ks",0.044800474464169,5.88634356812889e-08
"f1_full","dispersion",1.02373952993029,0.006
"success_reduced","uniformity_ks",0.0122661273501366,0.53406916699251
"success_reduced","dispersion",1.00009273735168,0.972
"success_reduced","outliers",5,0.302268056886273
"success_reduced","quantile_trend",NA,0.753387719618121
"success_reduced","zero_inflation",0.999736381383446,0.96
"success_full","uniformity_ks",0.0127755840841112,0.481103569532294
"success_full","dispersion",1.0001289572269,0.982
"turns_reduced","uniformity_ks",0.0208369097182941,0.0469743586975877
"turns_reduced","dispersion",0.946225496638381,0.048
"turns_reduced","outliers",10,0.606275892887763
"turns_reduced","quantile_trend",NA,0.00196011815476649
"turns_reduced","zero_inflation",0,0.032
"turns_full","uniformity_ks",0.0242085065578145,0.0126469331009393
"turns_full","dispersion",0.945692849640078,0.036
"turncap_reduced","uniformity_ks",0.0217021433227454,0.0341787509690794
"turncap_reduced","dispersion",1.00380501514248,0.9
"turncap_reduced","outliers",12,0.231105951218993
"turncap_reduced","quantile_trend",NA,0.133475454800349
"turncap_reduced","zero_inflation",0.999533910756121,0.924
"turncap_full","uniformity_ks",0.0201291381260725,0.0603463680279015
"turncap_full","dispersion",1.00361812997394,0.894
"total_input_tokens_reduced","uniformity_ks",0.0262037037037037,0.00530358985484702
"total_input_tokens_reduced","dispersion",0.740355648014265,0
"total_input_tokens_reduced","outliers",16,0.0239358741894897
"total_input_tokens_reduced","quantile_trend",NA,0.0978766105985912
"total_input_tokens_reduced","zero_inflation",NA,1
"total_input_tokens_full","uniformity_ks",0.0261296296296297,0.00548423303128887
"total_input_tokens_full","dispersion",0.735918780483165,0
"total_cost_reduced","uniformity_ks",0.0278148148148148,0.00250038860374346
"total_cost_reduced","dispersion",1.00911530437763,0.864
"total_cost_reduced","outliers",20,0.000811101652787157
"total_cost_reduced","quantile_trend",NA,-3.77144340424351e-05
"total_cost_reduced","zero_inflation",NA,1
"total_cost_full","uniformity_ks",0.0280555555555555,0.00222606575399087
"total_cost_full","dispersion",1.00514902854662,0.852
"wall_time_seconds_reduced","uniformity_ks",0.0359259259259258,2.87101388701805e-05
"wall_time_seconds_reduced","dispersion",0.806279091031821,0.002
"wall_time_seconds_reduced","outliers",18,0.00518129265219791
"wall_time_seconds_reduced","quantile_trend",NA,0
"wall_time_seconds_reduced","zero_inflation",NA,1
"wall_time_seconds_full","uniformity_ks",0.0364166666666667,2.11262794802547e-05
"wall_time_seconds_full","dispersion",0.804517816718096,0
