"term","estimate","std_error","z_value","p_value"
"(Intercept)",1.93247312170455,0.486377879783524,3.97319286511271,7.09155823794224e-05
"submission_moderequired",-0.0770078636892318,0.0860370579639438,-0.895054590563801,0.370757906540565
"map_conditiontemporal_frequency",-0.0386064928738262,0.0843224029147802,-0.457843841485917,0.647064635772174
"map_conditiontemporal_cochange",-0.0548019404092211,0.0849505590401074,-0.64510394079158,0.518859830244069
"map_conditionall_tools",-0.12675319523976,0.0843554609823197,-1.50260805600157,0.132940144753941
"model_shortgpt_oss_120b",-0.0798735860740177,0.0911532258834835,-0.876256273981088,0.380890730208613
"model_shortministral_3b",-0.344243497663041,0.0946468063315796,-3.63713801876251,0.000275684225960982
"model_shortnemotron_super",-0.18479270476841,0.0966003263977357,-1.91296149463882,0.0557529820548643
"log_size_c",0.35457378266824,0.348987490055151,1.01600714286981,0.309625985133905
"submission_moderequired:map_conditiontemporal_frequency",0.0680414440202768,0.121606151865328,0.559523042021994,0.575804810156207
"submission_moderequired:map_conditiontemporal_cochange",0.108079015983332,0.120178068733059,0.89932395421829,0.368480131759781
"submission_moderequired:map_conditionall_tools",0.161165648069745,0.119258138436103,1.35140167525,0.176566797463246
"submission_moderequired:model_shortgpt_oss_120b",0.00900965608731308,0.128518970199371,0.070103705883547,0.94411111709327
"submission_moderequired:model_shortministral_3b",0.102178654600758,0.130440002510555,0.783338336661639,0.433428456360107
"submission_moderequired:model_shortnemotron_super",0.194079208194315,0.131641916479184,1.47429643524678,0.140401794560428
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.0208736442597971,0.127637554386124,0.163538422215855,0.870094523785154
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.094559369923447,0.129454189292677,-0.730446580679302,0.465117254508653
"map_conditionall_tools:model_shortgpt_oss_120b",-0.00867207362815491,0.128391585622675,-0.0675439405635267,0.946148682360738
"map_conditiontemporal_frequency:model_shortministral_3b",0.162723663675839,0.131319264931719,1.2391454046019,0.215291654749997
"map_conditiontemporal_cochange:model_shortministral_3b",0.124560373979606,0.131780327957471,0.945212202080758,0.344550551140547
"map_conditionall_tools:model_shortministral_3b",-0.0447784116078106,0.133967337493249,-0.334248723947859,0.73819187972802
"map_conditiontemporal_frequency:model_shortnemotron_super",0.0718412250806724,0.133057255879348,0.539927150953838,0.589247272744542
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.0527431725367192,0.132687700335968,-0.397498580525341,0.690999833086988
"map_conditionall_tools:model_shortnemotron_super",0.25729012737929,0.132681892664466,1.93915026543932,0.0524830435618589
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.119044517987932,0.182887221018866,-0.65091763833872,0.515099654795976
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.023032156609172,0.180426196369441,0.127654171470818,0.898422659142232
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",-0.0237858451256732,0.18123137091849,-0.131245738555777,0.895580914726124
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",-0.0453263943304746,0.184165082774602,-0.246118285006009,0.805590668965672
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",-0.220304975711546,0.182161426805748,-1.20939421465156,0.226511430229639
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",-0.0139108184923958,0.183198318433861,-0.0759331123304929,0.939472313067231
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",-0.181188350671281,0.186250894369094,-0.972818687851343,0.330643423032428
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",-0.00855273850928703,0.183084085786204,-0.0467148112440229,0.962740525568021
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",-0.306776562424394,0.184304782920416,-1.66450678904444,0.0960111954781218
