"term","estimate","std_error","z_value","p_value"
"(Intercept)",1.90789780865111,0.48553235623916,3.92949673514926,8.51238323854211e-05
"submission_moderequired",-0.0252645897769295,0.0592725783905449,-0.426244149705485,0.669929949812385
"map_conditiontemporal_frequency",-0.000113318184872697,0.0688892828025327,-0.00164493198742564,0.998687534755541
"map_conditiontemporal_cochange",-0.0318824968429384,0.0688090749252432,-0.463347267458206,0.643115470144642
"map_conditionall_tools",-0.0883690936186056,0.0686345733012103,-1.28753031261356,0.197909511168687
"model_shortgpt_oss_120b",-0.0660470789357421,0.0727143317046458,-0.908308959009828,0.363715010469067
"model_shortministral_3b",-0.307165634451663,0.074204921081896,-4.13942404322028,3.48178855081732e-05
"model_shortnemotron_super",-0.11874682882966,0.075146237294402,-1.58020990943889,0.114058803169822
"log_size_c",0.354698287717346,0.349070117563278,1.01612332271051,0.309570664071567
"submission_moderequired:map_conditiontemporal_frequency",-0.0109868060978467,0.0670966692243228,-0.163745923975969,0.869931163338707
"submission_moderequired:map_conditiontemporal_cochange",0.0612545615815271,0.0661962135465212,0.92534841949047,0.354784700056971
"submission_moderequired:map_conditionall_tools",0.0832102220303414,0.066721128438166,1.24713451313187,0.212348179916927
"submission_moderequired:model_shortgpt_oss_120b",-0.0206857314050814,0.0644877869759001,-0.320769751531587,0.748384883815325
"submission_moderequired:model_shortministral_3b",0.0289866407543821,0.0647481347476263,0.447683023879615,0.654381975058522
"submission_moderequired:model_shortnemotron_super",0.0711436887994643,0.065327045494546,1.08903882397994,0.276136765380969
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.0357661333931335,0.0916057543132652,-0.39043544438075,0.6962145825926
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.0795476511771588,0.0905207284029679,-0.878778292890435,0.379521498165337
"map_conditionall_tools:model_shortgpt_oss_120b",-0.0196264793421954,0.0911996351122227,-0.215203485387247,0.829608673645372
"map_conditiontemporal_frequency:model_shortministral_3b",0.141691705498045,0.0921997539626312,1.53679049464138,0.124344621876252
"map_conditiontemporal_cochange:model_shortministral_3b",0.00814556417209068,0.091256591815673,0.0892600086199111,0.928875275658809
"map_conditionall_tools:model_shortministral_3b",-0.0456755101097237,0.0918863377426058,-0.49708706682457,0.619127654482872
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.0223800148575673,0.0932788513040625,-0.239925926881484,0.810387681057729
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.0585914651953477,0.0919177094143138,-0.637433913102099,0.523842244237769
"map_conditionall_tools:model_shortnemotron_super",0.1009535205574,0.0926258917877344,1.0899060576793,0.275754527919082
