"term","estimate","std_error","z_value","p_value"
"(Intercept)",-0.324748533566201,0.890621956473361,-0.364631178476807,0.715386737872485
"submission_moderequired",-0.274941451936046,0.523760560614451,-0.524937295037064,0.59962678204628
"map_conditiontemporal_frequency",-0.41029463082014,0.52252768175392,-0.785211281903654,0.432329701832773
"map_conditiontemporal_cochange",-1.06436873445475,0.515960351942913,-2.06288861236476,0.0391232123054395
"map_conditionall_tools",-1.06436737418276,0.515960368019348,-2.06288591170019,0.0391234689545646
"model_shortgpt_oss_120b",-0.410306792311912,0.522527571404114,-0.785234722082422,0.432315960989518
"model_shortministral_3b",-1.78727965051958,0.505612044279191,-3.5348834560845,0.000407955044856974
"model_shortnemotron_super",-1.06436881636652,0.515960350974837,-2.06288877499122,0.0391231968507939
"log_size_c",0.0173119759908956,0.58953874596007,0.0293652895751624,0.976573255765437
"submission_moderequired:map_conditiontemporal_frequency",0.141011118077024,0.735651331944032,0.191681999275918,0.847991307018326
"submission_moderequired:map_conditiontemporal_cochange",0.929016616135118,0.731889326516392,1.269340298426,0.204319719366124
"submission_moderequired:map_conditionall_tools",0.531730526831924,0.728100760981719,0.730297996275923,0.465208052755425
"submission_moderequired:model_shortgpt_oss_120b",0.00857737532620544,0.734584269688427,0.0116765028603778,0.990683710342287
"submission_moderequired:model_shortministral_3b",0.27492772367288,0.706751342514807,0.389002053670835,0.697274627196597
"submission_moderequired:model_shortnemotron_super",0.274946484589862,0.725410587854516,0.379021879737168,0.704671616246872
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.116235406265652,0.731330825155816,-0.158936834422215,0.873718639863409
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.160951393174932,0.721567001583695,0.223058139883997,0.823490257096354
"map_conditionall_tools:model_shortgpt_oss_120b",0.410311946985486,0.724520880951289,0.566321769010647,0.571175064644578
"map_conditiontemporal_frequency:model_shortministral_3b",1.00754730158708,0.714597085076011,1.40995159738149,0.158553975574873
"map_conditiontemporal_cochange:model_shortministral_3b",1.29677773489177,0.704820700208067,1.8398689688157,0.0657874768006511
"map_conditionall_tools:model_shortministral_3b",0.840776333033145,0.697331561533794,1.20570526190417,0.227931155429155
"map_conditiontemporal_frequency:model_shortnemotron_super",0.0392979673121213,0.72003022810858,0.0545782187719419,0.95647449179085
"map_conditiontemporal_cochange:model_shortnemotron_super",0.815013881415805,0.716484941539053,1.13751711189506,0.255322175255538
"map_conditionall_tools:model_shortnemotron_super",0.938713527981089,0.718162279469089,1.3071050301821,0.191177043151333
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.517971313690432,1.03321832907492,0.501318355583367,0.616147089030617
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.376125959629652,1.02834206136999,0.365759579189597,0.714544484084423
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",0.122330401506438,1.02581471742538,0.119251946212535,0.905075753106343
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",0.241458114788728,1.00993595119788,0.239082601725719,0.811041532432152
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",-0.310971713224324,1.00248368038617,-0.31020127240828,0.75640790298366
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",0.165429678370766,0.992418265516421,0.166693504260204,0.86761121687506
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",0.229987557728349,1.01919211080018,0.225656728786669,0.821468415416106
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",-0.552135000983756,1.01805206532633,-0.542344561529643,0.587581162982741
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",-0.40607211485711,1.01575659447321,-0.399773052979987,0.689323679987043
