"term","estimate","std_error","z_value","p_value"
"(Intercept)",-0.313309983485597,0.867029288762415,-0.361360322593959,0.717830104836514
"submission_moderequired",-0.296410979369427,0.338469528893356,-0.87573903724379,0.381171918177448
"map_conditiontemporal_frequency",-0.534305773426211,0.409375811962849,-1.30517181966457,0.191834347627514
"map_conditiontemporal_cochange",-1.00099677412683,0.40759390915703,-2.45586784208099,0.0140544833026066
"map_conditionall_tools",-1.04957573597656,0.406369866753475,-2.5828089675096,0.00979995695435273
"model_shortgpt_oss_120b",-0.537562738867556,0.410300421544104,-1.31016862435705,0.190138797363185
"model_shortministral_3b",-1.79801100018654,0.401222855310087,-4.48132746275619,7.41801899727231e-06
"model_shortnemotron_super",-0.971090856535067,0.40685638795071,-2.38681482039975,0.0169950493180339
"log_size_c",0.0173572572976165,0.589052551908111,0.0294663986114504,0.976492617321903
"submission_moderequired:map_conditiontemporal_frequency",0.389481327171131,0.356973218697043,1.09106595893312,0.27524386029051
"submission_moderequired:map_conditiontemporal_cochange",0.799495212831663,0.356746647310212,2.24107281416567,0.0250213588379093
"submission_moderequired:map_conditionall_tools",0.503353640481886,0.353974484386676,1.4220054345274,0.155024673294056
"submission_moderequired:model_shortgpt_oss_120b",0.262457062144301,0.361984261534329,0.725051031312338,0.46842072419725
"submission_moderequired:model_shortministral_3b",0.300165900444417,0.354246025606459,0.847337383476755,0.396807095223885
"submission_moderequired:model_shortnemotron_super",0.091736350582085,0.358001492707794,0.256245720899721,0.797761106648124
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.143174470278926,0.516233804317141,0.27734423643239,0.781515795479407
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.345366713529548,0.514148790766583,0.671725227661461,0.501758637858832
"map_conditionall_tools:model_shortgpt_oss_120b",0.472897175889194,0.512882749575005,0.922037592960682,0.356508967105075
"map_conditiontemporal_frequency:model_shortministral_3b",1.12726115877046,0.506343984656342,2.22627540353924,0.0259957399546603
"map_conditiontemporal_cochange:model_shortministral_3b",1.14638143593226,0.502498891383462,2.28136112455111,0.0225270864684096
"map_conditionall_tools:model_shortministral_3b",0.91812432345184,0.497055700151987,1.84712563032896,0.0647289346418999
"map_conditiontemporal_frequency:model_shortnemotron_super",0.151981938094936,0.509325870009091,0.298398229982355,0.765399239836542
"map_conditiontemporal_cochange:model_shortnemotron_super",0.542997593152094,0.508908762774559,1.06698416861931,0.285978984899761
"map_conditionall_tools:model_shortnemotron_super",0.735645108618222,0.508249575686147,1.44740919384947,0.147782352297885
