"term","estimate","std_error","z_value","p_value"
"(Intercept)",-5.25953514942439,0.0838058534732318,-62.7585655589597,0
"submission_moderequired",0.0933839749865353,0.0445454949199797,2.0963730485942,0.0360491112915762
"map_conditiontemporal_frequency",0.0556605053422043,0.0531395325949437,1.04744062704647,0.294896402257101
"map_conditiontemporal_cochange",0.103913616953646,0.053196259504841,1.95340082029996,0.0507721191144536
"map_conditionall_tools",0.162895503792404,0.0534510891988696,3.04756191564847,0.00230705992867921
"model_shortgpt_oss_120b",0.313587022849819,0.0535012053887167,5.86130762048127,4.59236311425024e-09
"model_shortministral_3b",-0.59598768522032,0.053719691234153,-11.0943989350671,1.33554753142633e-28
"model_shortnemotron_super",0.784863099107413,0.0533200982277891,14.7198359566855,4.80825281816631e-49
"log_size_c",0.0688970352635014,0.0534901837496056,1.28803138134685,0.197735039532832
"submission_moderequired:map_conditiontemporal_frequency",-0.0125040900334209,0.0476546697843568,-0.262389606097438,0.793021085177249
"submission_moderequired:map_conditiontemporal_cochange",0.0276039521065878,0.0476234333329941,0.57962961035536,0.562164420541662
"submission_moderequired:map_conditionall_tools",-0.0774560232908559,0.0476313785508988,-1.62615539686903,0.103916601889107
"submission_moderequired:model_shortgpt_oss_120b",0.203672907268693,0.0476281256690389,4.27631581985793,1.90011617419741e-05
"submission_moderequired:model_shortministral_3b",0.118871689019765,0.0476185558026152,2.4963312518864,0.012548535821884
"submission_moderequired:model_shortnemotron_super",0.415809493611374,0.0476467458409355,8.72692324045629,2.61694570802367e-18
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.338037512999289,0.0673363689166448,-5.0201327817029,5.16357739367493e-07
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.418603488440067,0.067305268648243,-6.21947578320817,4.98818600268531e-10
"map_conditionall_tools:model_shortgpt_oss_120b",-0.296305745674088,0.0673220436011623,-4.40131834721923,1.07595125351485e-05
"map_conditiontemporal_frequency:model_shortministral_3b",-0.0302826690474199,0.067376994590233,-0.449451169966695,0.653106225477785
"map_conditiontemporal_cochange:model_shortministral_3b",0.014573654138509,0.0673539783430953,0.216374065749645,0.828696179986607
"map_conditionall_tools:model_shortministral_3b",0.0098378530427121,0.0673528821682485,0.146064321614879,0.883870611519306
"map_conditiontemporal_frequency:model_shortnemotron_super",0.0380077974636584,0.0673904328087406,0.563993965902067,0.572758238714748
"map_conditiontemporal_cochange:model_shortnemotron_super",0.021998671048863,0.0673771030851644,0.326500695956855,0.744045562827355
"map_conditionall_tools:model_shortnemotron_super",-0.0282655280500156,0.0673304162683441,-0.419803257080186,0.674629185323329
