"term","estimate","std_error","z_value","p_value"
"(Intercept)",12.2052541934154,0.112091260700413,108.886759923564,0
"submission_moderequired",0.161425204647208,0.0789052044981334,2.04581187861983,0.040774882883824
"map_conditiontemporal_frequency",0.175956370409454,0.0789003305115279,2.23010942119876,0.0257401795262421
"map_conditiontemporal_cochange",0.235831585778113,0.0788973644860581,2.98909332794997,0.00279806650336272
"map_conditionall_tools",0.238296017180281,0.0788963810194542,3.02036689264013,0.00252468652171366
"model_shortgpt_oss_120b",-0.842649501415098,0.0793792674286934,-10.6154859916294,2.52477136442231e-26
"model_shortministral_3b",-0.82851258604331,0.0791550017017497,-10.4669644145178,1.22508683210524e-25
"model_shortnemotron_super",-1.09817163382573,0.0792513258398715,-13.856823493964,1.15681356759686e-43
"log_size_c",0.110336633608477,0.0705493868367109,1.56396304143443,0.11782624811948
"submission_moderequired:map_conditiontemporal_frequency",-0.110395621639664,0.111613096592361,-0.989092006315853,0.322618128283962
"submission_moderequired:map_conditiontemporal_cochange",-0.0307678211924918,0.111512144325412,-0.275914532705119,0.782613711547645
"submission_moderequired:map_conditionall_tools",-0.0182705433289644,0.111579108706134,-0.163745198727868,0.86993173429699
"submission_moderequired:model_shortgpt_oss_120b",0.106629577771338,0.111597262597665,0.955485603224545,0.339332182432912
"submission_moderequired:model_shortministral_3b",0.0952342441951873,0.111609615835616,0.853279921108703,0.393504092105084
"submission_moderequired:model_shortnemotron_super",0.326629103423706,0.11159557874423,2.92690003581879,0.00342358901881948
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.615614846149256,0.111623788011671,-5.51508649827301,3.48608459734988e-08
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.620509075491638,0.111580138476626,-5.56110687765122,2.68068956968378e-08
"map_conditionall_tools:model_shortgpt_oss_120b",-0.246913489453196,0.111717430820958,-2.2101608284289,0.0270940024812898
"map_conditiontemporal_frequency:model_shortministral_3b",-0.114267512161658,0.111670784810695,-1.02325341722426,0.306188042452536
"map_conditiontemporal_cochange:model_shortministral_3b",-0.0603593967860609,0.111605628051731,-0.540827535669468,0.588626461599973
"map_conditionall_tools:model_shortministral_3b",0.0279288515448686,0.11158548334087,0.250291083648865,0.802362251295023
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.144459499395646,0.111662126265423,-1.29371976181309,0.195762236768483
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.178852826324505,0.111662099287637,-1.60173261532355,0.109214749590443
"map_conditionall_tools:model_shortnemotron_super",-0.0999717095956674,0.111587000652226,-0.89590820625461,0.370301790954489
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.256449405289878,0.157850186108375,1.62463796598762,0.104239722477785
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.123424854716032,0.157739999758116,0.782457556138558,0.433945719908812
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",-0.115193747651525,0.157848272110634,-0.729775157568954,0.465527631900014
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",0.0309728490327939,0.157891564653684,0.196165318272253,0.84448077264796
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",0.00315592888886983,0.157801174414892,0.0199994005150572,0.984043850790325
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",-0.0885426029034055,0.157828257550119,-0.561006021848076,0.574793432041087
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",0.113963026943063,0.157894437769511,0.721767204424401,0.470437615836261
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",0.130557002139617,0.15778363881603,0.827443219837525,0.407985892299305
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",0.00813812709090423,0.157756523089316,0.0515866281250172,0.958858074363603
