"term","estimate","std_error","z_value","p_value"
"(Intercept)",12.220048516886,0.108191318764393,112.94851247259,0
"submission_moderequired",0.132428178488128,0.0522661859618667,2.53372569761924,0.0112857036516463
"map_conditiontemporal_frequency",0.126286466403834,0.0623393882996476,2.02578930991127,0.0427863798717242
"map_conditiontemporal_cochange",0.203696016951531,0.0624434388536873,3.26208839056439,0.00110594653272529
"map_conditionall_tools",0.263368023426487,0.0627742327059324,4.1954797705014,2.72294590228088e-05
"model_shortgpt_oss_120b",-0.876004772144724,0.0629588779820796,-13.9139196920578,5.21418127854734e-44
"model_shortministral_3b",-0.821578373661773,0.062963903110878,-13.048402863701,6.48935658463186e-39
"model_shortnemotron_super",-1.12990813486743,0.0628393119243774,-17.9809119524923,2.74933167858146e-72
"log_size_c",0.110422748996335,0.0705339602275254,1.56552600534747,0.11745962466017
"submission_moderequired:map_conditiontemporal_frequency",-0.00993863614171814,0.0559251714962372,-0.177713109782539,0.858948289020834
"submission_moderequired:map_conditiontemporal_cochange",0.0335750856310377,0.0558857461928114,0.60078084159779,0.547985966174229
"submission_moderequired:map_conditionall_tools",-0.0670254544279524,0.0558952109575339,-1.19912696060624,0.230478582223605
"submission_moderequired:model_shortgpt_oss_120b",0.172952166677783,0.0559269614003199,3.0924649283162,0.00198501687882136
"submission_moderequired:model_shortministral_3b",0.0816751197599198,0.0558882881676277,1.4613995604043,0.143905821279346
"submission_moderequired:model_shortnemotron_super",0.389797680477393,0.0559016002766935,6.97292525702359,3.10417568014382e-12
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.486357562582645,0.0790335140903061,-6.15381421642113,7.56412885855573e-10
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.558889733389059,0.078991829949708,-7.07528530159244,1.49141600448457e-12
"map_conditionall_tools:model_shortgpt_oss_120b",-0.304222893420269,0.0790331881860949,-3.84930559430215,0.000118453152196077
"map_conditiontemporal_frequency:model_shortministral_3b",-0.0995912011517435,0.0790435754398184,-1.259953141006,0.207686266764143
"map_conditiontemporal_cochange:model_shortministral_3b",-0.0590608120331823,0.0789988793109753,-0.747615821240859,0.454691918914256
"map_conditionall_tools:model_shortministral_3b",-0.0173013085387907,0.0789753244053796,-0.219072332643843,0.82659370263956
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.0881863417226296,0.0790516862742194,-1.11555294869642,0.264613541872153
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.113690152477358,0.0790359285994626,-1.43846165271893,0.150303110422759
"map_conditionall_tools:model_shortnemotron_super",-0.0967093953666128,0.0789767450717844,-1.22453002182745,0.220752348081157
