"term","estimate","std_error","z_value","p_value"
"(Intercept)",-2.31943781763534,0.5434682548539,-4.26784416002158,1.97371127316011e-05
"submission_moderequired",0.070418811601767,0.373416734959731,0.188579688613476,0.850422253306979
"map_conditiontemporal_frequency",-0.0708072885423103,0.374347527915761,-0.189148540492683,0.849976398261092
"map_conditiontemporal_cochange",0.28000940697301,0.372702250856766,0.751295186249414,0.452475025596609
"map_conditionall_tools",0.280008870622555,0.372702251745202,0.751293745372871,0.452475892557509
"model_shortgpt_oss_120b",-3.26242932199215,0.572153593641079,-5.70201665820301,1.18398254413696e-08
"model_shortministral_3b",-3.86949820469662,0.684245676546827,-5.65512992968368,1.55728422029008e-08
"model_shortnemotron_super",-2.654320253371,0.495867176932427,-5.35288556462108,8.65625966812737e-08
"log_size_c",0.25719965418312,0.347706324995042,0.739703697327872,0.459479804150082
"submission_moderequired:map_conditiontemporal_frequency",0.000381069513227238,0.528737876303248,0.000720715368249281,0.999424952384723
"submission_moderequired:map_conditiontemporal_cochange",0.068373141202296,0.526367112733089,0.12989630155136,0.896648470432628
"submission_moderequired:map_conditionall_tools",-0.209895351847724,0.526984930469591,-0.398294789303915,0.690412900966411
"submission_moderequired:model_shortgpt_oss_120b",-0.0704313902789739,0.799538797598962,-0.0880900220107909,0.929805126831639
"submission_moderequired:model_shortministral_3b",-0.0704088244885455,0.957380851723245,-0.0735431718336675,0.941373890909148
"submission_moderequired:model_shortnemotron_super",0.240968765502074,0.673990122005279,0.357525663410519,0.720698317418595
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-17.1116816348309,2166.36573107864,-0.00789879630634249,0.993697737912365
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-1.34186931077347,0.974978069004541,-1.37630717390754,0.168726552818591
"map_conditionall_tools:model_shortgpt_oss_120b",-1.34187866338006,0.974980460914369,-1.37631339003615,0.168724629136793
"map_conditiontemporal_frequency:model_shortministral_3b",-0.383982128326563,1.04403844256152,-0.367785430759114,0.71303323335672
"map_conditiontemporal_cochange:model_shortministral_3b",-0.734805340554741,1.04346363482783,-0.704198321847585,0.481309275970165
"map_conditionall_tools:model_shortministral_3b",-0.279997527853544,0.957102187142737,-0.292547161227819,0.769868306676292
"map_conditiontemporal_frequency:model_shortnemotron_super",-1.14436179565641,0.836959337978204,-1.36728481746889,0.171536048676714
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.458752089115847,0.706838437253416,-0.649019726344304,0.516325625875865
"map_conditionall_tools:model_shortnemotron_super",-0.279995069580085,0.693226426742687,-0.403901321096078,0.686285284833091
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",17.9524968945789,2166.36585743365,0.0082869183120556,0.993388071499107
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.993498441397653,1.26035308543588,0.78826993235317,0.430538831185934
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",2.32968636332102,1.21482373084793,1.91771555342842,0.0551470884847973
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",-16.1389277614101,2185.84864816052,-0.00738336928084735,0.994108977168163
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",-0.811587707977952,1.64149256229467,-0.494420581987541,0.621009181257232
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",-0.988146217480269,1.58826813380892,-0.622153272766696,0.533841088194634
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",1.48271924316945,1.05364604990483,1.40722706956797,0.159360067195426
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",0.725996745016136,0.943148630396168,0.769758574225128,0.441443117233158
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",0.348293548917949,0.947267920106619,0.3676821958446,0.713110217670427
