"term","estimate","std_error","z_value","p_value"
"(Intercept)",-2.17323321019968,0.531501563193443,-4.08885572629769,4.33506360524134e-05
"submission_moderequired",-0.224889474084547,0.306341802190853,-0.734112917258478,0.462879921515501
"map_conditiontemporal_frequency",-0.365063502181331,0.335298576467355,-1.08877140495965,0.276254704466442
"map_conditiontemporal_cochange",0.143319724524296,0.329819160524705,0.434540322934212,0.663896120069975
"map_conditionall_tools",0.119335259481031,0.327581925198835,0.364291343023877,0.715640463677567
"model_shortgpt_oss_120b",-4.14298137730061,0.519511567291114,-7.97476252338969,1.52674094015799e-15
"model_shortministral_3b",-3.61710531976096,0.535383627362956,-6.75609999053779,1.41755607730557e-11
"model_shortnemotron_super",-2.96235858155643,0.395504773866458,-7.49007035388318,6.88367049921367e-14
"log_size_c",0.256960247485769,0.347345007787322,0.739783908577447,0.459431124456465
"submission_moderequired:map_conditiontemporal_frequency",0.587228292521282,0.410227167715998,1.43147099640125,0.152295273602394
"submission_moderequired:map_conditiontemporal_cochange",0.342439819907469,0.398403475593554,0.85953020213313,0.390048064545574
"submission_moderequired:map_conditionall_tools",0.112218780655397,0.390974665287937,0.2870231516734,0.774094593251924
"submission_moderequired:model_shortgpt_oss_120b",1.45723857618491,0.458993500969972,3.17485666595581,0.00149910531364932
"submission_moderequired:model_shortministral_3b",-0.724278538481846,0.610867379053205,-1.18565594320066,0.235758199808979
"submission_moderequired:model_shortnemotron_super",0.832283908830448,0.343463984712234,2.42320576792867,0.0153842099536068
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.207881103450858,0.594814437734688,-0.349489000708456,0.726722227030983
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.837752949236743,0.61949398453332,-1.35231813407816,0.176273565722993
"map_conditionall_tools:model_shortgpt_oss_120b",0.143660408969876,0.554871084568376,0.258907722830117,0.795706439356406
"map_conditiontemporal_frequency:model_shortministral_3b",-1.05400485556134,0.90099714718254,-1.16982041381292,0.242073246780609
"map_conditiontemporal_cochange:model_shortministral_3b",-1.03470412202938,0.798958719013895,-1.2950658117937,0.195297527492418
"map_conditionall_tools:model_shortministral_3b",-0.615666669479019,0.743902113290597,-0.827617852509737,0.407886954634363
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.255543537393065,0.493953177070264,-0.517343645623954,0.604916291426309
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.0590270644172785,0.466245452584695,-0.12660083672678,0.899256334658902
"map_conditionall_tools:model_shortnemotron_super",-0.109021276460529,0.473565407729117,-0.230213767055575,0.817925664577305
