"term","estimate","std_error","z_value","p_value"
"(Intercept)",2.80463892732331,0.0613506678130584,45.7148883182385,0
"submission_moderequired",0.0953600173167847,0.0450134390798217,2.11847882024042,0.0341345367774532
"map_conditiontemporal_frequency",0.103924799900442,0.0449890730332798,2.3100009156349,0.0208881034315378
"map_conditiontemporal_cochange",0.115003990009859,0.0449309790484249,2.55957008828834,0.0104801720656436
"map_conditionall_tools",0.100731819639048,0.0449992326196497,2.23852305417008,0.0251869657294742
"model_shortgpt_oss_120b",-0.318540407865554,0.0474119040645481,-6.71857446247852,1.83510960533531e-11
"model_shortministral_3b",-0.264492204484812,0.0470149190733206,-5.62570796032494,1.84748680511304e-08
"model_shortnemotron_super",-0.46194191182001,0.048112803092956,-9.60122632904008,7.89988331244126e-22
"log_size_c",-6.36599803950034e-05,0.0381509497547722,-0.00166863422284895,0.998668623133796
"submission_moderequired:map_conditiontemporal_frequency",-0.0668806555594376,0.0632764262020015,-1.05696006512647,0.290529813543511
"submission_moderequired:map_conditiontemporal_cochange",-0.0185049563531596,0.0630483619657294,-0.293504157383472,0.76913682222206
"submission_moderequired:map_conditionall_tools",-0.0298095997478564,0.0631816549167517,-0.471807833889974,0.637063958742264
"submission_moderequired:model_shortgpt_oss_120b",0.0774298999916278,0.0660173656221431,1.17287170219432,0.240847258940105
"submission_moderequired:model_shortministral_3b",-0.0553777169457606,0.0660144008201277,-0.838873280038558,0.401540423369487
"submission_moderequired:model_shortnemotron_super",0.122483455771445,0.0668253882062669,1.83288805436312,0.0668192205837628
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.275378211096901,0.0675098118614808,-4.0790842620319,4.52134480517328e-05
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.306337391381412,0.067560238248349,-4.53428524415984,5.77988756246094e-06
"map_conditionall_tools:model_shortgpt_oss_120b",-0.180486910837927,0.0670971272202508,-2.68993499893769,0.00714659377691605
"map_conditiontemporal_frequency:model_shortministral_3b",-0.1627560859197,0.0664908914221578,-2.44779521583406,0.014373332250609
"map_conditiontemporal_cochange:model_shortministral_3b",-0.0986014952058776,0.0660887485202733,-1.49195585350857,0.135710718896106
"map_conditionall_tools:model_shortministral_3b",-0.0318431167283901,0.0658937831840056,-0.483249180570944,0.628918819029766
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.12293987047546,0.0678528765827573,-1.81185937379553,0.0700079281466878
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.109073727281913,0.0677075016116786,-1.61095483787721,0.107189566259998
"map_conditionall_tools:model_shortnemotron_super",-0.0841116736154107,0.06766260363291,-1.24310430133227,0.213829400966292
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.214858391329152,0.0936956503417892,2.29315224928134,0.0218392411600461
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.160637701933805,0.0936684021965005,1.71496148292158,0.0863522889474064
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",0.0289850165968216,0.0934848385594235,0.31005045356523,0.756522589105638
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",0.102055093182009,0.0934149621683662,1.0924919393327,0.274616931550057
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",0.102108529516349,0.092634814560278,1.10226948692067,0.270344530650122
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",0.0254148473813786,0.0926363642678631,0.27435065681,0.783815158794121
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",0.123330415615909,0.0942262457503574,1.30887540550708,0.190576558917385
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",0.099281154599548,0.0938638505183693,1.05771448807247,0.290185628049438
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",0.0289537715483766,0.0940966008865118,0.307702629803782,0.758308618464637
