"term","estimate","std_error","z_value","p_value"
"(Intercept)",2.83184780567066,0.0590103164898411,47.9890292769092,0
"submission_moderequired",0.0420047418095596,0.0304764122378236,1.37827056156657,0.168119768662492
"map_conditiontemporal_frequency",0.0509278705163931,0.0359837927308187,1.415300240788,0.156980484445106
"map_conditiontemporal_cochange",0.071069305839109,0.035891290424883,1.98012679393209,0.0476892831083616
"map_conditionall_tools",0.0901524825996379,0.0359636613647707,2.50676597372117,0.0121841351782796
"model_shortgpt_oss_120b",-0.370404624684787,0.0372345259843437,-9.94788076100483,2.57610551222903e-23
"model_shortministral_3b",-0.293955828680271,0.0370061739857372,-7.94342665074122,1.96671012966553e-15
"model_shortnemotron_super",-0.49436840842439,0.037631974146757,-13.1369246401067,2.02282088224925e-39
"log_size_c",-3.27219042589191e-05,0.0381460442111806,-0.000857805964827365,0.999315569948437
"submission_moderequired:map_conditiontemporal_frequency",0.0380053175451986,0.0338126602168373,1.12399667170445,0.261014437910816
"submission_moderequired:map_conditiontemporal_cochange",0.0679370884105566,0.033664625629519,2.01805566347916,0.0435854644754521
"submission_moderequired:map_conditionall_tools",-0.00922126656022664,0.0336541440915202,-0.27400092348657,0.784083911968683
"submission_moderequired:model_shortgpt_oss_120b",0.178219215391985,0.0331700806820845,5.37289062092161,7.74843346141552e-08
"submission_moderequired:model_shortministral_3b",0.0025115256828708,0.0327882319138558,0.0765983871734623,0.938943042034586
"submission_moderequired:model_shortnemotron_super",0.185770678734281,0.0332101899897364,5.59378548546978,2.22171429535422e-08
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.163946402108267,0.0468458086529917,-3.49970268039758,0.000465777359505749
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.223298829087122,0.0468409407079398,-4.76717217272436,1.86829644967257e-06
"map_conditionall_tools:model_shortgpt_oss_120b",-0.165613644023427,0.046775110732788,-3.54063606539657,0.000399163756359303
"map_conditiontemporal_frequency:model_shortministral_3b",-0.111205958854797,0.0467470490785087,-2.37888724629513,0.0173649866904764
"map_conditiontemporal_cochange:model_shortministral_3b",-0.0466399466930017,0.0463505482352989,-1.00624369006886,0.314298360288262
"map_conditionall_tools:model_shortministral_3b",-0.0188240616087666,0.0463541327775301,-0.406092412495558,0.684674700545529
"map_conditiontemporal_frequency:model_shortnemotron_super",-0.0601910371744585,0.0471193567076435,-1.27741636092189,0.201455291621921
"map_conditiontemporal_cochange:model_shortnemotron_super",-0.0583700209656106,0.0469353561912732,-1.24362582288155,0.213637307720363
"map_conditionall_tools:model_shortnemotron_super",-0.0691341191002417,0.0470612355469897,-1.4690247354686,0.141826080235134
