"term","estimate","std_error","z_value","p_value"
"(Intercept)",4.29720414861089,0.08169218617995,52.6023889132442,0
"submission_moderequired",0.0225769967750446,0.0678815446363632,0.332594034151522,0.739440747295867
"map_conditiontemporal_frequency",0.0772264951337185,0.0678859396366904,1.13759190116564,0.255290929987155
"map_conditiontemporal_cochange",0.0879893143253406,0.0678762399476861,1.29631980783196,0.194865327111664
"map_conditionall_tools",0.114019555408024,0.0678840023206776,1.67962335027635,0.0930306215959133
"model_shortgpt_oss_120b",-0.566017420193409,0.0681499882312438,-8.30546614729883,9.94283177411888e-17
"model_shortministral_3b",-1.63397794495589,0.0692960764389533,-23.5796603346706,6.23269798517541e-123
"model_shortnemotron_super",0.877027998569426,0.0680871640548033,12.8809594399248,5.7614842050155e-38
"log_size_c",-0.0461402386996368,0.0482483647408873,-0.956306787751835,0.338917261607438
"submission_moderequired:map_conditiontemporal_frequency",-0.0530464416804916,0.0960091538737025,-0.552514417013536,0.580595959620358
"submission_moderequired:map_conditiontemporal_cochange",0.0333647168930654,0.0959840878727236,0.34760675058253,0.728135535861477
"submission_moderequired:map_conditionall_tools",-0.038279851171352,0.0960222126197331,-0.3986562080479,0.690146539435967
"submission_moderequired:model_shortgpt_oss_120b",0.478740542361424,0.0960232477808253,4.98567329709736,6.17464056436789e-07
"submission_moderequired:model_shortministral_3b",0.0500774121886151,0.096919926989802,0.516688505077849,0.60537362159965
"submission_moderequired:model_shortnemotron_super",0.476912265646839,0.0960673951352863,4.9643509639793,6.89311946890829e-07
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",-0.356958055850455,0.0960348492608053,-3.71696377510888,0.000201631340245692
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",-0.442380386985847,0.0960211549018038,-4.60711379110414,4.08296591131004e-06
"map_conditionall_tools:model_shortgpt_oss_120b",-0.3190146379929,0.0960487899873201,-3.32138112343753,0.000895731306796963
"map_conditiontemporal_frequency:model_shortministral_3b",-0.407420033339755,0.0968599322170901,-4.20628038874334,2.59608113665096e-05
"map_conditiontemporal_cochange:model_shortministral_3b",-0.301943678825405,0.0968494073135194,-3.11766160682798,0.00182291974730997
"map_conditionall_tools:model_shortministral_3b",-0.200249953792726,0.096800302003793,-2.06869141570322,0.0385750532704707
"map_conditiontemporal_frequency:model_shortnemotron_super",0.0324662176070476,0.0961524392293552,0.337653603665789,0.735624242163799
"map_conditiontemporal_cochange:model_shortnemotron_super",0.0853219043895156,0.0960751254166703,0.888074868697607,0.374500480002307
"map_conditionall_tools:model_shortnemotron_super",0.0124381040684646,0.0960582264273517,0.129485048090821,0.896973855245524
"submission_moderequired:map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.295470738538214,0.135804497140885,2.17570658379368,0.0295772075918281
"submission_moderequired:map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.199401928710493,0.135763429182361,1.46874552235014,0.141901825220757
"submission_moderequired:map_conditionall_tools:model_shortgpt_oss_120b",-0.0640056439317325,0.135778557851899,-0.471397287939579,0.637357052342993
"submission_moderequired:map_conditiontemporal_frequency:model_shortministral_3b",0.140401976349891,0.136454633744289,1.02892787512808,0.30351356839653
"submission_moderequired:map_conditiontemporal_cochange:model_shortministral_3b",0.0386518960263665,0.136398095533364,0.283375628341613,0.776888908794137
"submission_moderequired:map_conditionall_tools:model_shortministral_3b",0.0859395600635403,0.136373880659189,0.63017609859113,0.5285793753101
"submission_moderequired:map_conditiontemporal_frequency:model_shortnemotron_super",0.112368537912539,0.135873994383615,0.827005479763015,0.408233955580423
"submission_moderequired:map_conditiontemporal_cochange:model_shortnemotron_super",-0.0161201501043588,0.135819543842486,-0.118688000624224,0.905522543460941
"submission_moderequired:map_conditionall_tools:model_shortnemotron_super",0.00982635652007721,0.135829502736815,0.0723433151273246,0.942328694491664
