metric,map_condition,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,structural,540,21961.5,40882.0,7.73492318028859e-19,0.4402409803518861,3.093969272115436e-18
tokens,temporal_frequency,540,21699.5,44872.0,8.240048226453066e-15,0.38560963921407543,1.6480096452906132e-14
tokens,temporal_cochange,540,23377.5,41039.0,1.1395501370340548e-18,0.43809132607653867,3.418650411102164e-18
tokens,all_tools,540,19506.0,47310.0,1.3243865822613768e-12,0.35222838365167386,1.3243865822613768e-12
cost,structural,540,0.0011849999999999999,36688.0,1.245576234329828e-23,0.49766550284110356,3.736728702989484e-23
cost,temporal_frequency,540,0.00116,39297.0,1.3949657108022373e-20,0.46194290408708155,2.7899314216044745e-20
cost,temporal_cochange,540,0.0013445,35750.0,8.805116613325808e-25,0.510508660231396,3.522046645330323e-24
cost,all_tools,540,0.0009919999999999998,45292.5,2.042692433336846e-14,0.3798521256931608,2.042692433336846e-14
wall_time,structural,540,6.4799999999999995,39882.0,9.882570905666883e-20,0.4519068233353948,1.9765141811333766e-19
wall_time,temporal_frequency,540,8.765,38188.0,7.5097583256857895e-22,0.47712740466899434,2.2529274977057367e-21
wall_time,temporal_cochange,540,10.05,34167.0,8.66195765224348e-27,0.5321831998356952,3.464783060897392e-26
wall_time,all_tools,540,6.790000000000001,46735.0,4.160009932364768e-13,0.3601013212843157,4.160009932364768e-13
turns,structural,540,1.0,35412.0,2.767217136617945e-11,0.35465529495380244,5.53443427323589e-11
turns,temporal_frequency,540,2.0,36346.0,2.9342243681997835e-14,0.39571885780788896,8.802673104599351e-14
turns,temporal_cochange,540,2.0,29369.0,2.1651979264597854e-22,0.507710617184619,8.660791705839142e-22
turns,all_tools,540,1.0,34600.5,1.055722125298359e-09,0.3299995159025996,1.055722125298359e-09
