metric,model_short,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,deepseek-flash,540,20163.0,54494.0,3.199684593757464e-07,0.25386458547271856,3.199684593757464e-07
tokens,gpt-oss-120b,540,17642.5,40911.5,8.320246268133974e-19,0.43983706442116793,2.496073880440192e-18
tokens,ministral-3b,540,17674.0,48956.0,3.180186293553731e-11,0.32969124392414595,6.360372587107462e-11
tokens,nemotron-super,540,28135.5,26749.0,2.7458999955460506e-37,0.6337509413294996,1.0983599982184202e-36
cost,deepseek-flash,540,0.0003209999999999999,59353.0,0.00016208424414767596,0.18733483946053262,0.00016208424414767596
cost,gpt-oss-120b,540,0.0017769999999999997,34553.5,2.724173998285468e-26,0.526891216540015,8.172521994856405e-26
cost,ministral-3b,540,0.0005085000000000001,48019.5,5.34320620688705e-12,0.3425138632162662,1.06864124137741e-11
cost,nemotron-super,540,0.006043999999999999,23257.5,7.454702664437254e-43,0.6815567878414459,2.9818810657749016e-42
wall_time,deepseek-flash,540,2.905000000000012,69554.5,0.3373136439494804,0.047655233792017526,0.3373136439494804
wall_time,gpt-oss-120b,540,21.810000000000006,18978.0,3.1909356691395117e-50,0.7401519819264736,1.2763742676558047e-49
wall_time,ministral-3b,540,1.6550000000000007,50974.0,1.7021747207767092e-09,0.29947089947089944,3.4043494415534184e-09
wall_time,nemotron-super,540,105.00999999999999,25289.5,1.4473606970141717e-39,0.6537345108509619,4.342082091042515e-39
turns,deepseek-flash,540,0.0,31816.0,1.2193033874726158e-06,0.2733667538340318,2.4386067749452316e-06
turns,gpt-oss-120b,540,2.0,30410.0,4.923368107981419e-23,0.5105069576904814,1.4770104323944256e-22
turns,ministral-3b,540,1.0,50036.0,0.00021470185713235864,0.19135697720459302,0.00021470185713235864
turns,nemotron-super,540,2.0,23315.5,2.6548424014905345e-31,0.6075756555693944,1.0619369605962138e-30
