model_short,condition,coef,exp(coef),se(coef),p,p_holm
deepseek-flash,all_tools,-0.02327218297610455,0.9769965257582723,0.1290411833381304,0.8568802043644161,1.0
deepseek-flash,structural,-0.005464081573400084,0.9945508193679805,0.1298884702761211,0.9664448985944111,1.0
deepseek-flash,temporal_cochange,-0.15278466719384431,0.8583145251888379,0.1285972910519543,0.23479944960455473,0.9391977984182189
deepseek-flash,temporal_frequency,-0.006577359569321485,0.9934442239134292,0.1274146885363813,0.9588301486650125,1.0
gpt-oss-120b,all_tools,-0.01775210805514094,0.9824045323463727,0.13550768642609082,0.8957717981061574,0.8957717981061574
gpt-oss-120b,structural,-0.26232440694899195,0.7692614294714004,0.1394597509007367,0.05997131847271977,0.23988527389087907
gpt-oss-120b,temporal_cochange,-0.13833532864717077,0.8708066363699467,0.1360359627281116,0.3091997507883576,0.6681067668188561
gpt-oss-120b,temporal_frequency,-0.1688127074524614,0.8446670884229454,0.13844210299906526,0.22270225560628537,0.6681067668188561
ministral-3b,all_tools,0.5608643088584356,1.7521862761370248,0.14412272176644383,9.959579751086419e-05,0.00039838319004345676
ministral-3b,structural,0.45064935354548297,1.569330905287101,0.1456891069234632,0.0019799320017383788,0.005939796005215136
ministral-3b,temporal_cochange,0.20889327201177602,1.2323134691740216,0.14471447505881735,0.1488837043810794,0.1488837043810794
ministral-3b,temporal_frequency,0.3247337790245069,1.3836622370333367,0.14355533811686177,0.02369240949604772,0.04738481899209544
nemotron-super,all_tools,0.2917301021887165,1.338741645434727,0.1387782670868813,0.035541798961787614,0.10662539688536285
nemotron-super,structural,0.18173186120744272,1.1992925738997104,0.13618929098256918,0.18207070441519874,0.3641414088303975
nemotron-super,temporal_cochange,0.4072187119682092,1.5026327134836703,0.13620233800668552,0.0027915371211788714,0.011166148484715486
nemotron-super,temporal_frequency,0.14760617431613005,1.1590563403112584,0.13712134882790825,0.2817198624056926,0.3641414088303975
