"term","estimate","std_error","z_value","p_value"
"(Intercept)",-0.900235882077649,1.04659482521605,-0.86015701624725,0.38970249526183
"map_conditionstructural",0.352039432931525,0.592879381752541,0.593779179655233,0.552659816295444
"map_conditiontemporal_frequency",-0.155911820254777,0.595236762805554,-0.26193244436031,0.793373525628908
"map_conditiontemporal_cochange",0.250217355397015,0.588951805667922,0.424852004848252,0.670944564192048
"map_conditionall_tools",-0.440494721119575,0.589770245226328,-0.746892073116595,0.455128711235245
"log_size_c",-0.227806382906447,0.777017143860093,-0.29318063920024,0.769384081892627
"model_shortgpt_oss_120b",0.104756365247921,0.57745640633912,0.181409997530447,0.856045772179422
"model_shortministral_3b",-1.2322771505855,0.581964854812741,-2.11744255756134,0.0342223055705162
"model_shortnemotron_super",-1.03544851484394,0.58540366357322,-1.76877696412714,0.0769311024697823
"map_conditionstructural:log_size_c",0.487776490680843,0.477525359777142,1.02146719685942,0.307033142900019
"map_conditiontemporal_frequency:log_size_c",0.0064251706787043,0.487490008437099,0.0131801074227213,0.989484100240563
"map_conditiontemporal_cochange:log_size_c",0.632288103204086,0.472813394684823,1.33728889729439,0.181128353708527
"map_conditionall_tools:log_size_c",0.0643234560666582,0.483201273540028,0.133119384382851,0.894098965061521
"map_conditionstructural:model_shortgpt_oss_120b",-0.422392907691196,0.810863394498496,-0.520917469646584,0.602424265093078
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.248216321791519,0.810212997700205,0.306359343155544,0.759331060480827
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.206430913002652,0.800522223315024,0.257870308893869,0.796507000138245
"map_conditionall_tools:model_shortgpt_oss_120b",0.336994290836098,0.81037287365916,0.415850902454857,0.677519108400292
"map_conditionstructural:model_shortministral_3b",-0.43790485303243,0.813066647391537,-0.53858420393618,0.590173789375843
"map_conditiontemporal_frequency:model_shortministral_3b",1.0643517851596,0.828550157582365,1.2845954773158,0.19893367994356
"map_conditiontemporal_cochange:model_shortministral_3b",0.485469226689591,0.820623552255965,0.591585782975634,0.554127996375507
"map_conditionall_tools:model_shortministral_3b",0.798921669333976,0.817152771150231,0.977689481746979,0.328227925519285
"map_conditionstructural:model_shortnemotron_super",0.0184541982237969,0.824995818870488,0.0223688384858275,0.982153737415479
"map_conditiontemporal_frequency:model_shortnemotron_super",0.55827371597695,0.826555688456917,0.675421781948149,0.499407830526086
"map_conditiontemporal_cochange:model_shortnemotron_super",0.446186977089765,0.819821785614409,0.544248743957656,0.586270313143346
"map_conditionall_tools:model_shortnemotron_super",1.13104147018473,0.815798308016117,1.3864229173694,0.165617802577614
"log_size_c:model_shortgpt_oss_120b",1.10345429121166,0.456770967870715,2.41577151095115,0.0157019110858196
"log_size_c:model_shortministral_3b",0.595029094956711,0.479691202222273,1.24044195974433,0.214811969272636
"log_size_c:model_shortnemotron_super",0.726490850147805,0.480823371036079,1.51093081973607,0.130806077594232
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",-0.716756886088687,0.634841784549975,-1.12903230936001,0.258884204309538
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",-0.184919035463813,0.638037681763702,-0.289824630659194,0.77195040366939
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",-0.517312031418566,0.616010256315768,-0.8397782766029,0.401032715661717
"map_conditionall_tools:log_size_c:model_shortgpt_oss_120b",-0.389497663071625,0.642367786786643,-0.606346817327241,0.544284476026383
"map_conditionstructural:log_size_c:model_shortministral_3b",-0.375229534629558,0.660934702904283,-0.567725575583673,0.570221322376438
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",-0.256997931834933,0.679809288318825,-0.378044160694673,0.705397788565893
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",-0.933440723912699,0.668545462385199,-1.39622625001809,0.162646374296254
"map_conditionall_tools:log_size_c:model_shortministral_3b",-0.213034835852359,0.672319657794806,-0.316865397854213,0.751345738619446
"map_conditionstructural:log_size_c:model_shortnemotron_super",-0.967209755578246,0.672709461217707,-1.43778229880616,0.150495833336561
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.409081973885079,0.678205484034494,-0.60318293425105,0.546386999337452
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",-0.692105445550917,0.660985193809966,-1.04708161700502,0.295061936996369
"map_conditionall_tools:log_size_c:model_shortnemotron_super",0.236827367353037,0.658056059315934,0.359889349851479,0.718929881739972
