"term","estimate","std_error","z_value","p_value"
"(Intercept)",-5.30167741882474,0.0860418499787173,-61.6174271024639,0
"map_conditionstructural",0.152045555094844,0.0650194698624447,2.33846193173387,0.0193632982528889
"map_conditiontemporal_frequency",0.145615928156716,0.0649729821097525,2.24117661570068,0.0250146369475797
"map_conditiontemporal_cochange",0.256101855951052,0.0649808136389814,3.94119189356256,8.10777301975811e-05
"map_conditionall_tools",0.257958737730617,0.0650004076564244,3.96857107564803,7.23048923767227e-05
"log_size_c",0.0476658393874946,0.0568026516274626,0.839148138719098,0.401386185466062
"model_shortgpt_oss_120b",0.089758559300893,0.0653102574006389,1.37434092091046,0.169335867987097
"model_shortministral_3b",-0.260127292478678,0.0653321311081189,-3.98161345828732,6.84490333283165e-05
"model_shortnemotron_super",0.831119607654161,0.065467625699976,12.6951237160028,6.29304273210307e-37
"map_conditionstructural:log_size_c",-0.0136651074404991,0.023702504036049,-0.576525898686313,0.564259769575691
"map_conditiontemporal_frequency:log_size_c",-0.0344336290903241,0.0235279996088835,-1.46351707169032,0.143325945763057
"map_conditiontemporal_cochange:log_size_c",-0.0191533435173618,0.0236506144736058,-0.809845492121864,0.418028982816932
"map_conditionall_tools:log_size_c",-0.0223198448267317,0.0235481478546453,-0.94783865654762,0.343211597761346
"map_conditionstructural:model_shortgpt_oss_120b",0.407869458696482,0.0919059969988647,4.43789820050067,9.08415615951631e-06
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.147728006237568,0.0918950302913375,1.60757339944523,0.107928641975552
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.0225154597449399,0.0918855728263671,0.245038029936283,0.806426985151135
"map_conditionall_tools:model_shortgpt_oss_120b",0.0743312078371836,0.0918854803414409,0.808954881238834,0.418541099203927
"map_conditionstructural:model_shortministral_3b",-0.211743987641705,0.0919800304078457,-2.30206477104669,0.0213315197542469
"map_conditiontemporal_frequency:model_shortministral_3b",-0.24386311011968,0.091956533762961,-2.65193891222882,0.00800310199579202
"map_conditiontemporal_cochange:model_shortministral_3b",-0.20452838587475,0.0919504606678579,-2.22433236755109,0.0261260905292831
"map_conditionall_tools:model_shortministral_3b",-0.273841428234996,0.0919962738049714,-2.9766578243759,0.00291409049962129
"map_conditionstructural:model_shortnemotron_super",0.312109158921648,0.0919921577411679,3.39278006501172,0.000691871646845229
"map_conditiontemporal_frequency:model_shortnemotron_super",0.445019931219567,0.0919731558645259,4.83858498750516,1.30766777826863e-06
"map_conditiontemporal_cochange:model_shortnemotron_super",0.395902201119494,0.0919297737092278,4.30657212723841,1.65803882472942e-05
"map_conditionall_tools:model_shortnemotron_super",0.298238493417196,0.0919974549479338,3.24181243476773,0.00118772164409553
"log_size_c:model_shortgpt_oss_120b",0.0324928050742388,0.0215315775250465,1.50907684476169,0.131279146138486
"log_size_c:model_shortministral_3b",0.169725103199041,0.0218381365717164,7.77195905161889,7.72814349087621e-15
"log_size_c:model_shortnemotron_super",-0.0431136779683247,0.0214779887128269,-2.00734242599619,0.0447132146363925
