"term","estimate","std_error","z_value","p_value"
"(Intercept)",-2.38415407090835,0.581190311530542,-4.10219169798233,4.09254976594797e-05
"map_conditionstructural",-0.00762824826963834,0.373280495145395,-0.0204357001473304,0.983695805191584
"map_conditiontemporal_frequency",-0.094250668797426,0.375816309367194,-0.250789192614144,0.801977097656366
"map_conditiontemporal_cochange",0.34975161352669,0.371134512736874,0.9423850424136,0.345995542363947
"map_conditionall_tools",0.0808805865726803,0.371624168557883,0.217640814069074,0.827708981631597
"log_size_c",0.29004686440948,0.42655539306216,0.679974674161985,0.496520497006618
"model_shortgpt_oss_120b",-22.6659548528652,5992.73789683534,-0.00378223697466139,0.996982218707674
"model_shortministral_3b",-22.5483892805208,5665.7920183599,-0.00397974179204834,0.996824633850236
"model_shortnemotron_super",-3.07643659230786,0.615448334423764,-4.99869188075436,5.77205503435252e-07
"map_conditionstructural:log_size_c",0.0959660194000649,0.284217468580355,0.337649968805253,0.735626981662716
"map_conditiontemporal_frequency:log_size_c",0.245397769097845,0.2865486092279,0.856391415610301,0.391781311378809
"map_conditiontemporal_cochange:log_size_c",-0.0411331345979671,0.282387529506345,-0.145662008056354,0.884188214587611
"map_conditionall_tools:log_size_c",-0.205104568053092,0.283558450283495,-0.723323772746087,0.469480990811589
"map_conditionstructural:model_shortgpt_oss_120b",18.9425152360181,5992.73792999252,0.00316091166630438,0.997477961583161
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",19.9986715788361,5992.73791531963,0.0033371510420491,0.997337343648629
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",18.8135428377868,5992.73792228019,0.00313939022226227,0.997495133125888
"map_conditionall_tools:model_shortgpt_oss_120b",20.1447558333076,5992.73791305412,0.00336152792355992,0.997317893820327
"map_conditionstructural:model_shortministral_3b",18.4743895372201,5665.79205739024,0.00326068965293613,0.997398350678518
"map_conditiontemporal_frequency:model_shortministral_3b",0.117991837755141,7967.05923929714,1.48099611426449e-05,0.999988183360659
"map_conditiontemporal_cochange:model_shortministral_3b",6.07866819720365,5665.79900463177,0.00107287042696615,0.999143973414803
"map_conditionall_tools:model_shortministral_3b",14.629315256329,5665.79475454235,0.00258204115929199,0.997939831512812
"map_conditionstructural:model_shortnemotron_super",0.59597688908309,0.770892614624491,0.773099751868029,0.43946334794901
"map_conditiontemporal_frequency:model_shortnemotron_super",0.969324678224876,0.759191313737274,1.27678578598743,0.201677885086628
"map_conditiontemporal_cochange:model_shortnemotron_super",0.817964158418784,0.754079019749184,1.08471942196568,0.278045943116431
"map_conditionall_tools:model_shortnemotron_super",0.595146423186152,0.776001266868235,0.766940014915218,0.443117181000135
"log_size_c:model_shortgpt_oss_120b",-0.590870901368996,4832.62167893246,-0.000122267154481565,0.999902444925389
"log_size_c:model_shortministral_3b",-0.533481147758846,4611.90940681536,-0.000115674680636719,0.99990770495845
"log_size_c:model_shortnemotron_super",0.394941444450067,0.463296855414478,0.852458720223218,0.393959540931328
"map_conditionstructural:log_size_c:model_shortgpt_oss_120b",-0.715541385607992,4832.62170145036,-0.000148064845504718,0.999881861346206
"map_conditiontemporal_frequency:log_size_c:model_shortgpt_oss_120b",-0.512473361872718,4832.62169294768,-0.000106044584996293,0.999915388663033
"map_conditiontemporal_cochange:log_size_c:model_shortgpt_oss_120b",-0.121425443944864,4832.62169826923,-2.51262050965734e-05,0.999979952188884
"map_conditionall_tools:log_size_c:model_shortgpt_oss_120b",0.0057859359961418,4832.6216914136,1.1972664871372e-06,0.999999044719555
"map_conditionstructural:log_size_c:model_shortministral_3b",-0.0547778030768937,4611.90943807194,-1.18774671993113e-05,0.9999905231523
"map_conditiontemporal_frequency:log_size_c:model_shortministral_3b",-0.239868074627104,6487.86725523422,-3.69717913746749e-05,0.999970500778484
"map_conditiontemporal_cochange:log_size_c:model_shortministral_3b",-7.1549038370223,4611.91201911119,-0.00155139642893734,0.998762165238209
"map_conditionall_tools:log_size_c:model_shortministral_3b",-2.16412038887425,4611.91069880839,-0.000469245943863008,0.999625595919912
"map_conditionstructural:log_size_c:model_shortnemotron_super",-0.756688243689407,0.595657864589604,-1.27034038946292,0.203963407015671
"map_conditiontemporal_frequency:log_size_c:model_shortnemotron_super",-0.905660687291929,0.584554155250916,-1.54931870581466,0.12130512523115
"map_conditiontemporal_cochange:log_size_c:model_shortnemotron_super",-0.126008355775767,0.570435331138701,-0.220898582007938,0.825171401543417
"map_conditionall_tools:log_size_c:model_shortnemotron_super",-0.0785575159326825,0.592399168660051,-0.132609092126803,0.89450254145483
