"term","estimate","std_error","z_value","p_value"
"(Intercept)",2.82427070900665,0.0609976615929241,46.3012947587202,0
"map_conditionstructural",0.0764945240131539,0.0436218930614809,1.75358102651213,0.0795023244696134
"map_conditiontemporal_frequency",0.113512886324644,0.0434978088863618,2.60962308748004,0.00906420306998062
"map_conditiontemporal_cochange",0.172847204364841,0.0432266622166549,3.99862481860198,6.37115794406064e-05
"map_conditionall_tools",0.146728146024439,0.0433468783942416,3.3849760688634,0.000711844603363771
"log_size_c",0.0309284733986656,0.0408650844854208,0.756843495813639,0.449143630691042
"model_shortgpt_oss_120b",-0.549139972012295,0.0475055058084006,-11.5595016339177,6.60912375275118e-31
"model_shortministral_3b",-0.390805898336928,0.046339464878156,-8.43354361912692,3.35352608619371e-17
"model_shortnemotron_super",-0.473737793585238,0.0467737648385899,-10.1282801420849,4.13864575623199e-24
"map_conditionstructural:log_size_c",-0.0117944172601811,0.0171603584230051,-0.687305997313526,0.491889920334288
"map_conditiontemporal_frequency:log_size_c",-0.00738268758266327,0.0171113840880026,-0.43144888482981,0.666142011574154
"map_conditiontemporal_cochange:log_size_c",-0.0136488829196511,0.0170316887701163,-0.801381654155123,0.422910732592733
"map_conditionall_tools:log_size_c",-0.0164909659330469,0.0170729520070114,-0.96591180753478,0.334088313460294
"map_conditionstructural:model_shortgpt_oss_120b",0.304443179243709,0.0652111590649009,4.66857488211051,3.03296232418973e-06
"map_conditiontemporal_frequency:model_shortgpt_oss_120b",0.245346983695785,0.0651651923363946,3.76500053017965,0.000166548728838147
"map_conditiontemporal_cochange:model_shortgpt_oss_120b",0.159907977197067,0.0650808967797882,2.45706474725052,0.0140077437807873
"map_conditionall_tools:model_shortgpt_oss_120b",0.154129395861801,0.0652949437161564,2.36051043296426,0.0182498049777876
"map_conditionstructural:model_shortministral_3b",0.0700623429377326,0.0646380449625292,1.08391803895597,0.278401140659714
"map_conditiontemporal_frequency:model_shortministral_3b",0.0083145739076623,0.0647114553624492,0.128486894029694,0.897763669305337
"map_conditiontemporal_cochange:model_shortministral_3b",0.0729171375078665,0.0639952112360654,1.13941552968534,0.254529881690308
"map_conditionall_tools:model_shortministral_3b",0.0644744692825038,0.0641943934973431,1.00436293217993,0.315203710082723
"map_conditionstructural:model_shortnemotron_super",0.132727346620798,0.0649686336228796,2.04294502161203,0.0410578808474547
"map_conditiontemporal_frequency:model_shortnemotron_super",0.133247578606933,0.06472525900011,2.05866427829522,0.0395264104816105
"map_conditiontemporal_cochange:model_shortnemotron_super",0.123401194987279,0.0643493494484643,1.91767587465835,0.0551521226439291
"map_conditionall_tools:model_shortnemotron_super",0.0790453600143833,0.0647398655375261,1.22096886297308,0.222097809238657
"log_size_c:model_shortgpt_oss_120b",-0.0542773405612977,0.014880669463235,-3.64750663237283,0.000264797478365186
"log_size_c:model_shortministral_3b",-0.0204612768178644,0.0147626319433727,-1.38601821791337,0.165741340680062
"log_size_c:model_shortnemotron_super",-0.0182867792997405,0.0147030829354537,-1.24373775078459,0.213596097289714
