map_condition,model,n_trials,n_used_tool,pct_used_tool
structural,ALL,540,537,99.4
structural,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,135,100.0
structural,deepseek/deepseek-v4-flash,135,134,99.3
structural,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,134,99.3
structural,mistral/ministral-3b-latest,135,134,99.3
temporal_frequency,ALL,540,520,96.3
temporal_frequency,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,130,96.3
temporal_frequency,deepseek/deepseek-v4-flash,135,121,89.6
temporal_frequency,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,134,99.3
temporal_frequency,mistral/ministral-3b-latest,135,135,100.0
temporal_cochange,ALL,540,513,95.0
temporal_cochange,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,128,94.8
temporal_cochange,deepseek/deepseek-v4-flash,135,119,88.1
temporal_cochange,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,132,97.8
temporal_cochange,mistral/ministral-3b-latest,135,134,99.3
all_tools,ALL,540,539,99.8
all_tools,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,134,99.3
all_tools,deepseek/deepseek-v4-flash,135,135,100.0
all_tools,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,135,100.0
all_tools,mistral/ministral-3b-latest,135,135,100.0
