issue,model,n_groups,kruskal_stat,p_value_asymptotic,p_value_permutation
flask/18,nemotron-super,4,5.3277,0.14931777973463883,0.1694
gpt-engineer/9,nemotron-super,12,17.665,0.08968665927448703,0.0804
gpt-engineer/9,deepseek-flash,12,26.9352,0.004699971891501793,0.0031
gpt-engineer/9,gpt-oss-120b,12,17.5095,0.09368119211098021,0.0884
gpt-engineer/9,ministral-3b,12,8.8325,0.6373523764556306,0.6636
keras/5,nemotron-super,4,13.0737,0.0044800084566903944,0.0037
keras/5,deepseek-flash,4,5.8722,0.11799773903615372,0.1137
keras/5,gpt-oss-120b,4,1.5376,0.6736254102766883,0.6678
keras/5,ministral-3b,4,6.1496,0.10455312090367953,0.1085
localstack/2,deepseek-flash,12,17.0554,0.10624884361581202,0.0967
localstack/19,nemotron-super,4,2.035,0.5651683834608991,1.0
localstack/19,deepseek-flash,4,23.4036,3.3270113260316495e-05,0.0001
localstack/19,gpt-oss-120b,4,,,
localstack/19,ministral-3b,4,13.7841,0.0032142729771871825,0.003
requests/12,deepseek-flash,4,1.6648,0.6447863148959543,0.6591
