issue,model,condition,baseline,n_condition,n_baseline,median_condition,median_baseline,mannwhitney_u,p_mwu_exact,p_mwu_asymptotic_auto,p_permutation,p_holm
flask/18,nemotron-super,ast_compact,none,15,15,1.0,1.0,122.5,0.712965124764759,0.6103622121705332,0.5562,1.0
flask/18,nemotron-super,structural,none,15,15,1.0,1.0,117.5,0.870194456435353,0.8153345943552276,0.907,1.0
flask/18,nemotron-super,structural_required,none,15,15,1.0,1.0,150.0,0.12614740101569444,0.017491599749621257,0.0394,0.3784422030470833
gpt-engineer/9,nemotron-super,ast_compact,none,15,15,0.0,0.6667,81.5,0.21685663876008332,0.17771257450480504,0.1956,1.0
gpt-engineer/9,nemotron-super,freq,none,15,15,0.6667,0.6667,86.5,0.3045908160470848,0.2604561309126052,0.2864,1.0
gpt-engineer/9,nemotron-super,cochange,none,15,15,0.6667,0.6667,112.5,1.0,1.0,0.9446,1.0
gpt-engineer/9,nemotron-super,structural,none,15,15,0.0,0.6667,71.0,0.08919477309848688,0.06824480484864809,0.0834,0.9811425040833557
gpt-engineer/9,nemotron-super,temporal_frequency,none,15,15,0.6667,0.6667,128.5,0.5392985395846969,0.49188697243033996,0.6458,1.0
gpt-engineer/9,nemotron-super,temporal_cochange,none,15,15,0.6667,0.6667,83.0,0.2328119093188184,0.20158886536801357,0.2876,1.0
gpt-engineer/9,nemotron-super,all_tools,none,15,15,0.5,0.6667,100.0,0.6235942787120372,0.5977060424240359,0.4092,1.0
gpt-engineer/9,nemotron-super,structural_required,none,15,15,0.6667,0.6667,97.0,0.5392985395846969,0.5090155988275284,0.5364,1.0
gpt-engineer/9,nemotron-super,temporal_frequency_required,none,15,15,0.6667,0.6667,91.5,0.41237577805524483,0.36497843442543554,0.4372,1.0
gpt-engineer/9,nemotron-super,temporal_cochange_required,none,15,15,1.0,0.6667,144.5,0.20167943633962174,0.15747768857627464,0.2562,1.0
gpt-engineer/9,nemotron-super,all_tools_required,none,15,15,0.6667,0.6667,101.5,0.6826738075750567,0.638890402797854,0.8778,1.0
gpt-engineer/9,deepseek-flash,ast_compact,none,15,15,0.6667,0.6667,106.0,0.80633377841523,0.7364079813349007,0.836,1.0
gpt-engineer/9,deepseek-flash,freq,none,15,15,0.6667,0.6667,125.5,0.6235942787120372,0.45698619805480434,0.6968,1.0
gpt-engineer/9,deepseek-flash,cochange,none,15,15,0.6667,0.6667,85.5,0.28544087089582143,0.15635286405567073,0.1454,1.0
gpt-engineer/9,deepseek-flash,structural,none,15,15,0.6667,0.6667,119.0,0.80633377841523,0.7364079813349007,0.9656,1.0
gpt-engineer/9,deepseek-flash,temporal_frequency,none,15,15,0.6667,0.6667,83.5,0.2495561945549413,0.1798579694221457,0.1202,1.0
gpt-engineer/9,deepseek-flash,temporal_cochange,none,15,15,0.6667,0.6667,78.0,0.16068547253720922,0.08083749281352619,0.0714,1.0
gpt-engineer/9,deepseek-flash,all_tools,none,15,15,0.6667,0.6667,65.0,0.0502223733334571,0.022830489452695262,0.0264,0.502223733334571
gpt-engineer/9,deepseek-flash,structural_required,none,15,15,0.6667,0.6667,98.5,0.5948839305837278,0.5025395208385365,0.4918,1.0
gpt-engineer/9,deepseek-flash,temporal_frequency_required,none,15,15,0.6667,0.6667,118.0,0.8381347767808562,0.7973101431286448,0.9514,1.0
gpt-engineer/9,deepseek-flash,temporal_cochange_required,none,15,15,0.5,0.6667,58.5,0.02635404434005907,0.011192368187504945,0.0152,0.2898944877406498
gpt-engineer/9,deepseek-flash,all_tools_required,none,15,15,0.6667,0.6667,72.5,0.1064456935618878,0.06101495056629038,0.0932,0.9580112420569902
gpt-engineer/9,gpt-oss-120b,ast_compact,none,15,15,0.0,0.6667,93.0,0.43628942752565925,0.38536901995152606,0.4216,1.0
gpt-engineer/9,gpt-oss-120b,freq,none,15,15,0.6667,0.6667,101.5,0.6826738075750567,0.6299050470439655,0.751,1.0
gpt-engineer/9,gpt-oss-120b,cochange,none,15,15,0.0,0.6667,95.0,0.4863647639544521,0.4352995890642932,0.5302,1.0
gpt-engineer/9,gpt-oss-120b,structural,none,15,15,0.6667,0.6667,141.0,0.2495561945549413,0.20534424801770512,0.2614,1.0
gpt-engineer/9,gpt-oss-120b,temporal_frequency,none,15,15,0.6667,0.6667,108.0,0.870194456435353,0.8538216318069898,1.0,1.0
gpt-engineer/9,gpt-oss-120b,temporal_cochange,none,15,15,0.0,0.6667,88.5,0.34531089718298746,0.2790585808475249,0.3562,1.0
gpt-engineer/9,gpt-oss-120b,all_tools,none,15,15,0.0,0.6667,84.0,0.2495561945549413,0.19251036458345705,0.2512,1.0
gpt-engineer/9,gpt-oss-120b,structural_required,none,15,15,0.6667,0.6667,132.0,0.43628942752565925,0.37512250300314365,0.3658,1.0
gpt-engineer/9,gpt-oss-120b,temporal_frequency_required,none,15,15,0.6667,0.6667,108.0,0.870194456435353,0.8538216318069898,1.0,1.0
gpt-engineer/9,gpt-oss-120b,temporal_cochange_required,none,15,15,0.6667,0.6667,121.0,0.7437020653759808,0.7072823121336613,0.6646,1.0
gpt-engineer/9,gpt-oss-120b,all_tools_required,none,15,15,0.6667,0.6667,132.0,0.43628942752565925,0.37512250300314365,0.3722,1.0
gpt-engineer/9,ministral-3b,ast_compact,none,15,15,1.0,1.0,90.0,0.36687519243474237,0.15769088398417463,0.3256,1.0
