issue,model,condition,baseline,n_condition,n_baseline,median_first_touch_condition,median_first_touch_baseline,explored_rate_condition,explored_rate_baseline,logrank_stat,p_raw,p_holm
flask/18,nemotron-super,ast_compact,none,15,15,0.0,3.0,1.0,1.0,29.0,7.237829871740023e-08,2.171348961522007e-07
flask/18,nemotron-super,structural,none,15,15,3.0,3.0,1.0,1.0,1.7083,0.1912095323100208,0.30600285108898523
flask/18,nemotron-super,structural_required,none,15,15,4.0,3.0,1.0,1.0,2.0421,0.15300142554449261,0.30600285108898523
gpt-engineer/9,nemotron-super,ast_compact,none,15,15,1.0,3.0,0.933,1.0,10.2432,0.0013719054752594463,0.015090960227853908
gpt-engineer/9,nemotron-super,freq,none,15,15,3.0,3.0,1.0,1.0,3.1948,0.07387342845340632,0.6201047437660744
gpt-engineer/9,nemotron-super,cochange,none,15,15,2.0,3.0,1.0,1.0,4.5826,0.0322990390613375,0.322990390613375
gpt-engineer/9,nemotron-super,structural,none,15,15,4.0,3.0,1.0,1.0,3.309,0.06890052708511937,0.6201047437660744
gpt-engineer/9,nemotron-super,temporal_frequency,none,15,15,4.0,3.0,1.0,1.0,0.1688,0.6811721035868696,1.0
gpt-engineer/9,nemotron-super,temporal_cochange,none,15,15,4.0,3.0,1.0,1.0,1.2927,0.2555577537354635,1.0
gpt-engineer/9,nemotron-super,all_tools,none,15,15,4.0,3.0,1.0,1.0,2.4983,0.11396581034963646,0.6678647032615694
gpt-engineer/9,nemotron-super,structural_required,none,15,15,4.0,3.0,1.0,1.0,2.7807,0.09540924332308134,0.6678647032615694
gpt-engineer/9,nemotron-super,temporal_frequency_required,none,15,15,4.0,3.0,1.0,1.0,2.5689,0.10898036752708791,0.6678647032615694
gpt-engineer/9,nemotron-super,temporal_cochange_required,none,15,15,4.0,3.0,1.0,1.0,0.0838,0.7722616449273711,1.0
gpt-engineer/9,nemotron-super,all_tools_required,none,15,15,4.0,3.0,1.0,1.0,0.4263,0.5137919991517805,1.0
gpt-engineer/9,deepseek-flash,ast_compact,none,15,15,0.0,1.0,1.0,1.0,29.0,7.237829871740023e-08,7.961612858914025e-07
gpt-engineer/9,deepseek-flash,freq,none,15,15,1.0,1.0,1.0,1.0,3.5785,0.058531251462526614,0.5853125146252661
gpt-engineer/9,deepseek-flash,cochange,none,15,15,1.0,1.0,1.0,1.0,3.2222,0.07264494768946274,0.6538045292051646
gpt-engineer/9,deepseek-flash,structural,none,15,15,1.0,1.0,1.0,1.0,0.027,0.8695993111666869,1.0
gpt-engineer/9,deepseek-flash,temporal_frequency,none,15,15,1.0,1.0,1.0,1.0,1.2109,0.27115512098790495,1.0
gpt-engineer/9,deepseek-flash,temporal_cochange,none,15,15,1.0,1.0,1.0,1.0,0.6282,0.4280164438625591,1.0
gpt-engineer/9,deepseek-flash,all_tools,none,15,15,2.0,1.0,1.0,1.0,1.6319,0.20144005653370928,1.0
gpt-engineer/9,deepseek-flash,structural_required,none,15,15,1.0,1.0,1.0,1.0,0.143,0.7052796081551503,1.0
gpt-engineer/9,deepseek-flash,temporal_frequency_required,none,15,15,1.0,1.0,1.0,1.0,0.0486,0.825495626538973,1.0
gpt-engineer/9,deepseek-flash,temporal_cochange_required,none,15,15,1.0,1.0,1.0,1.0,0.7864,0.37517631428318554,1.0
gpt-engineer/9,deepseek-flash,all_tools_required,none,15,15,1.0,1.0,1.0,1.0,0.3551,0.5512231207060874,1.0
gpt-engineer/9,gpt-oss-120b,ast_compact,none,15,15,1.0,1.0,1.0,1.0,0.5201,0.47080171796811243,1.0
gpt-engineer/9,gpt-oss-120b,freq,none,15,15,1.0,1.0,1.0,1.0,1.1954,0.27424035526795376,1.0
gpt-engineer/9,gpt-oss-120b,cochange,none,15,15,1.0,1.0,1.0,1.0,0.1657,0.6839249476804121,1.0
gpt-engineer/9,gpt-oss-120b,structural,none,15,15,1.0,1.0,1.0,1.0,1.1954,0.27424035526795376,1.0
gpt-engineer/9,gpt-oss-120b,temporal_frequency,none,15,15,2.0,1.0,1.0,1.0,0.7999,0.3711314502903036,1.0
gpt-engineer/9,gpt-oss-120b,temporal_cochange,none,15,15,1.0,1.0,1.0,1.0,2.0766,0.1495758833530356,1.0
gpt-engineer/9,gpt-oss-120b,all_tools,none,15,15,2.0,1.0,1.0,1.0,0.169,0.6810149054312866,1.0
gpt-engineer/9,gpt-oss-120b,structural_required,none,15,15,2.0,1.0,1.0,1.0,0.6485,0.4206516973886082,1.0
gpt-engineer/9,gpt-oss-120b,temporal_frequency_required,none,15,15,2.0,1.0,1.0,1.0,0.5161,0.4725200029425215,1.0
gpt-engineer/9,gpt-oss-120b,temporal_cochange_required,none,15,15,1.0,1.0,1.0,1.0,0.3504,0.5539027684053806,1.0
gpt-engineer/9,gpt-oss-120b,all_tools_required,none,15,15,1.0,1.0,1.0,1.0,1.1954,0.27424035526795376,1.0
gpt-engineer/9,ministral-3b,ast_compact,none,15,15,2.0,3.0,0.933,1.0,2.0036,0.15692441515414776,1.0
gpt-engineer/9,ministral-3b,freq,none,15,15,3.0,3.0,1.0,1.0,0.0101,0.9200698042346424,1.0
gpt-engineer/9,ministral-3b,cochange,none,15,15,2.0,3.0,1.0,1.0,0.1943,0.6594018271735194,1.0
gpt-engineer/9,ministral-3b,structural,none,15,15,3.0,3.0,1.0,1.0,0.0154,0.9010957270168788,1.0
gpt-engineer/9,ministral-3b,temporal_frequency,none,15,15,4.0,3.0,1.0,1.0,6.2931,0.01212092382293292,0.1333301620522621
gpt-engineer/9,ministral-3b,temporal_cochange,none,15,15,4.0,3.0,1.0,1.0,5.7089,0.016879363312110377,0.16879363312110376
gpt-engineer/9,ministral-3b,all_tools,none,15,15,3.0,3.0,1.0,1.0,0.4922,0.4829656711036493,1.0
gpt-engineer/9,ministral-3b,structural_required,none,15,15,3.0,3.0,1.0,1.0,0.8391,0.3596647594915183,1.0
gpt-engineer/9,ministral-3b,temporal_frequency_required,none,15,15,4.0,3.0,1.0,1.0,3.0825,0.07913995960820552,0.7122596364738497
gpt-engineer/9,ministral-3b,temporal_cochange_required,none,15,15,4.0,3.0,1.0,1.0,2.7046,0.10005737812033251,0.8004590249626601
gpt-engineer/9,ministral-3b,all_tools_required,none,15,15,3.0,3.0,1.0,1.0,1.0329,0.30948947471387434,1.0
keras/5,nemotron-super,freq,none,15,15,3.0,5.0,1.0,1.0,11.6857,0.0006298076029600956,0.001889422808880287
keras/5,nemotron-super,temporal_frequency,none,15,15,4.0,5.0,1.0,1.0,0.1621,0.6872739782896187,0.6872739782896187
keras/5,nemotron-super,all_tools_required,none,15,15,4.0,5.0,1.0,1.0,1.7094,0.19106629131185332,0.38213258262370664
keras/5,deepseek-flash,freq,none,15,15,1.0,2.0,1.0,1.0,17.5623,2.7805266466426156e-05,8.341579939927848e-05
keras/5,deepseek-flash,temporal_frequency,none,15,15,1.0,2.0,1.0,1.0,6.5557,0.010454856691184095,0.02090971338236819
keras/5,deepseek-flash,all_tools_required,none,15,15,2.0,2.0,1.0,1.0,0.8335,0.361267575862959,0.361267575862959
keras/5,gpt-oss-120b,freq,none,15,15,2.5,2.0,0.933,0.8,0.1374,0.7109037519613066,1.0
keras/5,gpt-oss-120b,temporal_frequency,none,15,15,3.0,2.0,0.8,0.8,0.9888,0.3200320934952421,0.9600962804857263
keras/5,gpt-oss-120b,all_tools_required,none,15,15,3.0,2.0,1.0,0.8,0.2648,0.6068329005336037,1.0
keras/5,ministral-3b,freq,none,15,15,2.0,3.0,1.0,0.867,5.0399,0.02476964357590467,0.07430893072771401
keras/5,ministral-3b,temporal_frequency,none,15,15,3.0,3.0,1.0,0.867,0.4067,0.52364692853421,0.52364692853421
keras/5,ministral-3b,all_tools_required,none,15,15,5.0,3.0,0.8,0.867,2.0441,0.15279869530061646,0.3055973906012329
localstack/2,deepseek-flash,ast_compact,none,15,15,1.0,1.0,1.0,1.0,10.2877,0.0013392146009224637,0.014731360610147102
localstack/2,deepseek-flash,cochange,none,15,15,1.0,1.0,1.0,1.0,0.0141,0.9053312661368438,1.0
localstack/2,deepseek-flash,freq,none,15,15,1.0,1.0,1.0,1.0,0.7113,0.39901841111206304,1.0
localstack/2,deepseek-flash,structural,none,15,15,1.0,1.0,1.0,1.0,0.1915,0.6616864832637347,1.0
localstack/2,deepseek-flash,temporal_cochange,none,15,15,1.0,1.0,1.0,1.0,0.0007,0.9789413326781325,1.0
localstack/2,deepseek-flash,temporal_frequency,none,15,15,1.0,1.0,1.0,1.0,0.001,0.9752188365937172,1.0
localstack/2,deepseek-flash,all_tools,none,15,15,1.0,1.0,1.0,1.0,0.0427,0.8362725415184079,1.0
localstack/2,deepseek-flash,structural_required,none,15,15,2.0,1.0,1.0,1.0,0.2136,0.643959787362069,1.0
localstack/2,deepseek-flash,temporal_cochange_required,none,15,15,2.0,1.0,1.0,1.0,0.7169,0.3971477315081876,1.0
localstack/2,deepseek-flash,temporal_frequency_required,none,15,15,1.0,1.0,1.0,1.0,0.01,0.9203071462381112,1.0
localstack/2,deepseek-flash,all_tools_required,none,15,15,1.0,1.0,1.0,1.0,0.0223,0.8811686564041366,1.0
localstack/19,nemotron-super,ast_compact,none,15,15,2.0,7.0,0.467,0.467,0.3964,0.528953111675126,0.528953111675126
localstack/19,nemotron-super,temporal_frequency,none,15,15,8.0,7.0,0.8,0.467,1.2542,0.2627602058412196,0.5255204116824392
localstack/19,nemotron-super,all_tools_required,none,15,15,6.0,7.0,0.933,0.467,7.2982,0.0069022400164648725,0.020706720049394618
localstack/19,deepseek-flash,ast_compact,none,15,15,0.0,5.0,1.0,1.0,29.0,7.237829871740023e-08,2.171348961522007e-07
localstack/19,deepseek-flash,temporal_frequency,none,15,15,3.0,5.0,1.0,1.0,0.118,0.7312066129550574,0.7312066129550574
localstack/19,deepseek-flash,all_tools_required,none,15,15,4.0,5.0,1.0,1.0,1.0842,0.29775255378892607,0.5955051075778521
localstack/19,gpt-oss-120b,ast_compact,none,15,15,4.0,7.0,0.2,0.067,1.4899,0.22223369908705382,0.44446739817410763
localstack/19,gpt-oss-120b,temporal_frequency,none,15,15,7.5,7.0,0.133,0.067,0.3661,0.545131253043859,0.545131253043859
localstack/19,gpt-oss-120b,all_tools_required,none,15,15,11.0,7.0,1.0,0.067,15.6101,7.783662946680121e-05,0.00023350988840040363
localstack/19,ministral-3b,ast_compact,none,15,15,1.0,5.0,0.867,0.8,17.5608,2.7825911395875502e-05,8.347773418762651e-05
localstack/19,ministral-3b,temporal_frequency,none,15,15,4.0,5.0,0.733,0.8,0.0055,0.9409342550049906,0.9409342550049906
localstack/19,ministral-3b,all_tools_required,none,15,15,4.0,5.0,0.933,0.8,1.1369,0.2863030761698798,0.5726061523397596
requests/12,deepseek-flash,ast_compact,none,15,15,0.0,1.0,1.0,1.0,24.8108,6.32426824896577e-07,1.897280474689731e-06
requests/12,deepseek-flash,cochange,none,15,15,1.0,1.0,1.0,1.0,9.8464,0.0017016775569283341,0.0034033551138566683
