issue,model,outcome,condition,baseline,n_condition,n_baseline,condition_count,baseline_count,condition_rate,baseline_rate,odds_ratio,p_raw,p_holm
flask/18,nemotron-super,success,ast_compact,none,15,15,12,10,0.8,0.667,2.0,0.6816591704147925,1.0
flask/18,nemotron-super,success,structural,none,15,15,11,10,0.733,0.667,1.375,1.0,1.0
flask/18,nemotron-super,success,structural_required,none,15,15,15,10,1.0,0.667,inf,0.0421455938697318,0.12643678160919541
flask/18,nemotron-super,complete_miss,ast_compact,none,15,15,2,0,0.133,0.0,inf,0.4827586206896552,1.0
flask/18,nemotron-super,complete_miss,structural,none,15,15,1,0,0.067,0.0,inf,1.0,1.0
flask/18,nemotron-super,complete_miss,structural_required,none,15,15,0,0,0.0,0.0,,1.0,1.0
gpt-engineer/9,nemotron-super,success,ast_compact,none,15,15,7,11,0.467,0.733,0.3182,0.26354191325389936,1.0
gpt-engineer/9,nemotron-super,success,freq,none,15,15,8,11,0.533,0.733,0.4156,0.4497251374312844,1.0
gpt-engineer/9,nemotron-super,success,cochange,none,15,15,11,11,0.733,0.733,1.0,1.0,1.0
gpt-engineer/9,nemotron-super,success,structural,none,15,15,6,11,0.4,0.733,0.2424,0.13941976380230936,1.0
gpt-engineer/9,nemotron-super,success,temporal_frequency,none,15,15,12,11,0.8,0.733,1.4545,1.0,1.0
gpt-engineer/9,nemotron-super,success,temporal_cochange,none,15,15,9,11,0.6,0.733,0.5455,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,success,all_tools,none,15,15,8,11,0.533,0.733,0.4156,0.4497251374312844,1.0
gpt-engineer/9,nemotron-super,success,structural_required,none,15,15,9,11,0.6,0.733,0.5455,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,success,temporal_frequency_required,none,15,15,9,11,0.6,0.733,0.5455,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,success,temporal_cochange_required,none,15,15,13,11,0.867,0.733,2.3636,0.6513409961685823,1.0
gpt-engineer/9,nemotron-super,success,all_tools_required,none,15,15,11,11,0.733,0.733,1.0,1.0,1.0
gpt-engineer/9,nemotron-super,complete_miss,ast_compact,none,15,15,8,4,0.533,0.267,3.1429,0.26354191325389936,1.0
gpt-engineer/9,nemotron-super,complete_miss,freq,none,15,15,7,4,0.467,0.267,2.4062,0.44972513743128434,1.0
gpt-engineer/9,nemotron-super,complete_miss,cochange,none,15,15,4,4,0.267,0.267,1.0,1.0,1.0
gpt-engineer/9,nemotron-super,complete_miss,structural,none,15,15,9,4,0.6,0.267,4.125,0.13941976380230936,1.0
gpt-engineer/9,nemotron-super,complete_miss,temporal_frequency,none,15,15,3,4,0.2,0.267,0.6875,1.0,1.0
gpt-engineer/9,nemotron-super,complete_miss,temporal_cochange,none,15,15,6,4,0.4,0.267,1.8333,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,complete_miss,all_tools,none,15,15,7,4,0.467,0.267,2.4062,0.44972513743128434,1.0
gpt-engineer/9,nemotron-super,complete_miss,structural_required,none,15,15,6,4,0.4,0.267,1.8333,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,complete_miss,temporal_frequency_required,none,15,15,6,4,0.4,0.267,1.8333,0.6998500749625187,1.0
gpt-engineer/9,nemotron-super,complete_miss,temporal_cochange_required,none,15,15,2,4,0.133,0.267,0.4231,0.6513409961685823,1.0
gpt-engineer/9,nemotron-super,complete_miss,all_tools_required,none,15,15,4,4,0.267,0.267,1.0,1.0,1.0
gpt-engineer/9,deepseek-flash,success,ast_compact,none,15,15,15,15,1.0,1.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,success,freq,none,15,15,15,15,1.0,1.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,success,cochange,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
gpt-engineer/9,deepseek-flash,success,structural,none,15,15,15,15,1.0,1.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,success,temporal_frequency,none,15,15,12,15,0.8,1.0,0.0,0.22413793103448276,1.0
gpt-engineer/9,deepseek-flash,success,temporal_cochange,none,15,15,13,15,0.867,1.0,0.0,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,success,all_tools,none,15,15,13,15,0.867,1.0,0.0,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,success,structural_required,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
gpt-engineer/9,deepseek-flash,success,temporal_frequency_required,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
gpt-engineer/9,deepseek-flash,success,temporal_cochange_required,none,15,15,13,15,0.867,1.0,0.0,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,success,all_tools_required,none,15,15,14,15,0.933,1.0,0.0,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,ast_compact,none,15,15,0,0,0.0,0.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,freq,none,15,15,0,0,0.0,0.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,cochange,none,15,15,1,0,0.067,0.0,inf,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,structural,none,15,15,0,0,0.0,0.0,,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,temporal_frequency,none,15,15,3,0,0.2,0.0,inf,0.22413793103448276,1.0
gpt-engineer/9,deepseek-flash,complete_miss,temporal_cochange,none,15,15,2,0,0.133,0.0,inf,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,complete_miss,all_tools,none,15,15,2,0,0.133,0.0,inf,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,complete_miss,structural_required,none,15,15,1,0,0.067,0.0,inf,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,temporal_frequency_required,none,15,15,1,0,0.067,0.0,inf,1.0,1.0
gpt-engineer/9,deepseek-flash,complete_miss,temporal_cochange_required,none,15,15,2,0,0.133,0.0,inf,0.4827586206896552,1.0
gpt-engineer/9,deepseek-flash,complete_miss,all_tools_required,none,15,15,1,0,0.067,0.0,inf,1.0,1.0
gpt-engineer/9,gpt-oss-120b,success,ast_compact,none,15,15,6,9,0.4,0.6,0.4444,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,success,freq,none,15,15,8,9,0.533,0.6,0.7619,1.0,1.0
gpt-engineer/9,gpt-oss-120b,success,cochange,none,15,15,7,9,0.467,0.6,0.5833,0.7152491865522348,1.0
gpt-engineer/9,gpt-oss-120b,success,structural,none,15,15,12,9,0.8,0.6,2.6667,0.42698650674662664,1.0
gpt-engineer/9,gpt-oss-120b,success,temporal_frequency,none,15,15,9,9,0.6,0.6,1.0,1.0,1.0
gpt-engineer/9,gpt-oss-120b,success,temporal_cochange,none,15,15,6,9,0.4,0.6,0.4444,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,success,all_tools,none,15,15,6,9,0.4,0.6,0.4444,0.4660922247854402,1.0
gpt-engineer/9,gpt-oss-120b,success,structural_required,none,15,15,12,9,0.8,0.6,2.6667,0.42698650674662664,1.0
gpt-engineer/9,gpt-oss-120b,success,temporal_frequency_required,none,15,15,9,9,0.6,0.6,1.0,1.0,1.0
