repo,issue_idx,map_type,cap,passed
core,16,structural,no_cap,True
core,16,frequency,no_cap,True
core,16,cochange,no_cap,True
core,16,structural,30k,False
core,16,frequency,30k,True
core,16,cochange,30k,True
core,16,structural,50k,False
core,16,frequency,50k,True
core,16,cochange,50k,True
core,16,structural,55k,True
core,16,frequency,55k,True
core,16,cochange,55k,True
core,20,structural,no_cap,True
core,20,frequency,no_cap,True
core,20,cochange,no_cap,True
core,20,structural,30k,True
core,20,frequency,30k,True
core,20,cochange,30k,True
core,20,structural,50k,True
core,20,frequency,50k,True
core,20,cochange,50k,True
core,20,structural,55k,True
core,20,frequency,55k,True
core,20,cochange,55k,True
fastapi,9,structural,no_cap,True
fastapi,9,frequency,no_cap,True
fastapi,9,cochange,no_cap,True
fastapi,9,structural,30k,True
fastapi,9,frequency,30k,True
fastapi,9,cochange,30k,True
fastapi,9,structural,50k,True
fastapi,9,frequency,50k,True
fastapi,9,cochange,50k,True
fastapi,9,structural,55k,True
fastapi,9,frequency,55k,True
fastapi,9,cochange,55k,True
fastapi,17,structural,no_cap,True
fastapi,17,frequency,no_cap,True
fastapi,17,cochange,no_cap,True
fastapi,17,structural,30k,True
fastapi,17,frequency,30k,True
fastapi,17,cochange,30k,True
fastapi,17,structural,50k,True
fastapi,17,frequency,50k,True
fastapi,17,cochange,50k,True
fastapi,17,structural,55k,True
fastapi,17,frequency,55k,True
fastapi,17,cochange,55k,True
fastapi,20,structural,no_cap,False
fastapi,20,frequency,no_cap,True
fastapi,20,cochange,no_cap,True
fastapi,20,structural,30k,False
fastapi,20,frequency,30k,True
fastapi,20,cochange,30k,True
fastapi,20,structural,50k,False
fastapi,20,frequency,50k,True
fastapi,20,cochange,50k,True
fastapi,20,structural,55k,False
fastapi,20,frequency,55k,True
fastapi,20,cochange,55k,True
flask,3,structural,no_cap,True
flask,3,frequency,no_cap,True
flask,3,cochange,no_cap,True
flask,3,structural,30k,True
flask,3,frequency,30k,True
flask,3,cochange,30k,True
flask,3,structural,50k,True
flask,3,frequency,50k,True
flask,3,cochange,50k,True
flask,3,structural,55k,True
flask,3,frequency,55k,True
flask,3,cochange,55k,True
flask,6,structural,no_cap,True
flask,6,frequency,no_cap,True
flask,6,cochange,no_cap,True
flask,6,structural,30k,True
flask,6,frequency,30k,True
flask,6,cochange,30k,True
flask,6,structural,50k,True
flask,6,frequency,50k,True
flask,6,cochange,50k,True
flask,6,structural,55k,True
flask,6,frequency,55k,True
flask,6,cochange,55k,True
flask,18,structural,no_cap,True
flask,18,frequency,no_cap,True
flask,18,cochange,no_cap,True
flask,18,structural,30k,True
flask,18,frequency,30k,True
flask,18,cochange,30k,True
flask,18,structural,50k,True
flask,18,frequency,50k,True
flask,18,cochange,50k,True
flask,18,structural,55k,True
flask,18,frequency,55k,True
flask,18,cochange,55k,True
gpt-engineer,9,structural,no_cap,True
gpt-engineer,9,frequency,no_cap,True
gpt-engineer,9,cochange,no_cap,True
gpt-engineer,9,structural,30k,True
gpt-engineer,9,frequency,30k,True
gpt-engineer,9,cochange,30k,True
gpt-engineer,9,structural,50k,True
gpt-engineer,9,frequency,50k,True
gpt-engineer,9,cochange,50k,True
gpt-engineer,9,structural,55k,True
gpt-engineer,9,frequency,55k,True
gpt-engineer,9,cochange,55k,True
gpt-engineer,11,structural,no_cap,True
gpt-engineer,11,frequency,no_cap,True
gpt-engineer,11,cochange,no_cap,True
gpt-engineer,11,structural,30k,True
gpt-engineer,11,frequency,30k,True
gpt-engineer,11,cochange,30k,True
gpt-engineer,11,structural,50k,True
gpt-engineer,11,frequency,50k,True
gpt-engineer,11,cochange,50k,True
gpt-engineer,11,structural,55k,True
gpt-engineer,11,frequency,55k,True
gpt-engineer,11,cochange,55k,True
gpt-engineer,12,structural,no_cap,True
gpt-engineer,12,frequency,no_cap,True
gpt-engineer,12,cochange,no_cap,True
gpt-engineer,12,structural,30k,True
gpt-engineer,12,frequency,30k,True
gpt-engineer,12,cochange,30k,True
gpt-engineer,12,structural,50k,True
gpt-engineer,12,frequency,50k,True
gpt-engineer,12,cochange,50k,True
gpt-engineer,12,structural,55k,True
gpt-engineer,12,frequency,55k,True
gpt-engineer,12,cochange,55k,True
keras,5,structural,no_cap,True
keras,5,frequency,no_cap,True
keras,5,cochange,no_cap,True
keras,5,structural,30k,True
keras,5,frequency,30k,True
keras,5,cochange,30k,True
keras,5,structural,50k,True
keras,5,frequency,50k,True
keras,5,cochange,50k,True
keras,5,structural,55k,True
keras,5,frequency,55k,True
keras,5,cochange,55k,True
keras,9,structural,no_cap,True
keras,9,frequency,no_cap,True
keras,9,cochange,no_cap,True
keras,9,structural,30k,True
keras,9,frequency,30k,True
keras,9,cochange,30k,True
keras,9,structural,50k,True
keras,9,frequency,50k,True
keras,9,cochange,50k,True
keras,9,structural,55k,True
keras,9,frequency,55k,True
keras,9,cochange,55k,True
keras,12,structural,no_cap,True
keras,12,frequency,no_cap,True
keras,12,cochange,no_cap,True
keras,12,structural,30k,True
keras,12,frequency,30k,True
keras,12,cochange,30k,True
keras,12,structural,50k,True
keras,12,frequency,50k,True
keras,12,cochange,50k,True
keras,12,structural,55k,True
keras,12,frequency,55k,True
keras,12,cochange,55k,True
localstack,2,structural,no_cap,True
localstack,2,frequency,no_cap,True
localstack,2,cochange,no_cap,True
localstack,2,structural,30k,True
localstack,2,frequency,30k,True
localstack,2,cochange,30k,True
localstack,2,structural,50k,True
localstack,2,frequency,50k,True
localstack,2,cochange,50k,True
localstack,2,structural,55k,True
localstack,2,frequency,55k,True
localstack,2,cochange,55k,True
localstack,9,structural,no_cap,True
localstack,9,frequency,no_cap,True
localstack,9,cochange,no_cap,True
localstack,9,structural,30k,True
localstack,9,frequency,30k,True
localstack,9,cochange,30k,True
localstack,9,structural,50k,True
localstack,9,frequency,50k,True
localstack,9,cochange,50k,True
localstack,9,structural,55k,True
localstack,9,frequency,55k,True
localstack,9,cochange,55k,True
localstack,19,structural,no_cap,True
localstack,19,frequency,no_cap,True
localstack,19,cochange,no_cap,True
localstack,19,structural,30k,True
localstack,19,frequency,30k,True
localstack,19,cochange,30k,True
localstack,19,structural,50k,True
localstack,19,frequency,50k,True
localstack,19,cochange,50k,True
localstack,19,structural,55k,True
localstack,19,frequency,55k,True
localstack,19,cochange,55k,True
pandas,26,structural,no_cap,True
pandas,26,frequency,no_cap,True
pandas,26,cochange,no_cap,True
pandas,26,structural,30k,True
pandas,26,frequency,30k,True
pandas,26,cochange,30k,True
pandas,26,structural,50k,True
pandas,26,frequency,50k,True
pandas,26,cochange,50k,True
pandas,26,structural,55k,True
pandas,26,frequency,55k,True
pandas,26,cochange,55k,True
pandas,35,structural,no_cap,True
pandas,35,frequency,no_cap,True
pandas,35,cochange,no_cap,True
pandas,35,structural,30k,False
pandas,35,frequency,30k,True
pandas,35,cochange,30k,True
pandas,35,structural,50k,True
pandas,35,frequency,50k,True
pandas,35,cochange,50k,True
pandas,35,structural,55k,True
pandas,35,frequency,55k,True
pandas,35,cochange,55k,True
pandas,38,structural,no_cap,True
pandas,38,frequency,no_cap,True
pandas,38,cochange,no_cap,True
pandas,38,structural,30k,False
pandas,38,frequency,30k,True
pandas,38,cochange,30k,True
pandas,38,structural,50k,False
pandas,38,frequency,50k,True
pandas,38,cochange,50k,True
pandas,38,structural,55k,True
pandas,38,frequency,55k,True
pandas,38,cochange,55k,True
pandas,44,structural,no_cap,True
pandas,44,frequency,no_cap,True
pandas,44,cochange,no_cap,True
pandas,44,structural,30k,True
pandas,44,frequency,30k,True
pandas,44,cochange,30k,True
pandas,44,structural,50k,True
pandas,44,frequency,50k,True
pandas,44,cochange,50k,True
pandas,44,structural,55k,True
pandas,44,frequency,55k,True
pandas,44,cochange,55k,True
requests,7,structural,no_cap,True
requests,7,frequency,no_cap,True
requests,7,cochange,no_cap,True
requests,7,structural,30k,True
requests,7,frequency,30k,True
requests,7,cochange,30k,True
requests,7,structural,50k,True
requests,7,frequency,50k,True
requests,7,cochange,50k,True
requests,7,structural,55k,True
requests,7,frequency,55k,True
requests,7,cochange,55k,True
requests,12,structural,no_cap,True
requests,12,frequency,no_cap,True
requests,12,cochange,no_cap,True
requests,12,structural,30k,True
requests,12,frequency,30k,True
requests,12,cochange,30k,True
requests,12,structural,50k,True
requests,12,frequency,50k,True
requests,12,cochange,50k,True
requests,12,structural,55k,True
requests,12,frequency,55k,True
requests,12,cochange,55k,True
requests,13,structural,no_cap,True
requests,13,frequency,no_cap,True
requests,13,cochange,no_cap,True
requests,13,structural,30k,True
requests,13,frequency,30k,True
requests,13,cochange,30k,True
requests,13,structural,50k,True
requests,13,frequency,50k,True
requests,13,cochange,50k,True
requests,13,structural,55k,True
requests,13,frequency,55k,True
requests,13,cochange,55k,True
rich,1,structural,no_cap,True
rich,1,frequency,no_cap,True
rich,1,cochange,no_cap,True
rich,1,structural,30k,True
rich,1,frequency,30k,True
rich,1,cochange,30k,True
rich,1,structural,50k,True
rich,1,frequency,50k,True
rich,1,cochange,50k,True
rich,1,structural,55k,True
rich,1,frequency,55k,True
rich,1,cochange,55k,True
rich,8,structural,no_cap,True
rich,8,frequency,no_cap,True
rich,8,cochange,no_cap,True
rich,8,structural,30k,True
rich,8,frequency,30k,True
rich,8,cochange,30k,True
rich,8,structural,50k,True
rich,8,frequency,50k,True
rich,8,cochange,50k,True
rich,8,structural,55k,True
rich,8,frequency,55k,True
rich,8,cochange,55k,True
rich,12,structural,no_cap,True
rich,12,frequency,no_cap,True
rich,12,cochange,no_cap,True
rich,12,structural,30k,True
rich,12,frequency,30k,True
rich,12,cochange,30k,True
rich,12,structural,50k,True
rich,12,frequency,50k,True
rich,12,cochange,50k,True
rich,12,structural,55k,True
rich,12,frequency,55k,True
rich,12,cochange,55k,True
scikit-learn,5,structural,no_cap,True
scikit-learn,5,frequency,no_cap,True
scikit-learn,5,cochange,no_cap,True
scikit-learn,5,structural,30k,True
scikit-learn,5,frequency,30k,True
scikit-learn,5,cochange,30k,True
scikit-learn,5,structural,50k,True
scikit-learn,5,frequency,50k,True
scikit-learn,5,cochange,50k,True
scikit-learn,5,structural,55k,True
scikit-learn,5,frequency,55k,True
scikit-learn,5,cochange,55k,True
scikit-learn,45,structural,no_cap,True
scikit-learn,45,frequency,no_cap,True
scikit-learn,45,cochange,no_cap,True
scikit-learn,45,structural,30k,False
scikit-learn,45,frequency,30k,True
scikit-learn,45,cochange,30k,True
scikit-learn,45,structural,50k,True
scikit-learn,45,frequency,50k,True
scikit-learn,45,cochange,50k,True
scikit-learn,45,structural,55k,True
scikit-learn,45,frequency,55k,True
scikit-learn,45,cochange,55k,True
scikit-learn,49,structural,no_cap,True
scikit-learn,49,frequency,no_cap,True
scikit-learn,49,cochange,no_cap,True
scikit-learn,49,structural,30k,True
scikit-learn,49,frequency,30k,True
scikit-learn,49,cochange,30k,True
scikit-learn,49,structural,50k,True
scikit-learn,49,frequency,50k,True
scikit-learn,49,cochange,50k,True
scikit-learn,49,structural,55k,True
scikit-learn,49,frequency,55k,True
scikit-learn,49,cochange,55k,True
scrapy,20,structural,no_cap,True
scrapy,20,frequency,no_cap,True
scrapy,20,cochange,no_cap,True
scrapy,20,structural,30k,True
scrapy,20,frequency,30k,True
scrapy,20,cochange,30k,True
scrapy,20,structural,50k,True
scrapy,20,frequency,50k,True
scrapy,20,cochange,50k,True
scrapy,20,structural,55k,True
scrapy,20,frequency,55k,True
scrapy,20,cochange,55k,True
scrapy,26,structural,no_cap,True
scrapy,26,frequency,no_cap,True
scrapy,26,cochange,no_cap,True
scrapy,26,structural,30k,True
scrapy,26,frequency,30k,True
scrapy,26,cochange,30k,True
scrapy,26,structural,50k,True
scrapy,26,frequency,50k,True
scrapy,26,cochange,50k,True
