repo,language,loc,size
scikit-learn,.yml,434.0,large
localstack,.yml,5347.0,large
transformers,.yml,4570.0,large
pandas,.yml,335.0,large
private-gpt,.yml,202.0,large
gpt-engineer,.yml,16.0,small
core,.yml,54.0,large
screenshot-to-code,.yml,21.0,medium
AutoGPT,.yml,1885.0,large
yt-dlp,.yml,171.0,large
keras,.yml,32.0,large
scrapy,.yml,15.0,medium
fastapi,.yml,5294.0,large
manim,.yml,867.0,medium
ansible,.yml,83945.0,large
text-generation-webui,.yml,101.0,medium
OpenHands,.yml,76.0,large
faceswap,.yml,23.0,medium
cpython,.yml,54.0,large
MetaGPT,.yml,1.0,medium
face_recognition,.yml,15.0,small
rich,.yml,23.0,medium
langflow,.yml,535.0,small
pytorch,.yml,16.0,large
hackingtool,.yml,37.0,small
open-interpreter,.yml,74.0,medium
gpt4free,.yml,48.0,medium
Fooocus,.yml,35.0,medium
gpt_academic,.yml,345.0,medium
PaddleOCR,.yml,21144.0,large
LLaMA-Factory,.yml,101.0,medium
scikit-learn,.yaml,41.0,large
flask,.yaml,33.0,medium
localstack,.yaml,11433.0,large
transformers,.yaml,138.0,large
pandas,.yaml,868.0,large
private-gpt,.yaml,343.0,large
requests,.yaml,44.0,medium
gpt-engineer,.yaml,73.0,small
stable-diffusion-webui,.yaml,470.0,medium
core,.yaml,48969.0,large
screenshot-to-code,.yaml,6863.0,medium
AutoGPT,.yaml,15694.0,large
yt-dlp,.yaml,23.0,large
keras,.yaml,31.0,large
scrapy,.yaml,32.0,medium
fastapi,.yaml,89.0,large
ansible,.yaml,569.0,large
text-generation-webui,.yaml,148.0,medium
thefuck,.yaml,22.0,medium
OpenHands,.yaml,868.0,large
cpython,.yaml,237.0,large
MetaGPT,.yaml,661.0,medium
yolov5,.yaml,4846.0,medium
rich,.yaml,43.0,medium
langflow,.yaml,282.0,small
pytorch,.yaml,18887.0,large
open-interpreter,.yaml,94.0,medium
gpt4free,.yaml,63.0,medium
ComfyUI,.yaml,5892.0,large
Fooocus,.yaml,978.0,medium
gpt_academic,.yaml,38.0,medium
PaddleOCR,.yaml,4033.0,large
LLaMA-Factory,.yaml,2686.0,medium
scikit-learn,.toml,452.0,large
flask,.toml,321.0,medium
localstack,.toml,317.0,large
transformers,.toml,332.0,large
pandas,.toml,1386.0,large
private-gpt,.toml,400.0,large
requests,.toml,110.0,medium
gpt-engineer,.toml,122.0,small
stable-diffusion-webui,.toml,34.0,medium
core,.toml,939.0,large
screenshot-to-code,.toml,32.0,medium
AutoGPT,.toml,416.0,large
yt-dlp,.toml,450.0,large
Real-Time-Voice-Cloning,.toml,55.0,small
keras,.toml,102.0,large
scrapy,.toml,421.0,medium
fastapi,.toml,327.0,large
manim,.toml,2.0,medium
ansible,.toml,143.0,large
OpenHands,.toml,740.0,large
faceswap,.toml,39.0,medium
cpython,.toml,4146.0,large
MetaGPT,.toml,35.0,medium
yolov5,.toml,133.0,medium
face_recognition,.toml,2.0,small
rich,.toml,56.0,medium
sherlock,.toml,59.0,small
grok-1,.toml,13.0,small
pytorch,.toml,2416.0,large
open-interpreter,.toml,93.0,medium
ComfyUI,.toml,70.0,large
odoo,.toml,79.0,large
Deep-Live-Cam,.toml,8.0,small
PaddleOCR,.toml,242.0,large
LLaMA-Factory,.toml,139.0,medium
scikit-learn,.py,369160.0,large
flask,.py,14081.0,medium
localstack,.py,450483.0,large
transformers,.py,1366982.0,large
pandas,.py,559600.0,large
private-gpt,.py,93003.0,large
requests,.py,9818.0,medium
gpt-engineer,.py,9442.0,small
stable-diffusion-webui,.py,34008.0,medium
core,.py,2775633.0,large
screenshot-to-code,.py,9930.0,medium
AutoGPT,.py,374307.0,large
yt-dlp,.py,230198.0,large
Real-Time-Voice-Cloning,.py,5291.0,small
keras,.py,274655.0,large
scrapy,.py,64563.0,medium
fastapi,.py,93259.0,large
manim,.py,20467.0,medium
ansible,.py,213346.0,large
text-generation-webui,.py,21582.0,medium
thefuck,.py,12743.0,medium
OpenHands,.py,163968.0,large
faceswap,.py,80858.0,medium
cpython,.py,953233.0,large
MetaGPT,.py,73324.0,medium
yolov5,.py,15240.0,medium
face_recognition,.py,2273.0,small
rich,.py,45787.0,medium
langflow,.py,1199.0,small
sherlock,.py,1796.0,small
grok-1,.py,1972.0,small
pytorch,.py,2174201.0,large
hackingtool,.py,4182.0,small
open-interpreter,.py,16285.0,medium
gpt4free,.py,50451.0,medium
ComfyUI,.py,188409.0,large
Fooocus,.py,43537.0,medium
gpt_academic,.py,53558.0,medium
odoo,.py,1032369.0,large
Deep-Live-Cam,.py,6590.0,small
