repo,total_loc,python_loc,other_loc,size
AutoGPT,579724.0,374307,205417,large
ChatGLM-6B,4808.0,4693,115,small
ComfyUI,194448.0,188409,6039,large
Deep-Live-Cam,6605.0,6590,15,small
DeepSeek-V3,1204.0,1204,0,small
Fooocus,46335.0,43537,2798,medium
LLaMA-Factory,49512.0,46418,3094,medium
MetaGPT,76671.0,73324,3347,medium
OpenHands,276581.0,163968,112613,large
PaddleOCR,151229.0,98917,52312,large
Real-Time-Voice-Cloning,5346.0,5291,55,small
ansible,311141.0,213346,97795,large
core,2831311.0,2775633,55678,large
cpython,1902134.0,953233,948901,large
face_recognition,2339.0,2273,66,small
faceswap,80920.0,80858,62,medium
fastapi,100156.0,93259,6897,medium
flask,14895.0,14081,814,small
gpt-engineer,9691.0,9442,249,small
gpt4free,51547.0,50451,1096,medium
gpt_academic,70164.0,53558,16606,medium
grok-1,1985.0,1972,13,small
hackingtool,4382.0,4182,200,small
keras,274840.0,274655,185,large
langflow,6037.0,1199,4838,small
llama,1046.0,985,61,small
localstack,469538.0,450483,19055,large
manim,21400.0,20467,933,medium
odoo,2268168.0,1032369,1235799,large
open-interpreter,16699.0,16285,414,medium
pandas,581441.0,559600,21841,large
private-gpt,105585.0,93003,12582,medium
pytorch,3313484.0,2174201,1139283,large
requests,10021.0,9818,203,small
rich,45959.0,45787,172,medium
scikit-learn,380305.0,369160,11145,large
scrapy,65951.0,64563,1388,medium
screenshot-to-code,29111.0,9930,19181,medium
sherlock,1900.0,1796,104,small
stable-diffusion-webui,40917.0,34008,6909,medium
text-generation-webui,28618.0,21582,7036,medium
thefuck,12778.0,12743,35,small
transformers,1372123.0,1366982,5141,large
yolov5,20482.0,15240,5242,medium
youtube-dl,150525.0,150327,198,large
yt-dlp,231307.0,230198,1109,large
