repo,issues,loc,category
AutoGPT,16,374307,Never Included
ChatGLM-6B,15,4693,Never Included
ComfyUI,10,188409,Never Included
Deep-Live-Cam,12,6590,Original Panel
DeepSeek-V3,2,1204,Never Included
Fooocus,11,43537,Never Included
LLaMA-Factory,15,46418,Never Included
MetaGPT,32,73324,Never Included
OpenHands,28,163968,Never Included
PaddleOCR,15,98917,Never Included
Real-Time-Voice-Cloning,32,5291,Never Included
ansible,48,213536,Never Included
core,26,2775633,Final Panel
cpython,15,959279,Never Included
face_recognition,15,2273,Never Included
faceswap,30,80858,Never Included
fastapi,24,93259,Final Panel
flask,25,14081,Final Panel
gpt-engineer,38,9442,Final Panel
gpt4free,18,50451,Never Included
gpt_academic,26,53558,Never Included
grok-1,1,1972,Never Included
hackingtool,12,4182,Never Included
keras,28,273067,Final Panel
langflow,16,1199,Never Included
llama,12,985,Never Included
localstack,46,450483,Final Panel
manim,23,20467,Never Included
odoo,2,1032369,Never Included
open-interpreter,9,16285,Original Panel
pandas,64,559600,Final Panel
private-gpt,22,93003,Never Included
pytorch,12,2174201,Never Included
requests,26,9818,Final Panel
rich,16,45787,Final Panel
scikit-learn,58,369160,Final Panel
scrapy,51,61558,Final Panel
screenshot-to-code,15,9930,Never Included
sherlock,16,1796,Never Included
stable-diffusion-webui,18,34008,Final Panel
text-generation-webui,25,21582,Never Included
thefuck,26,12743,Final Panel
transformers,44,1366982,Final Panel
yolov5,44,15240,Never Included
youtube-dl,14,150327,Never Included
yt-dlp,47,230198,Final Panel
